"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!With a disability!!Estimate","DeSoto County, Mississippi!!With a disability!!Margin of Error","DeSoto County, Mississippi!!Percent with a disability!!Estimate","DeSoto County, Mississippi!!Percent with a disability!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!With a disability!!Estimate","Forrest County, Mississippi!!With a disability!!Margin of Error","Forrest County, Mississippi!!Percent with a disability!!Estimate","Forrest County, Mississippi!!Percent with a disability!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!With a disability!!Estimate","Harrison County, Mississippi!!With a disability!!Margin of Error","Harrison County, Mississippi!!Percent with a disability!!Estimate","Harrison County, Mississippi!!Percent with a disability!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!With a disability!!Estimate","Hinds County, Mississippi!!With a disability!!Margin of Error","Hinds County, Mississippi!!Percent with a disability!!Estimate","Hinds County, Mississippi!!Percent with a disability!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!With a disability!!Estimate","Jackson County, Mississippi!!With a disability!!Margin of Error","Jackson County, Mississippi!!Percent with a disability!!Estimate","Jackson County, Mississippi!!Percent with a disability!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!With a disability!!Estimate","Jones County, Mississippi!!With a disability!!Margin of Error","Jones County, Mississippi!!Percent with a disability!!Estimate","Jones County, Mississippi!!Percent with a disability!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!With a disability!!Estimate","Lauderdale County, Mississippi!!With a disability!!Margin of Error","Lauderdale County, Mississippi!!Percent with a disability!!Estimate","Lauderdale County, Mississippi!!Percent with a disability!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!With a disability!!Estimate","Lee County, Mississippi!!With a disability!!Margin of Error","Lee County, Mississippi!!Percent with a disability!!Estimate","Lee County, Mississippi!!Percent with a disability!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!With a disability!!Estimate","Madison County, Mississippi!!With a disability!!Margin of Error","Madison County, Mississippi!!Percent with a disability!!Estimate","Madison County, Mississippi!!Percent with a disability!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!With a disability!!Estimate","Rankin County, Mississippi!!With a disability!!Margin of Error","Rankin County, Mississippi!!Percent with a disability!!Estimate","Rankin County, Mississippi!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        With a cognitive difficulty","(X)","(X)","6,301","±1,550","3.7%","±0.9","(X)","(X)","6,392","±1,587","9.2%","±2.3","(X)","(X)","16,731","±3,240","9.0%","±1.8","(X)","(X)","12,870","±2,327","6.0%","±1.1","(X)","(X)","11,372","±2,501","8.5%","±1.9","(X)","(X)","3,141","±1,046","5.0%","±1.7","(X)","(X)","5,451","±1,431","8.4%","±2.2","(X)","(X)","5,532","±1,597","7.0%","±2.0","(X)","(X)","3,940","±1,502","4.0%","±1.5","(X)","(X)","6,941","±1,604","4.9%","±1.1","(X)","(X)","15,797,245","±87,227","5.2%","±0.1"
"            Population under 18 years","35,300","±232","1,447","±726","4.1%","±2.1","12,097","±412","1,114","±680","9.2%","±5.6","35,762","±1,058","3,138","±1,297","8.8%","±3.6","40,006","±728","2,407","±899","6.0%","±2.3","25,427","±547","2,068","±960","8.1%","±3.8","12,590","±440","801","±464","6.4%","±3.7","12,645","±198","820","±526","6.5%","±4.1","15,542","±359","694","±515","4.5%","±3.3","19,962","±249","212","±257","1.1%","±1.3","26,119","±445","1,313","±780","5.0%","±3.0","53,433,593","±32,613","2,354,191","±30,937","4.4%","±0.1"
"            Population 18 to 64 years","112,590","±906","3,319","±1,056","2.9%","±0.9","47,155","±477","3,801","±1,316","8.1%","±2.8","118,432","±2,202","8,576","±2,180","7.2%","±1.8","141,446","±682","7,640","±1,668","5.4%","±1.2","84,782","±1,380","6,281","±1,910","7.4%","±2.2","38,397","±752","1,456","±724","3.8%","±1.9","39,715","±1,306","3,058","±1,087","7.7%","±2.7","50,699","±485","3,259","±1,100","6.4%","±2.2","64,878","±548","2,391","±1,176","3.7%","±1.8","91,204","±1,867","3,543","±1,230","3.9%","±1.4","197,503,214","±33,702","9,085,439","±60,856","4.6%","±0.1"
"                Population 18 to 34 years","39,935","±1,006","1,385","±630","3.5%","±1.6","21,192","±949","1,209","±598","5.7%","±2.8","41,882","±1,921","1,511","±853","3.6%","±2.0","58,305","±608","2,674","±1,067","4.6%","±1.8","28,431","±1,395","2,526","±1,239","8.9%","±4.3","15,045","±1,370","354","±371","2.4%","±2.5","12,931","±1,415","559","±483","4.3%","±3.8","17,674","±513","769","±416","4.4%","±2.4","22,109","±983","405","±346","1.8%","±1.5","33,002","±1,906","1,524","±872","4.6%","±2.7","74,020,428","±40,229","3,207,512","±36,493","4.3%","±0.1"
"                Population 35 to 64 years","72,655","±1,020","1,934","±732","2.7%","±1.0","25,963","±763","2,592","±1,050","10.0%","±4.0","76,550","±1,670","7,065","±1,875","9.2%","±2.5","83,141","±345","4,966","±1,257","6.0%","±1.5","56,351","±1,715","3,755","±1,132","6.7%","±2.0","23,352","±1,377","1,102","±564","4.7%","±2.5","26,784","±1,186","2,499","±997","9.3%","±3.6","33,025","±595","2,490","±1,059","7.5%","±3.2","42,769","±1,056","1,986","±1,061","4.6%","±2.5","58,202","±1,731","2,019","±879","3.5%","±1.5","123,482,786","±47,507","5,877,927","±46,429","4.8%","±0.1"
"            Population 65 years and over","24,188","±379","1,535","±516","6.3%","±2.1","10,282","±447","1,477","±667","14.4%","±6.3","31,289","±710","5,017","±1,760","16.0%","±5.7","33,533","±262","2,823","±683","8.4%","±2.0","23,844","±814","3,023","±1,047","12.7%","±4.2","11,858","±611","884","±573","7.5%","±4.8","12,537","±156","1,573","±701","12.5%","±5.6","12,430","±356","1,579","±808","12.7%","±6.5","14,228","±252","1,337","±748","9.4%","±5.2","23,838","±466","2,085","±1,006","8.7%","±4.2","52,782,417","±26,301","4,357,615","±43,148","8.3%","±0.1"
"                Population 65 to 74 years","14,573","±419","654","±426","4.5%","±2.9","6,014","±691","680","±480","11.3%","±7.2","18,847","±759","2,652","±1,593","14.1%","±8.4","20,549","±37","941","±328","4.6%","±1.6","13,969","±516","1,613","±720","11.5%","±5.0","7,262","±763","319","±311","4.4%","±4.3","6,898","±732","670","±560","9.7%","±7.8","6,718","±460","760","±435","11.3%","±6.5","9,421","±440","390","±242","4.1%","±2.6","14,399","±679","1,015","±863","7.0%","±6.0","31,216,223","±24,889","1,606,770","±20,535","5.1%","±0.1"
"                Population 75 years and over","9,615","±408","881","±327","9.2%","±3.4","4,268","±642","797","±520","18.7%","±12.0","12,442","±723","2,365","±923","19.0%","±7.1","12,984","±257","1,882","±663","14.5%","±5.1","9,875","±948","1,410","±702","14.3%","±6.4","4,596","±653","565","±451","12.3%","±8.9","5,639","±726","903","±561","16.0%","±8.8","5,712","±532","819","±653","14.3%","±11.5","4,807","±503","947","±621","19.7%","±12.5","9,439","±711","1,070","±604","11.3%","±6.3","21,566,194","±17,007","2,750,845","±32,323","12.8%","±0.1"
"        With an ambulatory difficulty","(X)","(X)","9,387","±1,233","5.5%","±0.7","(X)","(X)","8,295","±1,559","11.9%","±2.2","(X)","(X)","21,946","±2,416","11.8%","±1.3","(X)","(X)","18,679","±2,200","8.7%","±1.0","(X)","(X)","15,528","±2,309","11.6%","±1.7","(X)","(X)","6,291","±1,207","10.0%","±1.9","(X)","(X)","7,926","±1,850","12.2%","±2.9","(X)","(X)","7,766","±1,383","9.9%","±1.8","(X)","(X)","5,353","±1,401","5.4%","±1.4","(X)","(X)","13,036","±2,246","9.2%","±1.6","(X)","(X)","20,843,415","±86,983","6.9%","±0.1"
"            Population under 18 years","35,300","±232","0","±226","0.0%","±0.6","12,097","±412","0","±226","0.0%","±1.7","35,762","±1,058","786","±711","2.2%","±2.0","40,006","±728","206","±325","0.5%","±0.8","25,427","±547","96","±160","0.4%","±0.6","12,590","±440","431","±356","3.4%","±2.8","12,645","±198","306","±390","2.4%","±3.1","15,542","±359","0","±226","0.0%","±1.4","19,962","±249","341","±428","1.7%","±2.1","26,119","±445","295","±275","1.1%","±1.1","53,433,593","±32,613","329,766","±11,203","0.6%","±0.1"
"            Population 18 to 64 years","112,590","±906","4,084","±959","3.6%","±0.9","47,155","±477","4,834","±1,203","10.3%","±2.6","118,432","±2,202","9,410","±1,726","7.9%","±1.4","141,446","±682","9,757","±1,695","6.9%","±1.2","84,782","±1,380","8,429","±2,151","9.9%","±2.5","38,397","±752","1,919","±786","5.0%","±2.0","39,715","±1,306","4,259","±1,272","10.7%","±3.3","50,699","±485","3,777","±1,158","7.4%","±2.3","64,878","±548","1,751","±969","2.7%","±1.5","91,204","±1,867","6,842","±2,006","7.5%","±2.2","197,503,214","±33,702","9,246,129","±58,094","4.7%","±0.1"
"                Population 18 to 34 years","39,935","±1,006","440","±343","1.1%","±0.9","21,192","±949","596","±642","2.8%","±3.0","41,882","±1,921","699","±623","1.7%","±1.5","58,305","±608","916","±733","1.6%","±1.3","28,431","±1,395","940","±798","3.3%","±2.8","15,045","±1,370","339","±413","2.3%","±2.7","12,931","±1,415","393","±331","3.0%","±2.5","17,674","±513","170","±253","1.0%","±1.4","22,109","±983","101","±128","0.5%","±0.6","33,002","±1,906","697","±583","2.1%","±1.8","74,020,428","±40,229","945,681","±22,220","1.3%","±0.1"
"                Population 35 to 64 years","72,655","±1,020","3,644","±875","5.0%","±1.2","25,963","±763","4,238","±1,174","16.3%","±4.5","76,550","±1,670","8,711","±1,619","11.4%","±2.1","83,141","±345","8,841","±1,454","10.6%","±1.7","56,351","±1,715","7,489","±1,876","13.3%","±3.2","23,352","±1,377","1,580","±632","6.8%","±2.7","26,784","±1,186","3,866","±1,281","14.4%","±4.8","33,025","±595","3,607","±1,102","10.9%","±3.3","42,769","±1,056","1,650","±950","3.9%","±2.2","58,202","±1,731","6,145","±1,893","10.6%","±3.2","123,482,786","±47,507","8,300,448","±48,888","6.7%","±0.1"
"            Population 65 years and over","24,188","±379","5,303","±806","21.9%","±3.2","10,282","±447","3,461","±877","33.7%","±8.2","31,289","±710","11,750","±1,666","37.6%","±5.5","33,533","±262","8,716","±1,325","26.0%","±3.9","23,844","±814","7,003","±1,295","29.4%","±5.2","11,858","±611","3,941","±847","33.2%","±7.4","12,537","±156","3,361","±878","26.8%","±7.0","12,430","±356","3,989","±815","32.1%","±6.6","14,228","±252","3,261","±840","22.9%","±5.7","23,838","±466","5,899","±1,263","24.7%","±5.3","52,782,417","±26,301","11,267,520","±60,416","21.3%","±0.1"
"                Population 65 to 74 years","14,573","±419","2,368","±671","16.2%","±4.6","6,014","±691","1,261","±586","21.0%","±8.9","18,847","±759","5,855","±1,474","31.1%","±7.7","20,549","±37","3,593","±769","17.5%","±3.7","13,969","±516","3,079","±957","22.0%","±6.7","7,262","±763","1,166","±616","16.1%","±8.3","6,898","±732","1,446","±714","21.0%","±9.2","6,718","±460","1,485","±478","22.1%","±6.8","9,421","±440","1,373","±501","14.6%","±5.2","14,399","±679","2,491","±913","17.3%","±6.4","31,216,223","±24,889","4,610,453","±40,868","14.8%","±0.1"
"                Population 75 years and over","9,615","±408","2,935","±771","30.5%","±7.9","4,268","±642","2,200","±779","51.5%","±14.9","12,442","±723","5,895","±1,061","47.4%","±7.8","12,984","±257","5,123","±932","39.5%","±7.1","9,875","±948","3,924","±862","39.7%","±8.4","4,596","±653","2,775","±778","60.4%","±12.0","5,639","±726","1,915","±606","34.0%","±11.4","5,712","±532","2,504","±705","43.8%","±11.8","4,807","±503","1,888","±628","39.3%","±13.0","9,439","±711","3,408","±1,000","36.1%","±9.7","21,566,194","±17,007","6,657,067","±39,845","30.9%","±0.2"
"        With a self-care difficulty","(X)","(X)","3,946","±957","2.3%","±0.6","(X)","(X)","3,296","±980","4.7%","±1.4","(X)","(X)","9,161","±2,318","4.9%","±1.3","(X)","(X)","7,855","±1,358","3.7%","±0.6","(X)","(X)","5,433","±1,795","4.1%","±1.3","(X)","(X)","2,702","±858","4.3%","±1.4","(X)","(X)","2,367","±1,070","3.6%","±1.7","(X)","(X)","2,410","±739","3.1%","±0.9","(X)","(X)","2,157","±1,050","2.2%","±1.1","(X)","(X)","3,702","±1,089","2.6%","±0.8","(X)","(X)","8,004,156","±51,486","2.6%","±0.1"
"            Population under 18 years","35,300","±232","242","±325","0.7%","±0.9","12,097","±412","0","±226","0.0%","±1.7","35,762","±1,058","560","±432","1.6%","±1.2","40,006","±728","346","±364","0.9%","±0.9","25,427","±547","96","±160","0.4%","±0.6","12,590","±440","431","±356","3.4%","±2.8","12,645","±198","87","±136","0.7%","±1.1","15,542","±359","0","±226","0.0%","±1.4","19,962","±249","374","±438","1.9%","±2.2","26,119","±445","545","±592","2.1%","±2.3","53,433,593","±32,613","557,499","±15,739","1.0%","±0.1"
"            Population 18 to 64 years","112,590","±906","1,095","±534","1.0%","±0.5","47,155","±477","1,608","±696","3.4%","±1.5","118,432","±2,202","4,340","±1,493","3.7%","±1.3","141,446","±682","3,469","±1,028","2.5%","±0.7","84,782","±1,380","3,359","±1,682","4.0%","±2.0","38,397","±752","729","±355","1.9%","±0.9","39,715","±1,306","974","±584","2.5%","±1.5","50,699","±485","791","±483","1.6%","±1.0","64,878","±548","416","±372","0.6%","±0.6","91,204","±1,867","1,384","±721","1.5%","±0.8","197,503,214","±33,702","3,463,855","±30,537","1.8%","±0.1"
"                Population 18 to 34 years","39,935","±1,006","205","±229","0.5%","±0.6","21,192","±949","210","±226","1.0%","±1.1","41,882","±1,921","605","±592","1.4%","±1.4","58,305","±608","665","±570","1.1%","±1.0","28,431","±1,395","777","±797","2.7%","±2.8","15,045","±1,370","85","±95","0.6%","±0.6","12,931","±1,415","229","±315","1.8%","±2.4","17,674","±513","252","±324","1.4%","±1.8","22,109","±983","40","±74","0.2%","±0.3","33,002","±1,906","8","±17","0.0%","±0.1","74,020,428","±40,229","635,785","±13,720","0.9%","±0.1"
"                Population 35 to 64 years","72,655","±1,020","890","±456","1.2%","±0.6","25,963","±763","1,398","±619","5.4%","±2.4","76,550","±1,670","3,735","±1,348","4.9%","±1.8","83,141","±345","2,804","±817","3.4%","±1.0","56,351","±1,715","2,582","±1,257","4.6%","±2.2","23,352","±1,377","644","±337","2.8%","±1.4","26,784","±1,186","745","±534","2.8%","±2.0","33,025","±595","539","±324","1.6%","±1.0","42,769","±1,056","376","±372","0.9%","±0.9","58,202","±1,731","1,376","±723","2.4%","±1.2","123,482,786","±47,507","2,828,070","±26,280","2.3%","±0.1"
"            Population 65 years and over","24,188","±379","2,609","±711","10.8%","±2.9","10,282","±447","1,688","±709","16.4%","±6.7","31,289","±710","4,261","±1,595","13.6%","±5.2","33,533","±262","4,040","±936","12.0%","±2.8","23,844","±814","1,978","±831","8.3%","±3.4","11,858","±611","1,542","±740","13.0%","±6.2","12,537","±156","1,306","±718","10.4%","±5.7","12,430","±356","1,619","±609","13.0%","±5.0","14,228","±252","1,367","±731","9.6%","±5.1","23,838","±466","1,773","±761","7.4%","±3.2","52,782,417","±26,301","3,982,802","±36,527","7.5%","±0.1"
"                Population 65 to 74 years","14,573","±419","842","±416","5.8%","±2.8","6,014","±691","357","±283","5.9%","±4.3","18,847","±759","1,896","±1,448","10.1%","±7.7","20,549","±37","1,365","±506","6.6%","±2.5","13,969","±516","668","±475","4.8%","±3.4","7,262","±763","173","±185","2.4%","±2.6","6,898","±732","767","±651","11.1%","±9.1","6,718","±460","532","±319","7.9%","±4.8","9,421","±440","329","±239","3.5%","±2.5","14,399","±679","856","±670","5.9%","±4.7","31,216,223","±24,889","1,306,331","±18,273","4.2%","±0.1"
"                Population 75 years and over","9,615","±408","1,767","±658","18.4%","±6.7","4,268","±642","1,331","±652","31.2%","±13.6","12,442","±723","2,365","±617","19.0%","±5.1","12,984","±257","2,675","±753","20.6%","±5.7","9,875","±948","1,310","±698","13.3%","±6.8","4,596","±653","1,369","±697","29.8%","±13.4","5,639","±726","539","±319","9.6%","±6.0","5,712","±532","1,087","±520","19.0%","±8.6","4,807","±503","1,038","±746","21.6%","±15.2","9,439","±711","917","±493","9.7%","±5.4","21,566,194","±17,007","2,676,471","±30,950","12.4%","±0.1"
"        With an independent living difficulty","(X)","(X)","7,446","±1,372","5.4%","±1.0","(X)","(X)","6,142","±1,366","10.7%","±2.4","(X)","(X)","13,310","±2,406","8.9%","±1.6","(X)","(X)","13,586","±1,913","7.8%","±1.1","(X)","(X)","10,199","±2,206","9.4%","±2.0","(X)","(X)","4,355","±1,153","8.7%","±2.3","(X)","(X)","6,078","±1,579","11.6%","±3.0","(X)","(X)","5,327","±1,236","8.4%","±2.0","(X)","(X)","4,511","±1,596","5.7%","±2.0","(X)","(X)","8,238","±1,905","7.2%","±1.7","(X)","(X)","14,690,563","±73,159","5.9%","±0.1"
"            Population 18 to 64 years","112,590","±906","3,498","±1,065","3.1%","±0.9","47,155","±477","3,704","±1,146","7.9%","±2.4","118,432","±2,202","7,401","±2,091","6.2%","±1.8","141,446","±682","7,418","±1,511","5.2%","±1.1","84,782","±1,380","6,134","±2,051","7.2%","±2.4","38,397","±752","1,917","±797","5.0%","±2.0","39,715","±1,306","3,415","±1,255","8.6%","±3.2","50,699","±485","2,913","±1,000","5.7%","±2.0","64,878","±548","2,234","±1,236","3.4%","±1.9","91,204","±1,867","3,490","±1,383","3.8%","±1.5","197,503,214","±33,702","7,399,130","±48,305","3.7%","±0.1"
"                Population 18 to 34 years","39,935","±1,006","1,196","±586","3.0%","±1.5","21,192","±949","856","±564","4.0%","±2.7","41,882","±1,921","1,506","±933","3.6%","±2.2","58,305","±608","1,791","±908","3.1%","±1.6","28,431","±1,395","1,805","±1,019","6.3%","±3.5","15,045","±1,370","332","±366","2.2%","±2.4","12,931","±1,415","372","±345","2.9%","±2.6","17,674","±513","783","±486","4.4%","±2.8","22,109","±983","156","±168","0.7%","±0.8","33,002","±1,906","1,141","±708","3.5%","±2.2","74,020,428","±40,229","2,027,970","±27,582","2.7%","±0.1"
"                Population 35 to 64 years","72,655","±1,020","2,302","±812","3.2%","±1.1","25,963","±763","2,848","±847","11.0%","±3.2","76,550","±1,670","5,895","±1,812","7.7%","±2.4","83,141","±345","5,627","±1,234","6.8%","±1.5","56,351","±1,715","4,329","±1,471","7.7%","±2.5","23,352","±1,377","1,585","±663","6.8%","±2.9","26,784","±1,186","3,043","±1,269","11.4%","±4.6","33,025","±595","2,130","±840","6.4%","±2.5","42,769","±1,056","2,078","±1,233","4.9%","±2.9","58,202","±1,731","2,349","±928","4.0%","±1.6","123,482,786","±47,507","5,371,160","±38,230","4.3%","±0.1"
"            Population 65 years and over","24,188","±379","3,948","±885","16.3%","±3.6","10,282","±447","2,438","±840","23.7%","±8.0","31,289","±710","5,909","±1,286","18.9%","±4.2","33,533","±262","6,168","±1,026","18.4%","±3.1","23,844","±814","4,065","±995","17.0%","±3.9","11,858","±611","2,438","±749","20.6%","±6.4","12,537","±156","2,663","±770","21.2%","±6.1","12,430","±356","2,414","±612","19.4%","±5.0","14,228","±252","2,277","±712","16.0%","±4.9","23,838","±466","4,748","±1,315","19.9%","±5.5","52,782,417","±26,301","7,291,433","±47,787","13.8%","±0.1"
"                Population 65 to 74 years","14,573","±419","1,635","±680","11.2%","±4.7","6,014","±691","838","±480","13.9%","±7.3","18,847","±759","2,289","±1,113","12.1%","±5.8","20,549","±37","1,862","±563","9.1%","±2.7","13,969","±516","1,404","±743","10.1%","±5.2","7,262","±763","638","±428","8.8%","±5.9","6,898","±732","835","±663","12.1%","±9.2","6,718","±460","761","±394","11.3%","±5.9","9,421","±440","409","±278","4.3%","±2.9","14,399","±679","1,832","±934","12.7%","±6.6","31,216,223","±24,889","2,302,102","±25,021","7.4%","±0.1"
"                Population 75 years and over","9,615","±408","2,313","±700","24.1%","±7.1","4,268","±642","1,600","±777","37.5%","±17.5","12,442","±723","3,620","±1,009","29.1%","±7.8","12,984","±257","4,306","±828","33.2%","±6.3","9,875","±948","2,661","±843","26.9%","±8.1","4,596","±653","1,800","±645","39.2%","±14.2","5,639","±726","1,828","±595","32.4%","±9.0","5,712","±532","1,653","±506","28.9%","±8.3","4,807","±503","1,868","±707","38.9%","±12.5","9,439","±711","2,916","±1,083","30.9%","±11.0","21,566,194","±17,007","4,989,331","±37,903","23.1%","±0.2"
