"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Insured!!Estimate","DeSoto County, Mississippi!!Percent Insured!!Estimate","DeSoto County, Mississippi!!Uninsured!!Estimate","DeSoto County, Mississippi!!Percent Uninsured!!Estimate","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Insured!!Estimate","Forrest County, Mississippi!!Percent Insured!!Estimate","Forrest County, Mississippi!!Uninsured!!Estimate","Forrest County, Mississippi!!Percent Uninsured!!Estimate","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Insured!!Estimate","Harrison County, Mississippi!!Percent Insured!!Estimate","Harrison County, Mississippi!!Uninsured!!Estimate","Harrison County, Mississippi!!Percent Uninsured!!Estimate","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Insured!!Estimate","Hinds County, Mississippi!!Percent Insured!!Estimate","Hinds County, Mississippi!!Uninsured!!Estimate","Hinds County, Mississippi!!Percent Uninsured!!Estimate","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Insured!!Estimate","Jackson County, Mississippi!!Percent Insured!!Estimate","Jackson County, Mississippi!!Uninsured!!Estimate","Jackson County, Mississippi!!Percent Uninsured!!Estimate","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Insured!!Estimate","Jones County, Mississippi!!Percent Insured!!Estimate","Jones County, Mississippi!!Uninsured!!Estimate","Jones County, Mississippi!!Percent Uninsured!!Estimate","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Insured!!Estimate","Lauderdale County, Mississippi!!Percent Insured!!Estimate","Lauderdale County, Mississippi!!Uninsured!!Estimate","Lauderdale County, Mississippi!!Percent Uninsured!!Estimate","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Insured!!Estimate","Lee County, Mississippi!!Percent Insured!!Estimate","Lee County, Mississippi!!Uninsured!!Estimate","Lee County, Mississippi!!Percent Uninsured!!Estimate","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Insured!!Estimate","Madison County, Mississippi!!Percent Insured!!Estimate","Madison County, Mississippi!!Uninsured!!Estimate","Madison County, Mississippi!!Percent Uninsured!!Estimate","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Insured!!Estimate","Rankin County, Mississippi!!Percent Insured!!Estimate","Rankin County, Mississippi!!Uninsured!!Estimate","Rankin County, Mississippi!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"                Unemployed","3,825","2,622","68.5%","1,203","31.5%","2,059","1,069","51.9%","990","48.1%","5,769","2,820","48.9%","2,949","51.1%","8,067","4,247","52.6%","3,820","47.4%","5,029","2,246","44.7%","2,783","55.3%","335","75","22.4%","260","77.6%","1,053","535","50.8%","518","49.2%","1,557","863","55.4%","694","44.6%","1,822","1,457","80.0%","365","20.0%","3,847","1,897","49.3%","1,950","50.7%","6,531,302","4,682,652","71.7%","1,848,650","28.3%"
"            Not in labor force","19,257","16,208","84.2%","3,049","15.8%","12,234","9,061","74.1%","3,173","25.9%","29,666","21,981","74.1%","7,685","25.9%","33,638","25,043","74.4%","8,595","25.6%","19,874","16,160","81.3%","3,714","18.7%","11,701","8,777","75.0%","2,924","25.0%","10,222","7,704","75.4%","2,518","24.6%","12,132","9,082","74.9%","3,050","25.1%","13,349","11,421","85.6%","1,928","14.4%","18,063","15,214","84.2%","2,849","15.8%","41,078,082","34,859,419","84.9%","6,218,663","15.1%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","110,222","97,946","88.9%","12,276","11.1%","46,104","36,454","79.1%","9,650","20.9%","114,958","91,368","79.5%","23,590","20.5%","137,500","108,431","78.9%","29,069","21.1%","82,484","67,832","82.2%","14,652","17.8%","36,972","29,963","81.0%","7,009","19.0%","39,205","31,609","80.6%","7,596","19.4%","49,871","40,776","81.8%","9,095","18.2%","64,314","56,527","87.9%","7,787","12.1%","89,848","73,215","81.5%","16,633","18.5%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"            Worked full-time, year round in the past 12 months","71,615","65,791","91.9%","5,824","8.1%","22,679","19,640","86.6%","3,039","13.4%","57,131","50,779","88.9%","6,352","11.1%","69,395","60,858","87.7%","8,537","12.3%","44,177","39,256","88.9%","4,921","11.1%","20,827","18,040","86.6%","2,787","13.4%","22,140","19,497","88.1%","2,643","11.9%","28,944","25,879","89.4%","3,065","10.6%","39,894","35,841","89.8%","4,053","10.2%","53,685","47,290","88.1%","6,395","11.9%","109,214,198","98,095,694","89.8%","11,118,504","10.2%"
"            Worked less than full-time, year round in the past 12 months","21,281","17,847","83.9%","3,434","16.1%","11,497","8,537","74.3%","2,960","25.7%","28,014","18,574","66.3%","9,440","33.7%","33,666","22,632","67.2%","11,034","32.8%","17,160","12,497","72.8%","4,663","27.2%","5,293","3,841","72.6%","1,452","27.4%","8,638","6,118","70.8%","2,520","29.2%","9,443","6,336","67.1%","3,107","32.9%","12,690","10,455","82.4%","2,235","17.6%","19,344","12,024","62.2%","7,320","37.8%","46,115,530","38,369,726","83.2%","7,745,804","16.8%"
"            Did not work","17,326","14,308","82.6%","3,018","17.4%","11,928","8,277","69.4%","3,651","30.6%","29,813","22,015","73.8%","7,798","26.2%","34,439","24,941","72.4%","9,498","27.6%","21,147","16,079","76.0%","5,068","24.0%","10,852","8,082","74.5%","2,770","25.5%","8,427","5,994","71.1%","2,433","28.9%","11,484","8,561","74.5%","2,923","25.5%","11,730","10,231","87.2%","1,499","12.8%","16,819","13,901","82.7%","2,918","17.3%","37,658,101","31,670,509","84.1%","5,987,592","15.9%"
"    HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total household population","183,574","168,291","91.7%","15,283","8.3%","71,496","61,907","86.6%","9,589","13.4%","198,880","170,938","86.0%","27,942","14.0%","223,087","191,037","85.6%","32,050","14.4%","141,707","125,011","88.2%","16,696","11.8%","66,324","58,183","87.7%","8,141","12.3%","69,028","61,170","88.6%","7,858","11.4%","84,313","73,215","86.8%","11,098","13.2%","103,955","95,829","92.2%","8,126","7.8%","149,523","131,402","87.9%","18,121","12.1%","319,261,418","289,929,027","90.8%","29,332,391","9.2%"
"            Under $25,000","18,078","15,439","85.4%","2,639","14.6%","17,532","13,429","76.6%","4,103","23.4%","40,641","31,858","78.4%","8,783","21.6%","46,528","38,230","82.2%","8,298","17.8%","19,758","15,879","80.4%","3,879","19.6%","18,862","15,906","84.3%","2,956","15.7%","17,626","14,826","84.1%","2,800","15.9%","14,895","12,873","86.4%","2,022","13.6%","12,284","10,007","81.5%","2,277","18.5%","17,484","13,324","76.2%","4,160","23.8%","40,323,295","34,899,277","86.5%","5,424,018","13.5%"
"            $25,000 to $49,999","31,285","27,846","89.0%","3,439","11.0%","19,728","17,013","86.2%","2,715","13.8%","41,578","34,399","82.7%","7,179","17.3%","56,521","46,416","82.1%","10,105","17.9%","35,902","29,469","82.1%","6,433","17.9%","14,193","12,220","86.1%","1,973","13.9%","18,141","14,656","80.8%","3,485","19.2%","21,596","17,041","78.9%","4,555","21.1%","18,852","17,287","91.7%","1,565","8.3%","22,610","20,096","88.9%","2,514","11.1%","56,551,992","48,692,982","86.1%","7,859,010","13.9%"
"            $50,000 to $74,999","35,073","31,698","90.4%","3,375","9.6%","16,137","13,752","85.2%","2,385","14.8%","38,569","34,372","89.1%","4,197","10.9%","52,496","44,234","84.3%","8,262","15.7%","24,023","22,477","93.6%","1,546","6.4%","13,305","10,508","79.0%","2,797","21.0%","11,524","10,647","92.4%","877","7.6%","12,565","11,636","92.6%","929","7.4%","15,184","12,984","85.5%","2,200","14.5%","32,102","27,097","84.4%","5,005","15.6%","54,772,904","48,508,928","88.6%","6,263,976","11.4%"
"            $75,000 to $99,999","32,384","29,844","92.2%","2,540","7.8%","4,795","4,496","93.8%","299","6.2%","23,872","20,606","86.3%","3,266","13.7%","24,334","21,992","90.4%","2,342","9.6%","24,488","22,409","91.5%","2,079","8.5%","5,673","5,490","96.8%","183","3.2%","6,621","6,061","91.5%","560","8.5%","14,290","12,717","89.0%","1,573","11.0%","13,951","12,351","88.5%","1,600","11.5%","25,258","21,780","86.2%","3,478","13.8%","44,885,818","41,020,936","91.4%","3,864,882","8.6%"
"            $100,000 and over","66,754","63,464","95.1%","3,290","4.9%","13,304","13,217","99.3%","87","0.7%","54,220","49,703","91.7%","4,517","8.3%","43,208","40,165","93.0%","3,043","7.0%","37,536","34,777","92.6%","2,759","7.4%","14,291","14,059","98.4%","232","1.6%","15,116","14,980","99.1%","136","0.9%","20,967","18,948","90.4%","2,019","9.6%","43,684","43,200","98.9%","484","1.1%","52,069","49,105","94.3%","2,964","5.7%","122,727,409","116,806,904","95.2%","5,920,505","4.8%"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","182,636","167,353","91.6%","15,283","8.4%","71,842","62,200","86.6%","9,642","13.4%","198,378","170,420","85.9%","27,958","14.1%","223,402","191,445","85.7%","31,957","14.3%","140,444","123,701","88.1%","16,743","11.9%","66,396","58,250","87.7%","8,146","12.3%","68,870","60,961","88.5%","7,909","11.5%","84,081","73,089","86.9%","10,992","13.1%","104,797","96,689","92.3%","8,108","7.7%","150,269","132,010","87.8%","18,259","12.2%","319,224,591","289,833,878","90.8%","29,390,713","9.2%"
"            Below 138 percent of the poverty threshold","25,854","22,541","87.2%","3,313","12.8%","23,120","17,916","77.5%","5,204","22.5%","55,652","42,127","75.7%","13,525","24.3%","67,006","50,873","75.9%","16,133","24.1%","30,895","24,220","78.4%","6,675","21.6%","24,189","19,825","82.0%","4,364","18.0%","21,132","16,643","78.8%","4,489","21.2%","16,307","13,059","80.1%","3,248","19.9%","19,842","15,850","79.9%","3,992","20.1%","22,824","17,131","75.1%","5,693","24.9%","58,863,556","49,529,372","84.1%","9,334,184","15.9%"
"            138 to 399 percent of the poverty threshold","88,231","78,699","89.2%","9,532","10.8%","34,928","30,560","87.5%","4,368","12.5%","77,341","67,815","87.7%","9,526","12.3%","104,825","92,696","88.4%","12,129","11.6%","65,050","57,618","88.6%","7,432","11.4%","27,267","23,530","86.3%","3,737","13.7%","28,140","25,070","89.1%","3,070","10.9%","39,751","34,219","86.1%","5,532","13.9%","34,434","30,942","89.9%","3,492","10.1%","66,083","56,861","86.0%","9,222","14.0%","128,036,509","113,085,314","88.3%","14,951,195","11.7%"
"            At or above 400 percent of the poverty threshold","68,551","66,113","96.4%","2,438","3.6%","13,794","13,724","99.5%","70","0.5%","65,385","60,478","92.5%","4,907","7.5%","51,571","47,876","92.8%","3,695","7.2%","44,499","41,863","94.1%","2,636","5.9%","14,940","14,895","99.7%","45","0.3%","19,598","19,248","98.2%","350","1.8%","28,023","25,811","92.1%","2,212","7.9%","50,521","49,897","98.8%","624","1.2%","61,362","58,018","94.6%","3,344","5.4%","132,324,526","127,219,192","96.1%","5,105,334","3.9%"
"            Below 100 percent of the poverty threshold","17,543","15,278","87.1%","2,265","12.9%","17,801","13,333","74.9%","4,468","25.1%","34,181","23,815","69.7%","10,366","30.3%","42,282","32,936","77.9%","9,346","22.1%","21,112","15,914","75.4%","5,198","24.6%","18,384","15,270","83.1%","3,114","16.9%","14,671","12,461","84.9%","2,210","15.1%","11,964","9,865","82.5%","2,099","17.5%","9,077","7,440","82.0%","1,637","18.0%","17,515","12,548","71.6%","4,967","28.4%","39,464,064","33,166,119","84.0%","6,297,945","16.0%"
