"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Below poverty level!!Estimate","DeSoto County, Mississippi!!Below poverty level!!Margin of Error","DeSoto County, Mississippi!!Percent below poverty level!!Estimate","DeSoto County, Mississippi!!Percent below poverty level!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Below poverty level!!Estimate","Forrest County, Mississippi!!Below poverty level!!Margin of Error","Forrest County, Mississippi!!Percent below poverty level!!Estimate","Forrest County, Mississippi!!Percent below poverty level!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Below poverty level!!Estimate","Harrison County, Mississippi!!Below poverty level!!Margin of Error","Harrison County, Mississippi!!Percent below poverty level!!Estimate","Harrison County, Mississippi!!Percent below poverty level!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Below poverty level!!Estimate","Hinds County, Mississippi!!Below poverty level!!Margin of Error","Hinds County, Mississippi!!Percent below poverty level!!Estimate","Hinds County, Mississippi!!Percent below poverty level!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Below poverty level!!Estimate","Jackson County, Mississippi!!Below poverty level!!Margin of Error","Jackson County, Mississippi!!Percent below poverty level!!Estimate","Jackson County, Mississippi!!Percent below poverty level!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Below poverty level!!Estimate","Jones County, Mississippi!!Below poverty level!!Margin of Error","Jones County, Mississippi!!Percent below poverty level!!Estimate","Jones County, Mississippi!!Percent below poverty level!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Below poverty level!!Estimate","Lauderdale County, Mississippi!!Below poverty level!!Margin of Error","Lauderdale County, Mississippi!!Percent below poverty level!!Estimate","Lauderdale County, Mississippi!!Percent below poverty level!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Below poverty level!!Estimate","Lee County, Mississippi!!Below poverty level!!Margin of Error","Lee County, Mississippi!!Percent below poverty level!!Estimate","Lee County, Mississippi!!Percent below poverty level!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Below poverty level!!Estimate","Madison County, Mississippi!!Below poverty level!!Margin of Error","Madison County, Mississippi!!Percent below poverty level!!Estimate","Madison County, Mississippi!!Percent below poverty level!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Below poverty level!!Estimate","Rankin County, Mississippi!!Below poverty level!!Margin of Error","Rankin County, Mississippi!!Percent below poverty level!!Estimate","Rankin County, Mississippi!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"            Worked part-time or part-year in the past 12 months","26,727","±2,723","4,169","±1,289","15.6%","±4.5","11,827","±1,847","3,630","±1,149","30.7%","±8.5","33,901","±3,241","5,456","±1,641","16.1%","±4.6","38,808","±3,443","8,777","±2,101","22.6%","±4.9","22,023","±2,798","3,620","±1,256","16.4%","±5.5","7,100","±1,747","1,311","±766","18.5%","±10.4","11,147","±2,172","3,071","±1,157","27.6%","±9.7","11,435","±1,473","1,895","±722","16.6%","±6.2","15,613","±2,354","1,313","±752","8.4%","±4.8","24,724","±3,269","3,927","±1,271","15.9%","±4.8","55,905,879","±142,919","8,345,468","±63,452","14.9%","±0.1"
"            Did not work","43,007","±2,454","5,701","±1,449","13.3%","±3.2","20,881","±2,438","8,353","±2,631","40.0%","±9.7","61,469","±4,337","14,772","±3,503","24.0%","±5.0","64,209","±3,191","17,776","±2,493","27.7%","±3.6","45,509","±3,626","10,837","±3,213","23.8%","±5.8","21,352","±2,118","6,743","±2,010","31.6%","±7.7","19,532","±2,023","4,391","±1,482","22.5%","±6.6","24,208","±1,895","3,927","±1,108","16.2%","±4.6","24,340","±2,325","2,817","±1,039","11.6%","±4.3","38,054","±3,143","5,482","±1,733","14.4%","±4.2","85,428,271","±150,402","17,440,361","±112,546","20.4%","±0.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","7,896","±2,820","(X)","(X)","(X)","(X)","6,065","±2,774","(X)","(X)","(X)","(X)","15,419","±4,328","(X)","(X)","(X)","(X)","20,159","±3,964","(X)","(X)","(X)","(X)","8,122","±3,162","(X)","(X)","(X)","(X)","6,614","±2,674","(X)","(X)","(X)","(X)","6,699","±2,098","(X)","(X)","(X)","(X)","5,407","±2,152","(X)","(X)","(X)","(X)","3,743","±2,002","(X)","(X)","(X)","(X)","4,970","±2,239","(X)","(X)","(X)","(X)","17,602,164","±126,927","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","21,569","±3,711","(X)","(X)","(X)","(X)","21,104","±4,314","(X)","(X)","(X)","(X)","50,483","±7,044","(X)","(X)","(X)","(X)","55,868","±5,577","(X)","(X)","(X)","(X)","27,175","±5,226","(X)","(X)","(X)","(X)","23,105","±4,095","(X)","(X)","(X)","(X)","18,031","±2,999","(X)","(X)","(X)","(X)","14,249","±2,670","(X)","(X)","(X)","(X)","17,230","±4,883","(X)","(X)","(X)","(X)","20,458","±4,978","(X)","(X)","(X)","(X)","52,189,901","±299,896","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","30,365","±4,133","(X)","(X)","(X)","(X)","25,446","±4,339","(X)","(X)","(X)","(X)","60,226","±8,336","(X)","(X)","(X)","(X)","75,852","±6,328","(X)","(X)","(X)","(X)","33,863","±5,669","(X)","(X)","(X)","(X)","24,995","±4,106","(X)","(X)","(X)","(X)","22,891","±3,094","(X)","(X)","(X)","(X)","18,636","±3,274","(X)","(X)","(X)","(X)","20,901","±4,646","(X)","(X)","(X)","(X)","25,247","±5,128","(X)","(X)","(X)","(X)","65,139,120","±335,989","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","40,030","±4,238","(X)","(X)","(X)","(X)","29,176","±4,807","(X)","(X)","(X)","(X)","71,766","±8,865","(X)","(X)","(X)","(X)","94,205","±6,167","(X)","(X)","(X)","(X)","43,037","±6,037","(X)","(X)","(X)","(X)","30,552","±4,432","(X)","(X)","(X)","(X)","28,151","±3,452","(X)","(X)","(X)","(X)","25,498","±3,604","(X)","(X)","(X)","(X)","24,544","±4,509","(X)","(X)","(X)","(X)","31,833","±5,974","(X)","(X)","(X)","(X)","84,162,461","±410,280","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","45,252","±5,053","(X)","(X)","(X)","(X)","32,020","±4,497","(X)","(X)","(X)","(X)","77,464","±9,144","(X)","(X)","(X)","(X)","101,896","±6,338","(X)","(X)","(X)","(X)","45,556","±6,218","(X)","(X)","(X)","(X)","32,087","±4,178","(X)","(X)","(X)","(X)","31,087","±3,050","(X)","(X)","(X)","(X)","29,149","±3,419","(X)","(X)","(X)","(X)","26,365","±4,810","(X)","(X)","(X)","(X)","37,038","±6,599","(X)","(X)","(X)","(X)","92,655,786","±420,869","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","80,964","±6,556","(X)","(X)","(X)","(X)","51,060","±3,150","(X)","(X)","(X)","(X)","110,367","±8,323","(X)","(X)","(X)","(X)","143,767","±6,417","(X)","(X)","(X)","(X)","75,976","±6,129","(X)","(X)","(X)","(X)","39,543","±4,184","(X)","(X)","(X)","(X)","40,937","±3,629","(X)","(X)","(X)","(X)","45,887","±4,366","(X)","(X)","(X)","(X)","46,244","±4,881","(X)","(X)","(X)","(X)","64,585","±6,790","(X)","(X)","(X)","(X)","143,196,072","±488,803","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","114,506","±7,429","(X)","(X)","(X)","(X)","58,166","±3,034","(X)","(X)","(X)","(X)","136,009","±6,865","(X)","(X)","(X)","(X)","171,896","±5,552","(X)","(X)","(X)","(X)","96,171","±5,135","(X)","(X)","(X)","(X)","51,456","±3,526","(X)","(X)","(X)","(X)","50,131","±3,121","(X)","(X)","(X)","(X)","56,114","±3,716","(X)","(X)","(X)","(X)","54,295","±4,879","(X)","(X)","(X)","(X)","89,189","±5,864","(X)","(X)","(X)","(X)","187,401,509","±435,812","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","133,295","±7,252","(X)","(X)","(X)","(X)","62,511","±2,841","(X)","(X)","(X)","(X)","157,810","±5,298","(X)","(X)","(X)","(X)","190,647","±5,070","(X)","(X)","(X)","(X)","109,765","±4,483","(X)","(X)","(X)","(X)","58,054","±2,714","(X)","(X)","(X)","(X)","57,044","±2,827","(X)","(X)","(X)","(X)","65,841","±3,329","(X)","(X)","(X)","(X)","67,300","±4,199","(X)","(X)","(X)","(X)","109,415","±5,403","(X)","(X)","(X)","(X)","221,484,622","±368,116","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","26,304","±3,339","3,903","±1,180","14.8%","±3.5","16,265","±2,035","5,499","±1,478","33.8%","±7.8","34,564","±3,352","8,702","±1,890","25.2%","±4.4","46,780","±3,261","13,574","±1,967","29.0%","±3.8","23,578","±3,122","4,277","±1,441","18.1%","±4.8","10,822","±2,038","3,650","±1,538","33.7%","±11.1","12,184","±2,003","3,701","±1,140","30.4%","±7.6","12,111","±2,102","3,102","±846","25.6%","±6.2","15,014","±2,599","1,912","±823","12.7%","±4.7","23,431","±3,171","5,307","±1,849","22.6%","±6.7","63,367,537","±165,049","15,147,496","±85,504","23.9%","±0.1"
"    Male","11,459","±1,908","1,401","±699","12.2%","±5.5","9,033","±1,431","2,491","±1,081","27.6%","±11.2","16,807","±2,249","3,356","±1,107","20.0%","±6.0","22,691","±2,317","6,042","±1,337","26.6%","±5.4","11,098","±1,819","1,526","±797","13.8%","±6.8","5,705","±1,262","1,402","±763","24.6%","±11.7","6,152","±1,352","1,313","±590","21.3%","±9.1","4,217","±915","833","±443","19.8%","±9.7","5,923","±1,480","582","±415","9.8%","±6.6","9,567","±1,776","2,119","±950","22.1%","±9.2","31,102,291","±114,229","6,650,045","±58,989","21.4%","±0.2"
"    Female","14,845","±2,357","2,502","±988","16.9%","±5.3","7,232","±1,422","3,008","±1,031","41.6%","±11.0","17,757","±2,222","5,346","±1,297","30.1%","±5.9","24,089","±2,167","7,532","±1,434","31.3%","±5.6","12,480","±1,973","2,751","±1,123","22.0%","±7.3","5,117","±1,246","2,248","±1,063","43.9%","±15.8","6,032","±1,248","2,388","±990","39.6%","±12.7","7,894","±1,765","2,269","±639","28.7%","±7.8","9,091","±1,968","1,330","±659","14.6%","±6.1","13,864","±2,286","3,188","±1,372","23.0%","±7.9","32,265,246","±88,999","8,497,451","±47,268","26.3%","±0.1"
"    15 years","0","±226","0","±226","-","**","2","±4","2","±4","100.0%","±100.0","89","±168","89","±168","100.0%","±80.4","0","±226","0","±226","-","**","0","±226","0","±226","-","**","0","±226","0","±226","-","**","0","±226","0","±226","-","**","0","±226","0","±226","-","**","0","±226","0","±226","-","**","0","±226","0","±226","-","**","83,618","±5,420","82,208","±5,378","98.3%","±0.8"
"    16 to 17 years","56","±85","56","±85","100.0%","±100.0","0","±226","0","±226","-","**","0","±226","0","±226","-","**","168","±227","168","±227","100.0%","±58.5","68","±119","68","±119","100.0%","±92.0","0","±226","0","±226","-","**","0","±226","0","±226","-","**","82","±164","82","±164","100.0%","±83.7","0","±226","0","±226","-","**","0","±226","0","±226","-","**","204,953","±8,533","194,244","±8,321","94.8%","±0.9"
"    18 to 24 years","2,251","±1,235","874","±627","38.8%","±20.6","3,460","±1,488","2,199","±1,046","63.6%","±18.2","3,320","±1,212","1,105","±853","33.3%","±20.5","3,199","±1,109","1,907","±751","59.6%","±15.9","1,500","±902","579","±498","38.6%","±20.6","1,419","±775","155","±228","10.9%","±16.9","1,236","±633","501","±392","40.5%","±25.4","1,251","±1,109","175","±226","14.0%","±19.7","1,426","±738","21","±41","1.5%","±3.3","2,089","±989","1,147","±685","54.9%","±21.3","6,838,105","±61,734","3,197,531","±47,239","46.8%","±0.4"
"    25 to 34 years","3,404","±1,227","764","±567","22.4%","±14.1","3,756","±1,196","902","±615","24.0%","±14.9","6,064","±1,615","1,554","±800","25.6%","±13.3","9,752","±2,160","2,204","±1,113","22.6%","±10.6","3,060","±986","636","±448","20.8%","±13.9","1,041","±635","587","±582","56.4%","±37.9","2,077","±916","28","±54","1.3%","±2.6","980","±613","156","±182","15.9%","±18.3","3,698","±1,164","466","±405","12.6%","±9.8","2,802","±1,145","545","±495","19.5%","±17.1","13,454,841","±75,922","2,309,930","±31,903","17.2%","±0.2"
"    35 to 44 years","5,264","±1,336","626","±494","11.9%","±8.7","1,059","±608","322","±311","30.4%","±23.9","3,956","±1,299","834","±528","21.1%","±12.7","6,173","±1,417","1,109","±504","18.0%","±8.2","2,812","±1,224","1,155","±878","41.1%","±23.8","1,617","±816","619","±682","38.3%","±35.2","768","±644","461","±543","60.0%","±45.4","1,951","±813","421","±384","21.6%","±18.5","1,039","±753","67","±103","6.4%","±10.2","2,448","±1,320","665","±613","27.2%","±24.9","7,718,960","±50,822","1,499,258","±19,931","19.4%","±0.2"
"    45 to 54 years","3,387","±1,050","452","±390","13.3%","±10.9","2,534","±926","431","±386","17.0%","±14.9","5,273","±1,771","1,973","±1,068","37.4%","±14.4","5,196","±1,179","1,508","±614","29.0%","±10.3","4,118","±1,347","267","±219","6.5%","±5.5","1,293","±931","531","±598","41.1%","±31.8","1,854","±924","232","±287","12.5%","±15.0","2,251","±761","941","±467","41.8%","±20.3","1,587","±894","124","±180","7.8%","±11.8","3,211","±1,114","322","±276","10.0%","±8.4","7,978,652","±49,774","1,812,966","±22,813","22.7%","±0.2"
"    55 to 64 years","4,304","±1,037","158","±150","3.7%","±3.5","1,823","±735","591","±358","32.4%","±18.8","6,770","±1,366","2,012","±745","29.7%","±9.7","9,973","±1,355","3,191","±946","32.0%","±8.2","3,536","±1,025","754","±411","21.3%","±10.7","1,444","±725","477","±469","33.0%","±28.2","2,567","±852","1,407","±685","54.8%","±16.9","2,473","±711","644","±344","26.0%","±12.4","2,349","±883","212","±247","9.0%","±10.4","5,873","±1,451","1,759","±864","30.0%","±13.4","10,455,530","±54,536","2,724,824","±29,640","26.1%","±0.3"
"    65 to 74 years","3,793","±868","872","±471","23.0%","±10.5","2,127","±566","695","±507","32.7%","±20.6","5,113","±1,034","806","±424","15.8%","±8.1","7,057","±1,251","1,439","±558","20.4%","±7.4","3,823","±1,017","362","±329","9.5%","±8.5","1,784","±754","913","±521","51.2%","±24.7","1,558","±669","451","±447","28.9%","±24.2","1,217","±467","228","±177","18.7%","±14.8","3,112","±913","436","±307","14.0%","±10.0","3,208","±945","423","±388","13.2%","±11.4","8,654,115","±44,737","1,756,993","±22,093","20.3%","±0.2"
"    75 years and over","3,845","±1,228","101","±116","2.6%","±3.2","1,504","±630","357","±388","23.7%","±22.5","3,979","±934","329","±204","8.3%","±5.3","5,262","±958","2,048","±601","38.9%","±10.2","4,661","±1,080","456","±290","9.8%","±6.2","2,224","±766","368","±246","16.5%","±10.8","2,124","±652","621","±453","29.2%","±17.2","1,906","±572","455","±264","23.9%","±13.0","1,803","±732","586","±544","32.5%","±21.0","3,800","±1,032","446","±390","11.7%","±10.3","7,978,763","±37,753","1,569,542","±21,215","19.7%","±0.2"
"    Mean income deficit for unrelated individuals (dollars)","8,046","±1,396","(X)","(X)","(X)","(X)","6,493","±1,171","(X)","(X)","(X)","(X)","7,455","±885","(X)","(X)","(X)","(X)","6,784","±683","(X)","(X)","(X)","(X)","8,027","±1,431","(X)","(X)","(X)","(X)","6,158","±1,324","(X)","(X)","(X)","(X)","6,091","±1,552","(X)","(X)","(X)","(X)","8,200","±1,337","(X)","(X)","(X)","(X)","5,398","±1,921","(X)","(X)","(X)","(X)","5,941","±1,160","(X)","(X)","(X)","(X)","7,363","±22","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","14,587","±2,562","416","±358","2.9%","±2.5","7,025","±1,612","710","±500","10.1%","±7.3","13,268","±2,322","503","±416","3.8%","±3.0","19,815","±2,389","400","±271","2.0%","±1.4","8,135","±1,578","23","±37","0.3%","±0.5","4,521","±1,478","317","±363","7.0%","±7.2","5,138","±1,200","602","±514","11.7%","±9.8","5,486","±1,183","357","±354","6.5%","±6.3","8,799","±1,701","116","±206","1.3%","±2.3","9,415","±1,836","677","±769","7.2%","±7.8","28,435,494","±110,218","986,970","±18,256","3.5%","±0.1"
"    Worked less than full-time, year-round in the past 12 months","3,759","±1,205","1,306","±824","34.7%","±16.8","4,675","±1,252","2,299","±809","49.2%","±11.6","7,621","±1,593","2,523","±1,059","33.1%","±11.2","8,922","±1,972","3,644","±1,128","40.8%","±10.7","5,340","±1,418","1,359","±656","25.4%","±10.9","1,207","±742","398","±430","33.0%","±27.8","2,643","±1,018","1,359","±810","51.4%","±22.9","1,752","±893","621","±425","35.4%","±22.9","2,248","±1,044","444","±361","19.8%","±16.2","4,729","±1,571","1,489","±987","31.5%","±16.6","12,969,793","±65,338","4,594,315","±42,343","35.4%","±0.3"
"    Did not work","7,958","±1,852","2,181","±838","27.4%","±8.5","4,565","±1,103","2,490","±960","54.5%","±14.2","13,675","±2,105","5,676","±1,377","41.5%","±7.4","18,043","±2,037","9,530","±1,455","52.8%","±5.5","10,103","±2,015","2,895","±1,073","28.7%","±8.1","5,094","±1,293","2,935","±1,160","57.6%","±14.5","4,403","±1,201","1,740","±710","39.5%","±11.7","4,873","±985","2,124","±584","43.6%","±10.5","3,967","±1,197","1,352","±743","34.1%","±11.6","9,287","±1,863","3,141","±1,253","33.8%","±9.9","21,962,250","±91,281","9,566,211","±63,777","43.6%","±0.2"
