"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Below poverty level!!Estimate","Boone County, Kentucky!!Below poverty level!!Margin of Error","Boone County, Kentucky!!Percent below poverty level!!Estimate","Boone County, Kentucky!!Percent below poverty level!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Below poverty level!!Estimate","Bullitt County, Kentucky!!Below poverty level!!Margin of Error","Bullitt County, Kentucky!!Percent below poverty level!!Estimate","Bullitt County, Kentucky!!Percent below poverty level!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Below poverty level!!Estimate","Campbell County, Kentucky!!Below poverty level!!Margin of Error","Campbell County, Kentucky!!Percent below poverty level!!Estimate","Campbell County, Kentucky!!Percent below poverty level!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Below poverty level!!Estimate","Christian County, Kentucky!!Below poverty level!!Margin of Error","Christian County, Kentucky!!Percent below poverty level!!Estimate","Christian County, Kentucky!!Percent below poverty level!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Below poverty level!!Estimate","Daviess County, Kentucky!!Below poverty level!!Margin of Error","Daviess County, Kentucky!!Percent below poverty level!!Estimate","Daviess County, Kentucky!!Percent below poverty level!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Below poverty level!!Estimate","Fayette County, Kentucky!!Below poverty level!!Margin of Error","Fayette County, Kentucky!!Percent below poverty level!!Estimate","Fayette County, Kentucky!!Percent below poverty level!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Below poverty level!!Estimate","Hardin County, Kentucky!!Below poverty level!!Margin of Error","Hardin County, Kentucky!!Percent below poverty level!!Estimate","Hardin County, Kentucky!!Percent below poverty level!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Below poverty level!!Estimate","Jefferson County, Kentucky!!Below poverty level!!Margin of Error","Jefferson County, Kentucky!!Percent below poverty level!!Estimate","Jefferson County, Kentucky!!Percent below poverty level!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Below poverty level!!Estimate","Kenton County, Kentucky!!Below poverty level!!Margin of Error","Kenton County, Kentucky!!Percent below poverty level!!Estimate","Kenton County, Kentucky!!Percent below poverty level!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Below poverty level!!Estimate","McCracken County, Kentucky!!Below poverty level!!Margin of Error","McCracken County, Kentucky!!Percent below poverty level!!Estimate","McCracken County, Kentucky!!Percent below poverty level!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Below poverty level!!Estimate","Madison County, Kentucky!!Below poverty level!!Margin of Error","Madison County, Kentucky!!Percent below poverty level!!Estimate","Madison County, Kentucky!!Percent below poverty level!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Below poverty level!!Estimate","Oldham County, Kentucky!!Below poverty level!!Margin of Error","Oldham County, Kentucky!!Percent below poverty level!!Estimate","Oldham County, Kentucky!!Percent below poverty level!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Below poverty level!!Estimate","Warren County, Kentucky!!Below poverty level!!Margin of Error","Warren County, Kentucky!!Percent below poverty level!!Estimate","Warren County, Kentucky!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        Civilian labor force 16 years and over","73,782","±2,263","3,341","±1,394","4.5%","±1.9","44,236","±1,790","1,314","±588","3.0%","±1.4","49,421","±2,126","2,515","±880","5.1%","±1.7","23,709","±2,305","2,245","±837","9.5%","±3.5","46,649","±1,863","3,807","±1,072","8.2%","±2.3","173,084","±4,044","18,934","±2,473","10.9%","±1.4","49,981","±2,443","2,296","±916","4.6%","±1.8","397,037","±5,669","29,558","±3,501","7.4%","±0.9","91,272","±1,981","4,537","±1,188","5.0%","±1.3","29,515","±1,652","2,456","±787","8.3%","±2.8","42,172","±2,209","5,517","±1,301","13.1%","±3.0","32,066","±1,785","660","±401","2.1%","±1.2","68,528","±2,283","8,339","±2,048","12.2%","±3.0","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","72,238","±2,290","3,274","±1,395","4.5%","±1.9","42,579","±1,599","928","±549","2.2%","±1.3","47,624","±2,220","2,222","±773","4.7%","±1.6","20,656","±2,263","1,488","±736","7.2%","±3.5","44,909","±1,971","3,374","±1,072","7.5%","±2.4","164,654","±3,897","15,976","±2,354","9.7%","±1.4","47,275","±2,424","1,310","±572","2.8%","±1.2","379,410","±5,681","24,112","±3,043","6.4%","±0.8","88,736","±2,055","3,344","±959","3.8%","±1.1","28,512","±1,646","2,208","±743","7.7%","±2.7","40,287","±2,272","4,945","±1,206","12.3%","±2.9","30,398","±1,872","660","±401","2.2%","±1.3","65,499","±2,434","7,429","±1,990","11.3%","±3.0","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
"                Male","37,631","±1,659","1,347","±628","3.6%","±1.7","22,806","±1,059","238","±225","1.0%","±1.0","24,151","±1,328","823","±442","3.4%","±1.8","10,649","±1,582","499","±483","4.7%","±4.6","23,384","±1,645","1,813","±660","7.8%","±2.8","83,647","±2,881","6,851","±1,538","8.2%","±1.8","24,531","±1,511","581","±375","2.4%","±1.5","192,469","±3,980","9,157","±1,831","4.8%","±1.0","46,246","±1,643","1,710","±711","3.7%","±1.5","13,830","±1,195","743","±447","5.4%","±3.1","20,818","±1,370","2,209","±933","10.6%","±4.6","15,927","±1,489","125","±142","0.8%","±0.9","34,704","±1,996","4,412","±1,787","12.7%","±5.0","82,669,669","±91,074","3,886,120","±43,570","4.7%","±0.1"
"                Female","34,607","±1,602","1,927","±1,089","5.6%","±3.1","19,773","±1,042","690","±474","3.5%","±2.4","23,473","±1,564","1,399","±631","6.0%","±2.6","10,007","±1,425","989","±563","9.9%","±5.1","21,525","±1,491","1,561","±784","7.3%","±3.5","81,007","±2,730","9,125","±1,738","11.3%","±2.1","22,744","±2,034","729","±388","3.2%","±1.7","186,941","±4,144","14,955","±2,497","8.0%","±1.3","42,490","±1,502","1,634","±726","3.8%","±1.7","14,682","±1,318","1,465","±548","10.0%","±3.9","19,469","±1,612","2,736","±823","14.1%","±4.0","14,471","±1,355","535","±354","3.7%","±2.5","30,795","±1,975","3,017","±1,230","9.8%","±3.8","75,097,099","±105,995","5,032,715","±43,140","6.7%","±0.1"
"            Unemployed","1,544","±640","67","±106","4.3%","±7.0","1,657","±729","386","±353","23.3%","±19.2","1,797","±647","293","±250","16.3%","±13.8","3,053","±1,460","757","±567","24.8%","±16.1","1,740","±667","433","±346","24.9%","±18.0","8,430","±1,532","2,958","±1,135","35.1%","±10.8","2,706","±902","986","±638","36.4%","±20.8","17,627","±2,521","5,446","±1,483","30.9%","±6.6","2,536","±899","1,193","±730","47.0%","±19.5","1,003","±492","248","±236","24.7%","±22.1","1,885","±831","572","±409","30.3%","±18.6","1,668","±715","0","±201","0.0%","±9.5","3,029","±1,268","910","±626","30.0%","±18.8","7,391,161","±47,457","2,090,290","±29,774","28.3%","±0.4"
"                Male","603","±446","0","±201","0.0%","±23.9","1,004","±516","259","±296","25.8%","±27.8","724","±342","162","±197","22.4%","±24.2","1,767","±1,128","255","±253","14.4%","±17.5","982","±477","227","±287","23.1%","±27.6","4,523","±1,254","1,364","±813","30.2%","±14.8","1,669","±754","659","±580","39.5%","±27.0","8,272","±1,908","2,006","±825","24.3%","±9.2","1,287","±816","620","±683","48.2%","±36.9","859","±469","226","±228","26.3%","±25.6","1,011","±504","285","±217","28.2%","±18.0","1,118","±549","0","±201","0.0%","±13.9","1,749","±978","463","±481","26.5%","±24.6","3,965,365","±36,702","1,018,900","±16,758","25.7%","±0.4"
"                Female","941","±667","67","±106","7.1%","±14.1","653","±448","127","±190","19.4%","±27.6","1,073","±547","131","±138","12.2%","±14.5","1,286","±651","502","±478","39.0%","±27.8","758","±436","206","±186","27.2%","±21.3","3,907","±1,003","1,594","±752","40.8%","±14.7","1,037","±560","327","±256","31.5%","±22.3","9,355","±1,763","3,440","±1,138","36.8%","±10.3","1,249","±609","573","±472","45.9%","±21.5","144","±188","22","±42","15.3%","±32.5","874","±616","287","±342","32.8%","±34.1","550","±460","0","±201","0.0%","±25.8","1,280","±727","447","±388","34.9%","±27.4","3,425,796","±32,910","1,071,390","±20,116","31.3%","±0.5"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","103,154","±1,013","7,193","±1,750","7.0%","±1.7","66,657","±687","3,843","±1,346","5.8%","±2.0","73,141","±1,390","7,891","±1,791","10.8%","±2.5","47,974","±1,622","9,116","±2,031","19.0%","±4.2","76,265","±1,095","10,986","±1,905","14.4%","±2.5","251,492","±2,106","37,236","±3,896","14.8%","±1.5","84,671","±1,652","8,890","±2,034","10.5%","±2.4","603,825","±2,415","74,161","±5,626","12.3%","±0.9","130,139","±865","12,083","±1,873","9.3%","±1.4","50,602","±1,038","6,634","±1,494","13.1%","±3.0","69,042","±1,101","12,012","±1,820","17.4%","±2.6","48,790","±1,047","2,212","±1,066","4.5%","±2.2","99,446","±1,285","14,580","±2,958","14.7%","±2.9","256,651,001","±52,263","28,665,305","±140,560","11.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","52,899","±2,965","1,472","±1,007","2.8%","±1.9","33,327","±2,081","159","±167","0.5%","±0.5","35,423","±2,028","804","±459","2.3%","±1.2","19,893","±2,400","913","±602","4.6%","±3.0","33,095","±2,165","2,378","±1,010","7.2%","±3.0","118,661","±3,919","3,674","±1,156","3.1%","±1.0","38,084","±2,430","334","±236","0.9%","±0.6","271,447","±6,150","6,225","±1,366","2.3%","±0.5","63,719","±2,278","798","±439","1.3%","±0.7","21,577","±1,879","814","±471","3.8%","±2.3","27,127","±1,998","954","±516","3.5%","±1.9","22,961","±1,458","341","±327","1.5%","±1.4","43,891","±2,755","2,341","±921","5.3%","±2.1","115,316,851","±128,608","2,879,476","±32,746","2.5%","±0.1"
"            Worked part-time or part-year in the past 12 months","22,969","±2,298","2,289","±925","10.0%","±4.0","11,999","±1,636","1,263","±658","10.5%","±5.4","15,486","±1,534","1,884","±710","12.2%","±4.5","7,629","±1,748","1,524","±701","20.0%","±8.3","15,915","±1,877","1,480","±606","9.3%","±3.6","62,995","±3,509","17,737","±2,869","28.2%","±3.8","15,465","±1,902","2,264","±858","14.6%","±5.2","137,416","±6,478","22,795","±3,395","16.6%","±2.2","30,459","±2,191","3,900","±1,113","12.8%","±3.5","9,787","±1,317","1,845","±656","18.9%","±6.2","17,833","±2,094","4,720","±1,219","26.5%","±5.9","9,898","±1,515","358","±223","3.6%","±2.2","27,340","±2,963","7,026","±2,024","25.7%","±6.1","55,905,879","±142,919","8,345,468","±63,452","14.9%","±0.1"
"            Did not work","27,286","±2,252","3,432","±1,294","12.6%","±4.4","21,331","±1,622","2,421","±1,046","11.3%","±4.5","22,232","±1,719","5,203","±1,639","23.4%","±6.5","20,452","±2,051","6,679","±1,871","32.7%","±7.3","27,255","±2,005","7,128","±1,805","26.2%","±5.8","69,836","±3,630","15,825","±2,952","22.7%","±3.6","31,122","±2,062","6,292","±1,567","20.2%","±4.8","194,962","±5,886","45,141","±4,539","23.2%","±2.1","35,961","±2,123","7,385","±1,436","20.5%","±3.9","19,238","±1,483","3,975","±1,226","20.7%","±6.1","24,082","±2,089","6,338","±1,467","26.3%","±5.3","15,931","±1,731","1,513","±1,110","9.5%","±6.6","28,215","±2,333","5,213","±1,623","18.5%","±5.2","85,428,271","±150,402","17,440,361","±112,546","20.4%","±0.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","4,437","±2,008","(X)","(X)","(X)","(X)","1,633","±899","(X)","(X)","(X)","(X)","3,486","±1,172","(X)","(X)","(X)","(X)","5,547","±2,027","(X)","(X)","(X)","(X)","7,264","±2,339","(X)","(X)","(X)","(X)","21,390","±4,077","(X)","(X)","(X)","(X)","4,216","±1,492","(X)","(X)","(X)","(X)","46,016","±7,522","(X)","(X)","(X)","(X)","7,750","±2,144","(X)","(X)","(X)","(X)","4,992","±2,439","(X)","(X)","(X)","(X)","8,466","±2,072","(X)","(X)","(X)","(X)","505","±466","(X)","(X)","(X)","(X)","9,439","±3,125","(X)","(X)","(X)","(X)","17,602,164","±126,927","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","13,000","±3,285","(X)","(X)","(X)","(X)","6,156","±2,231","(X)","(X)","(X)","(X)","12,859","±2,444","(X)","(X)","(X)","(X)","17,675","±3,390","(X)","(X)","(X)","(X)","23,884","±4,013","(X)","(X)","(X)","(X)","66,613","±6,714","(X)","(X)","(X)","(X)","15,723","±3,077","(X)","(X)","(X)","(X)","136,092","±9,410","(X)","(X)","(X)","(X)","23,424","±3,349","(X)","(X)","(X)","(X)","13,916","±3,304","(X)","(X)","(X)","(X)","20,943","±2,879","(X)","(X)","(X)","(X)","3,593","±1,301","(X)","(X)","(X)","(X)","25,082","±4,521","(X)","(X)","(X)","(X)","52,189,901","±299,896","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","15,759","±3,452","(X)","(X)","(X)","(X)","11,461","±3,166","(X)","(X)","(X)","(X)","15,195","±2,507","(X)","(X)","(X)","(X)","22,257","±3,602","(X)","(X)","(X)","(X)","27,163","±4,064","(X)","(X)","(X)","(X)","76,210","±6,571","(X)","(X)","(X)","(X)","18,525","±3,296","(X)","(X)","(X)","(X)","166,002","±10,449","(X)","(X)","(X)","(X)","29,883","±4,322","(X)","(X)","(X)","(X)","16,423","±3,395","(X)","(X)","(X)","(X)","24,287","±2,866","(X)","(X)","(X)","(X)","4,857","±1,491","(X)","(X)","(X)","(X)","28,727","±4,594","(X)","(X)","(X)","(X)","65,139,120","±335,989","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","22,329","±4,181","(X)","(X)","(X)","(X)","18,976","±3,945","(X)","(X)","(X)","(X)","19,120","±2,551","(X)","(X)","(X)","(X)","26,942","±3,575","(X)","(X)","(X)","(X)","32,873","±4,043","(X)","(X)","(X)","(X)","94,629","±7,302","(X)","(X)","(X)","(X)","26,651","±4,307","(X)","(X)","(X)","(X)","205,036","±11,429","(X)","(X)","(X)","(X)","35,731","±4,305","(X)","(X)","(X)","(X)","21,215","±3,516","(X)","(X)","(X)","(X)","31,771","±3,439","(X)","(X)","(X)","(X)","6,681","±1,728","(X)","(X)","(X)","(X)","41,480","±4,685","(X)","(X)","(X)","(X)","84,162,461","±410,280","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","24,509","±4,314","(X)","(X)","(X)","(X)","21,772","±3,938","(X)","(X)","(X)","(X)","21,379","±2,573","(X)","(X)","(X)","(X)","29,117","±3,308","(X)","(X)","(X)","(X)","34,385","±4,011","(X)","(X)","(X)","(X)","101,415","±7,078","(X)","(X)","(X)","(X)","30,360","±4,796","(X)","(X)","(X)","(X)","225,308","±12,085","(X)","(X)","(X)","(X)","39,032","±4,696","(X)","(X)","(X)","(X)","23,777","±3,559","(X)","(X)","(X)","(X)","34,188","±3,584","(X)","(X)","(X)","(X)","7,752","±1,691","(X)","(X)","(X)","(X)","45,149","±4,345","(X)","(X)","(X)","(X)","92,655,786","±420,869","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","40,479","±5,084","(X)","(X)","(X)","(X)","33,029","±3,693","(X)","(X)","(X)","(X)","35,991","±3,330","(X)","(X)","(X)","(X)","41,958","±3,330","(X)","(X)","(X)","(X)","52,921","±4,175","(X)","(X)","(X)","(X)","145,038","±8,112","(X)","(X)","(X)","(X)","53,850","±4,905","(X)","(X)","(X)","(X)","354,845","±12,188","(X)","(X)","(X)","(X)","67,146","±6,004","(X)","(X)","(X)","(X)","35,447","±3,198","(X)","(X)","(X)","(X)","46,298","±3,347","(X)","(X)","(X)","(X)","15,917","±2,081","(X)","(X)","(X)","(X)","67,120","±4,313","(X)","(X)","(X)","(X)","143,196,072","±488,803","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","65,265","±5,687","(X)","(X)","(X)","(X)","43,977","±3,840","(X)","(X)","(X)","(X)","48,752","±3,477","(X)","(X)","(X)","(X)","49,667","±2,841","(X)","(X)","(X)","(X)","69,206","±3,926","(X)","(X)","(X)","(X)","185,274","±6,815","(X)","(X)","(X)","(X)","76,396","±3,964","(X)","(X)","(X)","(X)","467,968","±11,247","(X)","(X)","(X)","(X)","91,651","±5,466","(X)","(X)","(X)","(X)","44,528","±3,395","(X)","(X)","(X)","(X)","55,821","±3,425","(X)","(X)","(X)","(X)","25,439","±2,656","(X)","(X)","(X)","(X)","88,786","±4,421","(X)","(X)","(X)","(X)","187,401,509","±435,812","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","87,603","±5,239","(X)","(X)","(X)","(X)","57,521","±3,465","(X)","(X)","(X)","(X)","58,271","±3,485","(X)","(X)","(X)","(X)","54,236","±2,473","(X)","(X)","(X)","(X)","80,383","±3,097","(X)","(X)","(X)","(X)","218,019","±7,142","(X)","(X)","(X)","(X)","84,352","±3,612","(X)","(X)","(X)","(X)","550,025","±9,893","(X)","(X)","(X)","(X)","113,262","±4,857","(X)","(X)","(X)","(X)","52,707","±2,687","(X)","(X)","(X)","(X)","65,658","±2,938","(X)","(X)","(X)","(X)","33,352","±2,914","(X)","(X)","(X)","(X)","98,660","±4,153","(X)","(X)","(X)","(X)","221,484,622","±368,116","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","21,447","±3,237","4,395","±1,386","20.5%","±5.3","11,603","±1,789","2,390","±1,006","20.6%","±7.4","21,941","±2,175","4,421","±1,070","20.1%","±4.5","12,634","±1,841","3,780","±1,187","29.9%","±7.6","19,281","±2,307","5,258","±1,243","27.3%","±5.4","89,466","±4,742","25,638","±3,413","28.7%","±3.3","20,214","±2,494","5,247","±1,332","26.0%","±5.5","180,323","±7,130","40,210","±4,608","22.3%","±2.1","37,545","±3,702","7,576","±1,633","20.2%","±3.4","13,648","±2,031","3,768","±1,070","27.6%","±7.2","18,689","±1,961","8,008","±1,747","42.8%","±7.4","5,576","±1,160","486","±327","8.7%","±6.0","28,372","±3,225","9,085","±2,061","32.0%","±6.2","63,367,537","±165,049","15,147,496","±85,504","23.9%","±0.1"
"    Male","10,973","±2,109","2,293","±993","20.9%","±8.1","6,114","±1,153","1,291","±892","21.1%","±12.2","10,489","±1,500","2,243","±644","21.4%","±6.2","7,257","±1,310","1,443","±725","19.9%","±9.7","9,690","±1,608","2,777","±911","28.7%","±8.4","45,419","±2,988","13,321","±2,433","29.3%","±4.9","8,533","±1,548","1,745","±795","20.5%","±8.5","89,198","±4,525","17,543","±2,740","19.7%","±2.7","18,348","±2,436","3,729","±1,311","20.3%","±5.7","6,247","±1,335","1,424","±511","22.8%","±7.1","9,050","±1,289","4,018","±1,561","44.4%","±14.9","2,894","±683","373","±299","12.9%","±10.6","14,227","±2,222","4,358","±1,519","30.6%","±9.7","31,102,291","±114,229","6,650,045","±58,989","21.4%","±0.2"
"    Female","10,474","±1,950","2,102","±814","20.1%","±6.5","5,489","±1,261","1,099","±482","20.0%","±8.4","11,452","±1,401","2,178","±708","19.0%","±5.8","5,377","±1,329","2,337","±1,054","43.5%","±12.3","9,591","±1,294","2,481","±969","25.9%","±9.0","44,047","±2,951","12,317","±2,044","28.0%","±4.2","11,681","±1,686","3,502","±990","30.0%","±7.0","91,125","±4,523","22,667","±3,327","24.9%","±2.9","19,197","±1,968","3,847","±963","20.0%","±4.9","7,401","±1,258","2,344","±889","31.7%","±10.7","9,639","±1,455","3,990","±986","41.4%","±8.2","2,682","±741","113","±111","4.2%","±4.1","14,145","±2,111","4,727","±1,601","33.4%","±9.6","32,265,246","±88,999","8,497,451","±47,268","26.3%","±0.1"
"    15 years","92","±191","92","±191","100.0%","±70.2","0","±201","0","±201","-","**","51","±78","51","±78","100.0%","±94.3","0","±201","0","±201","-","**","74","±145","74","±145","100.0%","±78.3","205","±168","205","±168","100.0%","±47.0","0","±201","0","±201","-","**","299","±374","299","±374","100.0%","±38.9","0","±201","0","±201","-","**","0","±201","0","±201","-","**","61","±100","61","±100","100.0%","±86.2","0","±201","0","±201","-","**","0","±201","0","±201","-","**","83,618","±5,420","82,208","±5,378","98.3%","±0.8"
"    16 to 17 years","179","±235","179","±235","100.0%","±50.3","0","±201","0","±201","-","**","136","±186","136","±186","100.0%","±57.7","0","±201","0","±201","-","**","0","±201","0","±201","-","**","167","±133","167","±133","100.0%","±52.1","0","±201","0","±201","-","**","457","±353","457","±353","100.0%","±29.8","354","±435","354","±435","100.0%","±35.5","0","±201","0","±201","-","**","0","±201","0","±201","-","**","0","±201","0","±201","-","**","315","±275","315","±275","100.0%","±37.9","204,953","±8,533","194,244","±8,321","94.8%","±0.9"
"    18 to 24 years","2,550","±1,070","631","±439","24.7%","±14.1","649","±472","159","±159","24.5%","±18.0","2,949","±877","1,052","±451","35.7%","±13.7","1,436","±845","722","±627","50.3%","±33.9","1,537","±779","831","±532","54.1%","±20.1","23,437","±2,182","11,778","±2,338","50.3%","±8.1","2,406","±1,006","1,306","±750","54.3%","±20.0","17,314","±2,531","6,291","±1,498","36.3%","±7.5","4,490","±1,261","1,331","±729","29.6%","±14.0","1,338","±585","783","±414","58.5%","±21.2","6,813","±1,252","4,057","±1,367","59.5%","±17.4","922","±633","102","±145","11.1%","±20.7","7,817","±1,575","4,236","±1,579","54.2%","±16.4","6,838,105","±61,734","3,197,531","±47,239","46.8%","±0.4"
"    25 to 34 years","4,333","±1,361","722","±509","16.7%","±10.9","1,966","±941","355","±291","18.1%","±12.5","5,098","±1,222","809","±478","15.9%","±10.1","2,612","±935","632","±531","24.2%","±20.4","2,882","±948","1,174","±650","40.7%","±16.9","19,427","±2,276","4,070","±1,325","21.0%","±5.9","3,832","±1,168","501","±475","13.1%","±11.1","43,260","±3,457","6,585","±1,938","15.2%","±4.0","7,956","±1,592","727","±397","9.1%","±4.8","1,163","±626","138","±157","11.9%","±13.6","2,274","±807","1,195","±573","52.6%","±18.1","1,037","±446","11","±21","1.1%","±2.1","5,250","±1,447","1,187","±942","22.6%","±15.3","13,454,841","±75,922","2,309,930","±31,903","17.2%","±0.2"
"    35 to 44 years","2,200","±856","322","±270","14.6%","±12.0","1,728","±658","138","±162","8.0%","±10.5","2,431","±716","339","±273","13.9%","±9.7","1,017","±508","203","±219","20.0%","±22.6","2,918","±1,200","472","±361","16.2%","±10.8","8,887","±1,577","1,450","±807","16.3%","±8.2","2,752","±974","1,095","±805","39.8%","±21.4","21,367","±2,692","4,255","±1,393","19.9%","±5.9","4,579","±1,116","348","±290","7.6%","±5.9","1,489","±727","347","±272","23.3%","±17.6","1,552","±604","491","±365","31.6%","±21.6","534","±309","0","±201","0.0%","±26.4","3,365","±1,239","1,087","±677","32.3%","±13.0","7,718,960","±50,822","1,499,258","±19,931","19.4%","±0.2"
"    45 to 54 years","3,012","±1,031","655","±515","21.7%","±14.8","1,744","±657","232","±230","13.3%","±13.1","2,426","±811","213","±220","8.8%","±8.3","2,030","±775","1,014","±694","50.0%","±23.9","1,697","±697","363","±245","21.4%","±13.7","9,226","±1,478","1,782","±723","19.3%","±7.4","2,300","±945","128","±141","5.6%","±6.4","22,373","±2,411","5,560","±1,313","24.9%","±4.9","4,420","±1,120","695","±445","15.7%","±9.0","2,021","±837","504","±381","24.9%","±17.4","1,113","±537","460","±306","41.3%","±20.1","383","±227","11","±19","2.9%","±5.5","2,663","±841","579","±366","21.7%","±13.1","7,978,652","±49,774","1,812,966","±22,813","22.7%","±0.2"
"    55 to 64 years","3,581","±1,023","1,138","±569","31.8%","±11.9","2,237","±814","549","±422","24.5%","±16.4","3,285","±768","942","±525","28.7%","±13.2","1,949","±583","744","±390","38.2%","±18.1","3,568","±965","1,148","±466","32.2%","±10.4","12,321","±1,912","3,284","±1,089","26.7%","±7.3","3,927","±1,133","964","±562","24.5%","±11.6","29,888","±2,531","7,629","±1,684","25.5%","±4.7","6,450","±1,287","1,675","±700","26.0%","±9.6","2,810","±731","1,165","±517","41.5%","±14.0","2,521","±922","680","±389","27.0%","±13.0","907","±459","13","±26","1.4%","±3.3","4,350","±1,141","1,278","±668","29.4%","±11.6","10,455,530","±54,536","2,724,824","±29,640","26.1%","±0.3"
"    65 to 74 years","3,591","±1,187","496","±451","13.8%","±12.0","1,604","±805","684","±730","42.6%","±29.0","3,043","±674","265","±247","8.7%","±7.5","2,104","±665","87","±125","4.1%","±6.1","3,971","±753","767","±500","19.3%","±11.9","7,878","±1,074","933","±526","11.8%","±6.3","2,758","±687","893","±506","32.4%","±14.9","25,486","±2,160","5,592","±1,220","21.9%","±4.1","5,635","±1,196","1,666","±669","29.6%","±10.2","2,304","±790","439","±399","19.1%","±15.1","2,512","±779","359","±402","14.3%","±14.6","1,089","±413","247","±258","22.7%","±22.3","2,645","±923","232","±285","8.8%","±10.0","8,654,115","±44,737","1,756,993","±22,093","20.3%","±0.2"
"    75 years and over","1,909","±668","160","±183","8.4%","±9.6","1,675","±543","273","±257","16.3%","±14.3","2,522","±517","614","±460","24.3%","±17.5","1,486","±443","378","±247","25.4%","±15.2","2,634","±577","429","±273","16.3%","±10.2","7,918","±1,285","1,969","±591","24.9%","±6.5","2,239","±759","360","±344","16.1%","±13.6","19,879","±1,830","3,542","±896","17.8%","±4.3","3,661","±967","780","±585","21.3%","±12.5","2,523","±659","392","±319","15.5%","±12.2","1,843","±544","705","±436","38.3%","±19.3","704","±289","102","±109","14.5%","±14.2","1,967","±707","171","±172","8.7%","±8.8","7,978,763","±37,753","1,569,542","±21,215","19.7%","±0.2"
"    Mean income deficit for unrelated individuals (dollars)","7,217","±1,091","(X)","(X)","(X)","(X)","6,282","±1,407","(X)","(X)","(X)","(X)","7,136","±1,122","(X)","(X)","(X)","(X)","6,612","±1,374","(X)","(X)","(X)","(X)","7,172","±947","(X)","(X)","(X)","(X)","7,419","±524","(X)","(X)","(X)","(X)","9,223","±1,541","(X)","(X)","(X)","(X)","6,795","±491","(X)","(X)","(X)","(X)","6,434","±856","(X)","(X)","(X)","(X)","6,423","±1,190","(X)","(X)","(X)","(X)","6,960","±794","(X)","(X)","(X)","(X)","5,712","±2,264","(X)","(X)","(X)","(X)","6,814","±1,357","(X)","(X)","(X)","(X)","7,363","±22","(X)","(X)","(X)","(X)"
