"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Below poverty level!!Estimate","Aiken County, South Carolina!!Below poverty level!!Margin of Error","Aiken County, South Carolina!!Percent below poverty level!!Estimate","Aiken County, South Carolina!!Percent below poverty level!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Below poverty level!!Estimate","Anderson County, South Carolina!!Below poverty level!!Margin of Error","Anderson County, South Carolina!!Percent below poverty level!!Estimate","Anderson County, South Carolina!!Percent below poverty level!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Below poverty level!!Estimate","Beaufort County, South Carolina!!Below poverty level!!Margin of Error","Beaufort County, South Carolina!!Percent below poverty level!!Estimate","Beaufort County, South Carolina!!Percent below poverty level!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Below poverty level!!Estimate","Berkeley County, South Carolina!!Below poverty level!!Margin of Error","Berkeley County, South Carolina!!Percent below poverty level!!Estimate","Berkeley County, South Carolina!!Percent below poverty level!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Below poverty level!!Estimate","Charleston County, South Carolina!!Below poverty level!!Margin of Error","Charleston County, South Carolina!!Percent below poverty level!!Estimate","Charleston County, South Carolina!!Percent below poverty level!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Below poverty level!!Estimate","Darlington County, South Carolina!!Below poverty level!!Margin of Error","Darlington County, South Carolina!!Percent below poverty level!!Estimate","Darlington County, South Carolina!!Percent below poverty level!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Below poverty level!!Estimate","Dorchester County, South Carolina!!Below poverty level!!Margin of Error","Dorchester County, South Carolina!!Percent below poverty level!!Estimate","Dorchester County, South Carolina!!Percent below poverty level!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Below poverty level!!Estimate","Florence County, South Carolina!!Below poverty level!!Margin of Error","Florence County, South Carolina!!Percent below poverty level!!Estimate","Florence County, South Carolina!!Percent below poverty level!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Below poverty level!!Estimate","Greenville County, South Carolina!!Below poverty level!!Margin of Error","Greenville County, South Carolina!!Percent below poverty level!!Estimate","Greenville County, South Carolina!!Percent below poverty level!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Below poverty level!!Estimate","Greenwood County, South Carolina!!Below poverty level!!Margin of Error","Greenwood County, South Carolina!!Percent below poverty level!!Estimate","Greenwood County, South Carolina!!Percent below poverty level!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Below poverty level!!Estimate","Horry County, South Carolina!!Below poverty level!!Margin of Error","Horry County, South Carolina!!Percent below poverty level!!Estimate","Horry County, South Carolina!!Percent below poverty level!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Below poverty level!!Estimate","Kershaw County, South Carolina!!Below poverty level!!Margin of Error","Kershaw County, South Carolina!!Percent below poverty level!!Estimate","Kershaw County, South Carolina!!Percent below poverty level!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Below poverty level!!Estimate","Lancaster County, South Carolina!!Below poverty level!!Margin of Error","Lancaster County, South Carolina!!Percent below poverty level!!Estimate","Lancaster County, South Carolina!!Percent below poverty level!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Below poverty level!!Estimate","Laurens County, South Carolina!!Below poverty level!!Margin of Error","Laurens County, South Carolina!!Percent below poverty level!!Estimate","Laurens County, South Carolina!!Percent below poverty level!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Below poverty level!!Estimate","Lexington County, South Carolina!!Below poverty level!!Margin of Error","Lexington County, South Carolina!!Percent below poverty level!!Estimate","Lexington County, South Carolina!!Percent below poverty level!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Below poverty level!!Estimate","Oconee County, South Carolina!!Below poverty level!!Margin of Error","Oconee County, South Carolina!!Percent below poverty level!!Estimate","Oconee County, South Carolina!!Percent below poverty level!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Below poverty level!!Estimate","Orangeburg County, South Carolina!!Below poverty level!!Margin of Error","Orangeburg County, South Carolina!!Percent below poverty level!!Estimate","Orangeburg County, South Carolina!!Percent below poverty level!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Below poverty level!!Estimate","Pickens County, South Carolina!!Below poverty level!!Margin of Error","Pickens County, South Carolina!!Percent below poverty level!!Estimate","Pickens County, South Carolina!!Percent below poverty level!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Below poverty level!!Estimate","Richland County, South Carolina!!Below poverty level!!Margin of Error","Richland County, South Carolina!!Percent below poverty level!!Estimate","Richland County, South Carolina!!Percent below poverty level!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Below poverty level!!Estimate","Spartanburg County, South Carolina!!Below poverty level!!Margin of Error","Spartanburg County, South Carolina!!Percent below poverty level!!Estimate","Spartanburg County, South Carolina!!Percent below poverty level!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Below poverty level!!Estimate","Sumter County, South Carolina!!Below poverty level!!Margin of Error","Sumter County, South Carolina!!Percent below poverty level!!Estimate","Sumter County, South Carolina!!Percent below poverty level!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Below poverty level!!Estimate","York County, South Carolina!!Below poverty level!!Margin of Error","York County, South Carolina!!Percent below poverty level!!Estimate","York County, South Carolina!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        Civilian labor force 16 years and over","77,330","±3,360","4,313","±1,338","5.6%","±1.7","99,944","±3,324","8,242","±1,825","8.2%","±1.8","84,794","±3,725","4,794","±1,508","5.7%","±1.8","112,318","±2,972","6,087","±1,548","5.4%","±1.3","216,129","±5,276","13,704","±3,224","6.3%","±1.5","29,218","±2,055","1,894","±839","6.5%","±2.9","82,598","±3,081","4,234","±1,229","5.1%","±1.5","63,058","±2,504","4,120","±1,198","6.5%","±1.9","265,380","±4,442","14,716","±2,468","5.5%","±0.9","31,829","±2,400","3,780","±1,549","11.9%","±4.6","166,523","±4,160","14,166","±2,582","8.5%","±1.5","30,909","±2,149","2,685","±963","8.7%","±3.1","44,073","±2,597","2,944","±1,381","6.7%","±3.1","30,165","±1,630","4,625","±1,761","15.3%","±5.8","151,727","±3,567","9,519","±2,081","6.3%","±1.4","34,669","±2,330","2,732","±930","7.9%","±2.7","35,903","±2,075","4,816","±1,427","13.4%","±3.8","60,858","±2,267","6,676","±1,453","11.0%","±2.3","197,882","±5,065","19,285","±3,013","9.7%","±1.5","153,025","±5,023","9,804","±2,282","6.4%","±1.5","46,154","±2,211","3,965","±1,150","8.6%","±2.6","149,521","±3,591","7,150","±1,990","4.8%","±1.3","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","72,007","±3,424","3,091","±1,057","4.3%","±1.5","94,945","±3,325","6,373","±1,403","6.7%","±1.5","81,895","±4,092","4,163","±1,493","5.1%","±1.8","106,919","±3,192","5,015","±1,396","4.7%","±1.3","210,054","±5,048","12,437","±2,996","5.9%","±1.4","27,715","±2,195","1,557","±746","5.6%","±2.6","80,282","±3,107","3,808","±1,158","4.7%","±1.4","60,583","±2,664","3,109","±1,113","5.1%","±1.8","256,011","±4,607","12,018","±2,082","4.7%","±0.8","31,104","±2,297","3,309","±1,458","10.6%","±4.4","157,773","±4,458","11,790","±2,273","7.5%","±1.5","29,374","±2,284","2,202","±802","7.5%","±2.7","41,053","±2,699","2,155","±1,198","5.2%","±2.9","28,704","±1,643","3,733","±1,551","13.0%","±5.4","146,064","±3,682","8,228","±1,992","5.6%","±1.3","33,130","±2,434","2,315","±957","7.0%","±2.9","32,175","±2,133","3,614","±1,135","11.2%","±3.5","57,974","±2,338","6,046","±1,380","10.4%","±2.3","185,894","±5,061","15,845","±2,583","8.5%","±1.4","145,349","±4,902","8,496","±2,170","5.8%","±1.5","42,819","±2,510","2,649","±977","6.2%","±2.3","143,838","±3,283","5,667","±1,689","3.9%","±1.2","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
"                Male","37,828","±2,600","1,028","±559","2.7%","±1.5","48,618","±2,267","1,972","±864","4.1%","±1.7","42,644","±2,633","1,901","±1,109","4.5%","±2.6","55,178","±2,317","1,226","±567","2.2%","±1.0","106,563","±2,974","3,812","±1,443","3.6%","±1.3","13,487","±1,253","65","±80","0.5%","±0.6","41,178","±2,207","1,464","±743","3.6%","±1.8","30,539","±1,714","1,630","±851","5.3%","±2.7","133,919","±3,023","5,015","±1,264","3.7%","±0.9","15,639","±1,797","1,524","±1,286","9.7%","±7.5","81,220","±2,881","5,983","±1,875","7.4%","±2.3","15,380","±1,507","882","±453","5.7%","±3.1","21,115","±2,135","817","±549","3.9%","±2.6","15,832","±1,485","1,782","±1,101","11.3%","±6.8","76,530","±2,762","3,463","±1,123","4.5%","±1.4","17,993","±1,558","885","±484","4.9%","±2.8","15,119","±1,476","814","±433","5.4%","±2.8","31,453","±1,758","2,812","±768","8.9%","±2.4","89,741","±3,382","6,354","±1,534","7.1%","±1.7","76,635","±2,930","3,365","±1,344","4.4%","±1.7","21,099","±2,086","848","±568","4.0%","±2.7","73,179","±2,108","1,721","±732","2.4%","±1.0","82,669,669","±91,074","3,886,120","±43,570","4.7%","±0.1"
"                Female","34,179","±2,345","2,063","±902","6.0%","±2.6","46,327","±2,340","4,401","±1,265","9.5%","±2.7","39,251","±2,467","2,262","±1,013","5.8%","±2.5","51,741","±2,301","3,789","±1,181","7.3%","±2.2","103,491","±3,650","8,625","±2,338","8.3%","±2.2","14,228","±1,657","1,492","±743","10.5%","±5.1","39,104","±2,151","2,344","±946","6.0%","±2.4","30,044","±2,092","1,479","±761","4.9%","±2.4","122,092","±3,793","7,003","±1,617","5.7%","±1.3","15,465","±1,335","1,785","±764","11.5%","±4.8","76,553","±2,861","5,807","±1,315","7.6%","±1.7","13,994","±1,611","1,320","±701","9.4%","±4.9","19,938","±2,254","1,338","±1,054","6.7%","±5.0","12,872","±1,036","1,951","±769","15.2%","±6.1","69,534","±2,520","4,765","±1,413","6.9%","±2.0","15,137","±1,651","1,430","±740","9.4%","±4.8","17,056","±1,544","2,800","±1,070","16.4%","±5.9","26,521","±1,903","3,234","±1,097","12.2%","±3.8","96,153","±3,433","9,491","±1,791","9.9%","±1.8","68,714","±3,133","5,131","±1,429","7.5%","±2.1","21,720","±1,681","1,801","±831","8.3%","±3.9","70,659","±2,271","3,946","±1,445","5.6%","±2.1","75,097,099","±105,995","5,032,715","±43,140","6.7%","±0.1"
"            Unemployed","5,323","±1,909","1,222","±764","23.0%","±13.6","4,999","±1,374","1,869","±1,126","37.4%","±18.0","2,899","±1,200","631","±468","21.8%","±16.4","5,399","±1,399","1,072","±577","19.9%","±9.5","6,075","±1,746","1,267","±822","20.9%","±12.2","1,503","±862","337","±400","22.4%","±23.1","2,316","±744","426","±330","18.4%","±13.3","2,475","±881","1,011","±663","40.8%","±19.5","9,369","±2,056","2,698","±1,165","28.8%","±9.7","725","±437","471","±348","65.0%","±29.9","8,750","±1,536","2,376","±966","27.2%","±10.0","1,535","±824","483","±363","31.5%","±27.1","3,020","±1,286","789","±691","26.1%","±19.8","1,461","±646","892","±494","61.1%","±19.1","5,663","±1,372","1,291","±773","22.8%","±11.8","1,539","±709","417","±271","27.1%","±18.3","3,728","±1,424","1,202","±755","32.2%","±16.4","2,884","±1,006","630","±515","21.8%","±15.6","11,988","±2,708","3,440","±1,205","28.7%","±8.9","7,676","±2,225","1,308","±774","17.0%","±9.2","3,335","±1,019","1,316","±841","39.5%","±20.2","5,683","±1,293","1,483","±750","26.1%","±11.1","7,391,161","±47,457","2,090,290","±29,774","28.3%","±0.4"
"                Male","3,190","±1,669","698","±559","21.9%","±18.7","2,457","±980","833","±623","33.9%","±21.7","1,599","±962","75","±130","4.7%","±10.4","3,028","±1,062","397","±316","13.1%","±10.0","2,467","±883","572","±464","23.2%","±17.7","658","±544","75","±136","11.4%","±20.6","1,126","±573","115","±181","10.2%","±14.8","1,155","±672","653","±564","56.5%","±27.2","4,045","±1,385","1,145","±794","28.3%","±17.5","284","±237","108","±111","38.0%","±40.1","4,337","±1,172","912","±531","21.0%","±12.0","788","±585","223","±209","28.3%","±31.5","1,585","±863","135","±182","8.5%","±13.0","790","±479","304","±258","38.5%","±23.9","2,886","±858","694","±463","24.0%","±14.4","992","±555","274","±217","27.6%","±21.1","2,413","±1,159","690","±609","28.6%","±21.7","1,936","±852","530","±486","27.4%","±21.7","6,402","±1,770","1,152","±533","18.0%","±9.0","3,087","±1,168","682","±688","22.1%","±19.5","2,310","±1,027","977","±854","42.3%","±29.5","2,796","±843","586","±380","21.0%","±13.1","3,965,365","±36,702","1,018,900","±16,758","25.7%","±0.4"
"                Female","2,133","±866","524","±408","24.6%","±18.9","2,542","±858","1,036","±615","40.8%","±21.5","1,300","±628","556","±475","42.8%","±30.6","2,371","±912","675","±495","28.5%","±17.0","3,608","±1,492","695","±526","19.3%","±13.8","845","±551","262","±332","31.0%","±32.5","1,190","±548","311","±294","26.1%","±21.6","1,320","±571","358","±349","27.1%","±21.7","5,324","±1,515","1,553","±903","29.2%","±13.2","441","±365","363","±333","82.3%","±31.7","4,413","±1,086","1,464","±681","33.2%","±12.9","747","±502","260","±286","34.8%","±35.9","1,435","±973","654","±634","45.6%","±28.6","671","±399","588","±373","87.6%","±14.6","2,777","±974","597","±433","21.5%","±14.3","547","±437","143","±170","26.1%","±33.3","1,315","±745","512","±447","38.9%","±26.6","948","±546","100","±163","10.5%","±17.2","5,586","±1,517","2,288","±1,009","41.0%","±12.8","4,589","±1,631","626","±303","13.6%","±7.5","1,025","±482","339","±212","33.1%","±17.5","2,887","±990","897","±687","31.1%","±19.0","3,425,796","±32,910","1,071,390","±20,116","31.3%","±0.5"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","135,160","±1,385","13,656","±2,814","10.1%","±2.1","161,955","±1,271","18,645","±3,115","11.5%","±1.9","157,484","±1,680","12,635","±2,939","8.0%","±1.9","175,294","±1,979","16,756","±2,304","9.6%","±1.3","326,768","±2,114","34,068","±4,778","10.4%","±1.5","52,068","±822","7,078","±1,971","13.6%","±3.8","126,514","±963","11,253","±2,210","8.9%","±1.8","107,844","±1,029","16,280","±3,177","15.1%","±3.0","405,706","±2,056","37,520","±4,606","9.2%","±1.1","53,734","±1,543","9,101","±1,964","16.9%","±3.7","293,448","±1,490","32,610","±3,950","11.1%","±1.3","52,909","±548","5,592","±1,529","10.6%","±2.9","76,786","±1,033","9,847","±2,700","12.8%","±3.5","52,156","±936","10,082","±2,379","19.3%","±4.6","235,092","±1,352","25,328","±3,765","10.8%","±1.6","64,515","±628","7,838","±1,909","12.1%","±3.0","66,294","±1,137","14,383","±2,618","21.7%","±3.9","99,537","±1,563","15,917","±2,650","16.0%","±2.6","307,377","±3,190","46,003","±5,195","15.0%","±1.7","248,050","±1,722","26,988","±3,970","10.9%","±1.6","82,877","±768","13,084","±2,589","15.8%","±3.1","218,019","±1,464","16,806","±3,016","7.7%","±1.4","256,651,001","±52,263","28,665,305","±140,560","11.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","54,472","±3,493","939","±640","1.7%","±1.2","66,842","±3,380","1,806","±798","2.7%","±1.2","60,527","±3,446","1,786","±931","3.0%","±1.5","87,080","±3,336","1,672","±872","1.9%","±1.0","167,896","±5,381","3,485","±1,072","2.1%","±0.6","22,602","±2,179","759","±608","3.4%","±2.6","62,261","±3,365","652","±516","1.0%","±0.8","46,463","±3,286","1,516","±801","3.3%","±1.7","186,083","±5,044","3,059","±908","1.6%","±0.5","24,408","±1,829","1,510","±908","6.2%","±3.7","110,071","±4,524","4,319","±1,440","3.9%","±1.4","23,560","±2,217","1,129","±706","4.8%","±2.9","30,869","±2,686","715","±599","2.3%","±1.9","20,081","±1,948","1,356","±740","6.8%","±3.7","113,681","±3,816","2,984","±1,077","2.6%","±1.0","23,872","±2,278","574","±487","2.4%","±2.1","21,979","±1,872","1,125","±617","5.1%","±2.8","38,816","±2,622","1,121","±734","2.9%","±1.9","142,785","±5,516","6,850","±1,993","4.8%","±1.4","109,644","±4,676","3,099","±1,181","2.8%","±1.1","36,147","±2,362","1,019","±555","2.8%","±1.5","106,486","±4,338","904","±772","0.8%","±0.7","115,316,851","±128,608","2,879,476","±32,746","2.5%","±0.1"
"            Worked part-time or part-year in the past 12 months","24,422","±3,069","2,682","±1,003","11.0%","±3.8","36,394","±3,466","6,150","±1,582","16.9%","±3.9","29,455","±3,099","2,991","±1,457","10.2%","±4.7","32,370","±3,065","4,646","±1,365","14.4%","±4.2","58,321","±4,889","10,120","±2,959","17.4%","±4.3","7,411","±1,454","1,091","±688","14.7%","±8.6","22,328","±2,806","3,521","±1,139","15.8%","±4.9","18,421","±2,281","2,344","±804","12.7%","±4.3","91,990","±4,986","11,926","±2,320","13.0%","±2.4","7,605","±1,465","1,886","±831","24.8%","±9.1","60,227","±3,912","10,016","±2,117","16.6%","±3.2","8,810","±1,299","1,476","±641","16.8%","±6.8","14,507","±2,260","2,455","±971","16.9%","±6.6","11,165","±1,943","3,244","±1,477","29.1%","±11.1","42,273","±3,052","6,532","±1,717","15.5%","±3.8","12,715","±1,682","2,722","±1,117","21.4%","±7.6","14,836","±1,977","3,202","±888","21.6%","±5.7","25,955","±2,729","7,183","±1,469","27.7%","±5.1","64,800","±4,255","13,348","±2,052","20.6%","±3.1","51,296","±3,740","7,800","±1,895","15.2%","±3.7","14,892","±2,143","3,324","±1,423","22.3%","±8.4","48,686","±4,684","6,066","±1,708","12.5%","±3.6","55,905,879","±142,919","8,345,468","±63,452","14.9%","±0.1"
"            Did not work","56,266","±3,984","10,035","±2,525","17.8%","±4.0","58,719","±3,607","10,689","±2,561","18.2%","±4.0","67,502","±3,710","7,858","±2,249","11.6%","±3.2","55,844","±2,489","10,438","±1,731","18.7%","±2.9","100,551","±4,545","20,463","±3,494","20.4%","±3.1","22,055","±2,075","5,228","±1,987","23.7%","±7.9","41,925","±3,244","7,080","±1,732","16.9%","±3.7","42,960","±2,834","12,420","±2,876","28.9%","±6.0","127,633","±4,408","22,535","±3,499","17.7%","±2.6","21,721","±1,842","5,705","±1,332","26.3%","±6.1","123,150","±3,947","18,275","±2,600","14.8%","±2.0","20,539","±2,182","2,987","±937","14.5%","±4.5","31,410","±2,849","6,677","±1,968","21.3%","±5.8","20,910","±1,469","5,482","±1,341","26.2%","±6.0","79,138","±4,031","15,812","±2,892","20.0%","±3.3","27,928","±2,264","4,542","±1,490","16.3%","±4.7","29,479","±2,229","10,056","±2,315","34.1%","±6.5","34,766","±2,420","7,613","±1,963","21.9%","±4.9","99,792","±5,338","25,805","±3,765","25.9%","±3.4","87,110","±4,775","16,089","±2,880","18.5%","±2.8","31,838","±2,336","8,741","±2,112","27.5%","±5.7","62,847","±3,357","9,836","±2,106","15.7%","±3.0","85,428,271","±150,402","17,440,361","±112,546","20.4%","±0.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","10,912","±4,036","(X)","(X)","(X)","(X)","12,738","±3,030","(X)","(X)","(X)","(X)","9,522","±3,607","(X)","(X)","(X)","(X)","12,177","±3,231","(X)","(X)","(X)","(X)","21,547","±4,619","(X)","(X)","(X)","(X)","3,116","±1,703","(X)","(X)","(X)","(X)","6,544","±1,970","(X)","(X)","(X)","(X)","11,999","±3,235","(X)","(X)","(X)","(X)","21,664","±4,578","(X)","(X)","(X)","(X)","5,275","±1,564","(X)","(X)","(X)","(X)","16,343","±3,431","(X)","(X)","(X)","(X)","3,845","±1,715","(X)","(X)","(X)","(X)","4,332","±2,062","(X)","(X)","(X)","(X)","4,234","±1,676","(X)","(X)","(X)","(X)","12,683","±3,099","(X)","(X)","(X)","(X)","4,766","±1,688","(X)","(X)","(X)","(X)","9,605","±2,431","(X)","(X)","(X)","(X)","9,737","±2,477","(X)","(X)","(X)","(X)","36,301","±6,262","(X)","(X)","(X)","(X)","17,923","±4,060","(X)","(X)","(X)","(X)","8,543","±3,255","(X)","(X)","(X)","(X)","11,945","±3,095","(X)","(X)","(X)","(X)","17,602,164","±126,927","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","28,619","±6,005","(X)","(X)","(X)","(X)","38,287","±5,212","(X)","(X)","(X)","(X)","26,803","±5,257","(X)","(X)","(X)","(X)","36,037","±5,136","(X)","(X)","(X)","(X)","57,779","±7,206","(X)","(X)","(X)","(X)","16,741","±3,845","(X)","(X)","(X)","(X)","19,304","±3,697","(X)","(X)","(X)","(X)","27,635","±4,838","(X)","(X)","(X)","(X)","75,415","±8,172","(X)","(X)","(X)","(X)","18,336","±3,140","(X)","(X)","(X)","(X)","63,243","±7,383","(X)","(X)","(X)","(X)","12,258","±2,914","(X)","(X)","(X)","(X)","16,818","±4,236","(X)","(X)","(X)","(X)","15,615","±3,324","(X)","(X)","(X)","(X)","52,386","±6,778","(X)","(X)","(X)","(X)","14,779","±3,333","(X)","(X)","(X)","(X)","26,772","±3,530","(X)","(X)","(X)","(X)","24,749","±3,573","(X)","(X)","(X)","(X)","77,013","±8,359","(X)","(X)","(X)","(X)","52,766","±6,782","(X)","(X)","(X)","(X)","22,683","±4,139","(X)","(X)","(X)","(X)","36,698","±5,799","(X)","(X)","(X)","(X)","52,189,901","±299,896","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","36,101","±6,425","(X)","(X)","(X)","(X)","47,848","±5,430","(X)","(X)","(X)","(X)","37,758","±6,051","(X)","(X)","(X)","(X)","42,888","±5,411","(X)","(X)","(X)","(X)","69,171","±7,773","(X)","(X)","(X)","(X)","22,055","±3,751","(X)","(X)","(X)","(X)","22,837","±4,350","(X)","(X)","(X)","(X)","34,740","±5,195","(X)","(X)","(X)","(X)","92,907","±8,285","(X)","(X)","(X)","(X)","21,597","±3,156","(X)","(X)","(X)","(X)","78,615","±7,590","(X)","(X)","(X)","(X)","14,820","±3,301","(X)","(X)","(X)","(X)","18,959","±4,434","(X)","(X)","(X)","(X)","18,254","±3,699","(X)","(X)","(X)","(X)","66,919","±7,049","(X)","(X)","(X)","(X)","17,822","±3,572","(X)","(X)","(X)","(X)","30,960","±3,635","(X)","(X)","(X)","(X)","31,699","±3,934","(X)","(X)","(X)","(X)","95,052","±9,489","(X)","(X)","(X)","(X)","65,718","±7,581","(X)","(X)","(X)","(X)","28,156","±4,526","(X)","(X)","(X)","(X)","43,906","±5,617","(X)","(X)","(X)","(X)","65,139,120","±335,989","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","48,016","±7,272","(X)","(X)","(X)","(X)","60,959","±5,824","(X)","(X)","(X)","(X)","50,175","±6,211","(X)","(X)","(X)","(X)","55,405","±5,841","(X)","(X)","(X)","(X)","90,703","±7,938","(X)","(X)","(X)","(X)","28,105","±3,702","(X)","(X)","(X)","(X)","31,992","±5,287","(X)","(X)","(X)","(X)","44,588","±5,251","(X)","(X)","(X)","(X)","123,064","±8,311","(X)","(X)","(X)","(X)","25,321","±3,306","(X)","(X)","(X)","(X)","97,519","±7,568","(X)","(X)","(X)","(X)","18,046","±3,247","(X)","(X)","(X)","(X)","23,907","±4,408","(X)","(X)","(X)","(X)","21,850","±4,205","(X)","(X)","(X)","(X)","83,222","±7,510","(X)","(X)","(X)","(X)","21,182","±3,925","(X)","(X)","(X)","(X)","36,640","±3,801","(X)","(X)","(X)","(X)","41,233","±4,224","(X)","(X)","(X)","(X)","118,640","±10,296","(X)","(X)","(X)","(X)","90,331","±6,861","(X)","(X)","(X)","(X)","35,886","±4,923","(X)","(X)","(X)","(X)","59,151","±6,591","(X)","(X)","(X)","(X)","84,162,461","±410,280","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","59,194","±8,107","(X)","(X)","(X)","(X)","67,283","±6,010","(X)","(X)","(X)","(X)","56,672","±5,494","(X)","(X)","(X)","(X)","62,194","±5,565","(X)","(X)","(X)","(X)","99,323","±8,243","(X)","(X)","(X)","(X)","28,839","±3,673","(X)","(X)","(X)","(X)","37,083","±5,303","(X)","(X)","(X)","(X)","50,394","±5,112","(X)","(X)","(X)","(X)","136,456","±8,758","(X)","(X)","(X)","(X)","28,478","±3,419","(X)","(X)","(X)","(X)","111,135","±7,991","(X)","(X)","(X)","(X)","19,592","±3,102","(X)","(X)","(X)","(X)","27,577","±4,411","(X)","(X)","(X)","(X)","23,684","±4,041","(X)","(X)","(X)","(X)","89,958","±7,237","(X)","(X)","(X)","(X)","23,108","±4,001","(X)","(X)","(X)","(X)","40,198","±3,635","(X)","(X)","(X)","(X)","44,062","±4,110","(X)","(X)","(X)","(X)","129,492","±10,406","(X)","(X)","(X)","(X)","99,845","±7,649","(X)","(X)","(X)","(X)","39,380","±5,165","(X)","(X)","(X)","(X)","65,550","±6,329","(X)","(X)","(X)","(X)","92,655,786","±420,869","(X)","(X)","(X)","(X)"
