"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Below poverty level!!Estimate","Canadian County, Oklahoma!!Below poverty level!!Margin of Error","Canadian County, Oklahoma!!Percent below poverty level!!Estimate","Canadian County, Oklahoma!!Percent below poverty level!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Below poverty level!!Estimate","Cleveland County, Oklahoma!!Below poverty level!!Margin of Error","Cleveland County, Oklahoma!!Percent below poverty level!!Estimate","Cleveland County, Oklahoma!!Percent below poverty level!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Below poverty level!!Estimate","Comanche County, Oklahoma!!Below poverty level!!Margin of Error","Comanche County, Oklahoma!!Percent below poverty level!!Estimate","Comanche County, Oklahoma!!Percent below poverty level!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Below poverty level!!Estimate","Creek County, Oklahoma!!Below poverty level!!Margin of Error","Creek County, Oklahoma!!Percent below poverty level!!Estimate","Creek County, Oklahoma!!Percent below poverty level!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Below poverty level!!Estimate","Muskogee County, Oklahoma!!Below poverty level!!Margin of Error","Muskogee County, Oklahoma!!Percent below poverty level!!Estimate","Muskogee County, Oklahoma!!Percent below poverty level!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Below poverty level!!Estimate","Oklahoma County, Oklahoma!!Below poverty level!!Margin of Error","Oklahoma County, Oklahoma!!Percent below poverty level!!Estimate","Oklahoma County, Oklahoma!!Percent below poverty level!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Below poverty level!!Estimate","Payne County, Oklahoma!!Below poverty level!!Margin of Error","Payne County, Oklahoma!!Percent below poverty level!!Estimate","Payne County, Oklahoma!!Percent below poverty level!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Below poverty level!!Estimate","Pottawatomie County, Oklahoma!!Below poverty level!!Margin of Error","Pottawatomie County, Oklahoma!!Percent below poverty level!!Estimate","Pottawatomie County, Oklahoma!!Percent below poverty level!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Below poverty level!!Estimate","Rogers County, Oklahoma!!Below poverty level!!Margin of Error","Rogers County, Oklahoma!!Percent below poverty level!!Estimate","Rogers County, Oklahoma!!Percent below poverty level!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Below poverty level!!Estimate","Tulsa County, Oklahoma!!Below poverty level!!Margin of Error","Tulsa County, Oklahoma!!Percent below poverty level!!Estimate","Tulsa County, Oklahoma!!Percent below poverty level!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Below poverty level!!Estimate","Wagoner County, Oklahoma!!Below poverty level!!Margin of Error","Wagoner County, Oklahoma!!Percent below poverty level!!Estimate","Wagoner County, Oklahoma!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"            Unemployed","2,326","±1,091","358","±448","15.4%","±15.7","5,957","±1,474","1,775","±678","29.8%","±10.2","3,280","±1,267","1,718","±936","52.4%","±17.9","967","±395","343","±196","35.5%","±15.8","1,568","±565","462","±212","29.5%","±12.7","16,399","±2,808","5,337","±1,515","32.5%","±6.7","1,233","±495","505","±296","41.0%","±21.2","1,728","±520","550","±248","31.8%","±14.5","1,472","±437","465","±248","31.6%","±13.7","16,274","±1,630","6,271","±1,071","38.5%","±5.4","2,157","±551","422","±242","19.6%","±10.9","7,391,161","±47,457","2,090,290","±29,774","28.3%","±0.4"
"                Male","757","±562","263","±425","34.7%","±43.9","3,423","±1,212","1,177","±730","34.4%","±17.5","1,915","±1,007","693","±684","36.2%","±26.4","483","±266","132","±122","27.3%","±23.3","918","±376","182","±125","19.8%","±12.4","8,324","±1,844","2,230","±957","26.8%","±9.5","354","±264","108","±132","30.5%","±35.7","979","±429","278","±214","28.4%","±21.3","582","±277","197","±173","33.8%","±23.1","8,750","±1,167","2,914","±792","33.3%","±7.8","1,042","±343","193","±153","18.5%","±13.9","3,965,365","±36,702","1,018,900","±16,758","25.7%","±0.4"
"                Female","1,569","±771","95","±119","6.1%","±7.7","2,534","±910","598","±339","23.6%","±14.4","1,365","±716","1,025","±676","75.1%","±20.3","484","±284","211","±191","43.6%","±29.1","650","±323","280","±147","43.1%","±21.9","8,075","±1,747","3,107","±1,142","38.5%","±9.7","879","±399","397","±282","45.2%","±26.5","749","±295","272","±150","36.3%","±18.8","890","±317","268","±191","30.1%","±18.2","7,524","±1,022","3,357","±677","44.6%","±6.9","1,115","±423","229","±173","20.5%","±14.8","3,425,796","±32,910","1,071,390","±20,116","31.3%","±0.5"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","111,909","±1,200","7,770","±1,982","6.9%","±1.8","222,063","±1,826","28,501","±3,491","12.8%","±1.6","87,520","±1,700","13,578","±3,297","15.5%","±3.7","55,990","±461","6,659","±1,072","11.9%","±1.9","49,554","±855","10,029","±1,609","20.2%","±3.2","604,443","±2,225","82,159","±4,947","13.6%","±0.8","59,036","±1,259","15,002","±2,128","25.4%","±3.5","54,774","±1,133","8,107","±1,377","14.8%","±2.5","72,318","±821","6,746","±1,182","9.3%","±1.6","498,193","±1,779","61,415","±3,891","12.3%","±0.8","63,720","±351","4,676","±899","7.3%","±1.4","256,651,001","±52,263","28,665,305","±140,560","11.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","59,194","±3,098","1,720","±1,004","2.9%","±1.7","107,258","±3,201","2,945","±995","2.7%","±0.9","39,150","±3,080","1,505","±884","3.8%","±2.2","24,369","±1,271","674","±332","2.8%","±1.4","19,613","±1,385","1,037","±481","5.3%","±2.5","289,235","±7,233","10,940","±1,577","3.8%","±0.5","22,254","±1,806","1,644","±628","7.4%","±2.7","22,995","±1,302","481","±219","2.1%","±1.0","34,723","±1,476","951","±484","2.7%","±1.4","238,143","±3,867","7,801","±936","3.3%","±0.4","29,714","±1,174","502","±191","1.7%","±0.7","115,316,851","±128,608","2,879,476","±32,746","2.5%","±0.1"
"            Worked part-time or part-year in the past 12 months","19,987","±2,295","2,019","±1,175","10.1%","±5.8","48,991","±3,447","12,081","±2,119","24.7%","±3.9","18,214","±2,481","3,689","±1,963","20.3%","±9.2","9,674","±1,227","1,318","±502","13.6%","±4.7","8,948","±1,074","2,320","±724","25.9%","±7.5","121,433","±5,874","22,767","±2,971","18.7%","±2.4","17,510","±1,910","7,794","±1,670","44.5%","±7.4","10,986","±1,126","1,932","±599","17.6%","±5.5","14,615","±1,211","2,186","±579","15.0%","±3.9","108,433","±3,981","20,524","±2,156","18.9%","±1.8","12,200","±1,111","1,019","±414","8.4%","±3.4","55,905,879","±142,919","8,345,468","±63,452","14.9%","±0.1"
"            Did not work","32,728","±3,133","4,031","±1,156","12.3%","±3.4","65,814","±3,708","13,475","±2,966","20.5%","±3.8","30,156","±2,411","8,384","±2,010","27.8%","±5.6","21,947","±1,278","4,667","±818","21.3%","±3.4","20,993","±1,218","6,672","±1,160","31.8%","±4.7","193,775","±5,637","48,452","±4,274","25.0%","±1.8","19,272","±1,989","5,564","±1,281","28.9%","±5.4","20,793","±1,460","5,694","±1,154","27.4%","±4.7","22,980","±1,470","3,609","±756","15.7%","±3.1","151,617","±3,675","33,090","±3,048","21.8%","±1.7","21,806","±1,010","3,155","±647","14.5%","±2.9","85,428,271","±150,402","17,440,361","±112,546","20.4%","±0.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","6,235","±2,779","(X)","(X)","(X)","(X)","18,621","±3,294","(X)","(X)","(X)","(X)","6,851","±2,342","(X)","(X)","(X)","(X)","4,285","±1,319","(X)","(X)","(X)","(X)","7,748","±1,637","(X)","(X)","(X)","(X)","51,383","±6,376","(X)","(X)","(X)","(X)","8,845","±2,087","(X)","(X)","(X)","(X)","4,421","±1,058","(X)","(X)","(X)","(X)","3,533","±1,013","(X)","(X)","(X)","(X)","40,602","±4,452","(X)","(X)","(X)","(X)","2,386","±915","(X)","(X)","(X)","(X)","17,602,164","±126,927","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","15,840","±3,523","(X)","(X)","(X)","(X)","39,478","±4,614","(X)","(X)","(X)","(X)","27,507","±4,020","(X)","(X)","(X)","(X)","12,112","±1,931","(X)","(X)","(X)","(X)","19,824","±2,237","(X)","(X)","(X)","(X)","155,094","±8,843","(X)","(X)","(X)","(X)","22,024","±3,222","(X)","(X)","(X)","(X)","12,411","±1,858","(X)","(X)","(X)","(X)","13,468","±2,298","(X)","(X)","(X)","(X)","123,162","±5,436","(X)","(X)","(X)","(X)","9,162","±1,586","(X)","(X)","(X)","(X)","52,189,901","±299,896","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","22,416","±4,359","(X)","(X)","(X)","(X)","48,909","±4,884","(X)","(X)","(X)","(X)","32,713","±4,306","(X)","(X)","(X)","(X)","15,607","±1,899","(X)","(X)","(X)","(X)","23,969","±2,403","(X)","(X)","(X)","(X)","195,595","±10,050","(X)","(X)","(X)","(X)","25,788","±3,461","(X)","(X)","(X)","(X)","16,408","±2,476","(X)","(X)","(X)","(X)","15,366","±2,442","(X)","(X)","(X)","(X)","152,717","±6,688","(X)","(X)","(X)","(X)","12,664","±1,828","(X)","(X)","(X)","(X)","65,139,120","±335,989","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","31,305","±4,808","(X)","(X)","(X)","(X)","66,047","±6,181","(X)","(X)","(X)","(X)","40,475","±4,228","(X)","(X)","(X)","(X)","22,326","±2,356","(X)","(X)","(X)","(X)","29,175","±2,499","(X)","(X)","(X)","(X)","251,837","±10,576","(X)","(X)","(X)","(X)","30,876","±3,413","(X)","(X)","(X)","(X)","21,151","±2,693","(X)","(X)","(X)","(X)","21,673","±2,602","(X)","(X)","(X)","(X)","195,238","±7,612","(X)","(X)","(X)","(X)","17,494","±2,470","(X)","(X)","(X)","(X)","84,162,461","±410,280","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","37,037","±5,158","(X)","(X)","(X)","(X)","75,115","±6,325","(X)","(X)","(X)","(X)","42,715","±4,339","(X)","(X)","(X)","(X)","24,388","±2,289","(X)","(X)","(X)","(X)","31,130","±2,624","(X)","(X)","(X)","(X)","274,368","±10,544","(X)","(X)","(X)","(X)","32,256","±3,317","(X)","(X)","(X)","(X)","24,147","±2,597","(X)","(X)","(X)","(X)","25,098","±2,766","(X)","(X)","(X)","(X)","214,313","±7,957","(X)","(X)","(X)","(X)","20,289","±2,428","(X)","(X)","(X)","(X)","92,655,786","±420,869","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","63,449","±6,628","(X)","(X)","(X)","(X)","117,999","±6,229","(X)","(X)","(X)","(X)","66,388","±4,077","(X)","(X)","(X)","(X)","37,705","±2,610","(X)","(X)","(X)","(X)","40,598","±2,460","(X)","(X)","(X)","(X)","406,833","±11,955","(X)","(X)","(X)","(X)","44,123","±3,047","(X)","(X)","(X)","(X)","37,844","±2,504","(X)","(X)","(X)","(X)","39,656","±3,038","(X)","(X)","(X)","(X)","319,100","±7,605","(X)","(X)","(X)","(X)","34,574","±2,607","(X)","(X)","(X)","(X)","143,196,072","±488,803","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","86,156","±6,545","(X)","(X)","(X)","(X)","161,823","±7,542","(X)","(X)","(X)","(X)","81,416","±4,380","(X)","(X)","(X)","(X)","45,218","±2,526","(X)","(X)","(X)","(X)","45,989","±2,243","(X)","(X)","(X)","(X)","506,685","±10,461","(X)","(X)","(X)","(X)","54,229","±2,765","(X)","(X)","(X)","(X)","49,351","±2,427","(X)","(X)","(X)","(X)","54,187","±2,792","(X)","(X)","(X)","(X)","408,061","±6,913","(X)","(X)","(X)","(X)","47,940","±2,439","(X)","(X)","(X)","(X)","187,401,509","±435,812","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","103,293","±5,239","(X)","(X)","(X)","(X)","196,757","±6,436","(X)","(X)","(X)","(X)","90,791","±3,747","(X)","(X)","(X)","(X)","56,277","±2,079","(X)","(X)","(X)","(X)","52,258","±2,144","(X)","(X)","(X)","(X)","584,297","±10,073","(X)","(X)","(X)","(X)","60,188","±2,073","(X)","(X)","(X)","(X)","55,587","±2,183","(X)","(X)","(X)","(X)","63,115","±2,766","(X)","(X)","(X)","(X)","471,332","±6,770","(X)","(X)","(X)","(X)","58,737","±2,262","(X)","(X)","(X)","(X)","221,484,622","±368,116","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","19,064","±2,408","3,896","±1,199","20.4%","±5.6","64,369","±4,502","22,125","±2,918","34.4%","±3.7","22,540","±2,494","5,530","±1,399","24.5%","±5.6","10,594","±1,266","2,753","±528","26.0%","±4.2","10,936","±1,485","3,704","±854","33.9%","±6.4","166,471","±6,593","42,554","±3,119","25.6%","±1.4","20,224","±2,318","10,323","±1,937","51.0%","±6.8","11,195","±1,392","3,808","±874","34.0%","±5.7","14,270","±1,255","2,840","±722","19.9%","±4.4","130,879","±4,973","29,532","±2,337","22.6%","±1.4","11,216","±1,241","2,637","±675","23.5%","±5.2","63,367,537","±165,049","15,147,496","±85,504","23.9%","±0.1"
"    Male","8,667","±1,503","1,670","±762","19.3%","±8.3","32,482","±3,156","9,659","±2,149","29.7%","±5.5","12,193","±1,730","2,855","±1,172","23.4%","±8.5","4,667","±729","569","±248","12.2%","±5.3","5,918","±953","1,948","±604","32.9%","±8.8","83,387","±4,063","18,601","±2,063","22.3%","±2.2","10,806","±1,653","6,012","±1,423","55.6%","±9.1","5,557","±875","1,745","±509","31.4%","±6.9","6,728","±715","1,029","±328","15.3%","±4.7","62,805","±2,994","13,174","±1,319","21.0%","±1.8","5,889","±973","1,093","±478","18.6%","±7.1","31,102,291","±114,229","6,650,045","±58,989","21.4%","±0.2"
"    Female","10,397","±1,751","2,226","±982","21.4%","±7.7","31,887","±2,945","12,466","±1,933","39.1%","±4.9","10,347","±1,721","2,675","±965","25.9%","±7.9","5,927","±814","2,184","±466","36.8%","±6.2","5,018","±897","1,756","±498","35.0%","±8.0","83,084","±4,495","23,953","±2,641","28.8%","±2.4","9,418","±1,534","4,311","±1,245","45.8%","±9.1","5,638","±818","2,063","±581","36.6%","±8.5","7,542","±858","1,811","±605","24.0%","±6.9","68,074","±2,869","16,358","±1,613","24.0%","±2.1","5,327","±743","1,544","±457","29.0%","±7.1","32,265,246","±88,999","8,497,451","±47,268","26.3%","±0.1"
"    15 years","93","±155","93","±155","100.0%","±57.2","0","±165","0","±165","-","**","0","±165","0","±165","-","**","50","±59","50","±59","100.0%","±78.0","11","±23","11","±23","100.0%","±100.0","185","±174","185","±174","100.0%","±40.6","0","±165","0","±165","-","**","0","±165","0","±165","-","**","0","±165","0","±165","-","**","98","±121","98","±121","100.0%","±55.7","9","±15","9","±15","100.0%","±100.0","83,618","±5,420","82,208","±5,378","98.3%","±0.8"
"    16 to 17 years","304","±256","187","±178","61.5%","±47.8","528","±583","528","±583","100.0%","±19.1","103","±127","103","±127","100.0%","±54.4","0","±165","0","±165","-","**","32","±52","32","±52","100.0%","±97.5","451","±307","451","±307","100.0%","±21.9","28","±55","28","±55","100.0%","±100.0","215","±236","135","±131","62.8%","±34.8","72","±82","72","±82","100.0%","±65.0","231","±140","200","±132","86.6%","±21.9","135","±145","75","±112","55.6%","±55.6","204,953","±8,533","194,244","±8,321","94.8%","±0.9"
"    18 to 24 years","1,379","±572","588","±443","42.6%","±25.8","19,973","±2,658","14,638","±2,713","73.3%","±8.2","1,611","±783","307","±231","19.1%","±12.0","780","±361","317","±197","40.6%","±17.1","1,470","±549","800","±447","54.4%","±19.6","19,984","±2,566","7,969","±1,603","39.9%","±6.7","10,578","±1,873","7,634","±1,723","72.2%","±8.0","1,021","±450","703","±379","68.9%","±20.1","1,762","±471","616","±308","35.0%","±15.8","15,528","±1,591","5,868","±902","37.8%","±4.7","793","±385","386","±201","48.7%","±19.8","6,838,105","±61,734","3,197,531","±47,239","46.8%","±0.4"
"    25 to 34 years","4,177","±1,474","757","±740","18.1%","±16.1","12,508","±1,923","2,060","±742","16.5%","±5.8","4,254","±999","1,389","±666","32.7%","±14.2","1,399","±569","235","±154","16.8%","±11.3","1,691","±594","525","±314","31.0%","±18.3","37,549","±3,382","6,094","±1,327","16.2%","±3.2","3,013","±952","1,096","±520","36.4%","±13.6","1,076","±389","368","±217","34.2%","±20.1","2,171","±583","472","±235","21.7%","±10.0","27,193","±2,008","5,217","±976","19.2%","±3.3","1,858","±587","397","±237","21.4%","±12.2","13,454,841","±75,922","2,309,930","±31,903","17.2%","±0.2"
"    35 to 44 years","2,795","±1,136","602","±514","21.5%","±17.7","6,224","±1,598","520","±494","8.4%","±7.7","2,892","±924","166","±127","5.7%","±4.6","1,179","±375","428","±259","36.3%","±17.7","1,079","±489","287","±172","26.6%","±15.3","22,071","±3,146","5,703","±1,736","25.8%","±6.0","553","±306","232","±177","42.0%","±25.5","1,457","±543","459","±240","31.5%","±15.2","1,897","±597","394","±280","20.8%","±12.5","15,920","±1,561","4,062","±865","25.5%","±4.3","1,062","±509","206","±193","19.4%","±17.9","7,718,960","±50,822","1,499,258","±19,931","19.4%","±0.2"
"    45 to 54 years","2,274","±866","613","±470","27.0%","±18.3","5,306","±1,456","789","±380","14.9%","±7.0","3,694","±1,199","931","±421","25.2%","±13.3","1,861","±564","408","±222","21.9%","±10.6","1,338","±451","578","±270","43.2%","±17.5","21,805","±2,342","6,079","±1,406","27.9%","±5.8","922","±526","176","±161","19.1%","±18.2","1,503","±573","739","±378","49.2%","±15.0","1,760","±386","177","±133","10.1%","±7.7","15,903","±1,539","3,930","±801","24.7%","±4.1","1,376","±388","293","±207","21.3%","±13.3","7,978,652","±49,774","1,812,966","±22,813","22.7%","±0.2"
"    55 to 64 years","2,265","±935","303","±262","13.4%","±9.8","7,783","±1,477","1,787","±689","23.0%","±8.2","4,956","±1,335","2,066","±986","41.7%","±14.1","2,158","±410","614","±218","28.5%","±8.1","2,130","±543","832","±339","39.1%","±13.0","28,263","±2,321","8,614","±1,359","30.5%","±3.7","1,843","±603","635","±434","34.5%","±17.6","1,981","±504","571","±311","28.8%","±12.2","2,443","±489","336","±171","13.8%","±7.3","23,063","±1,738","5,050","±926","21.9%","±3.6","2,181","±572","558","±282","25.6%","±11.5","10,455,530","±54,536","2,724,824","±29,640","26.1%","±0.3"
"    65 to 74 years","3,035","±763","322","±230","10.6%","±7.5","5,962","±1,001","476","±404","8.0%","±6.4","3,038","±698","380","±294","12.5%","±9.2","1,927","±458","377","±179","19.6%","±8.5","1,682","±471","292","±155","17.4%","±9.6","20,259","±1,895","4,317","±948","21.3%","±4.2","1,246","±491","372","±250","29.9%","±16.3","1,737","±428","366","±183","21.1%","±9.7","2,143","±436","350","±190","16.3%","±8.5","17,142","±1,251","2,805","±612","16.4%","±3.2","2,171","±439","441","±271","20.3%","±11.7","8,654,115","±44,737","1,756,993","±22,093","20.3%","±0.2"
"    75 years and over","2,742","±680","431","±354","15.7%","±12.0","6,085","±1,191","1,327","±619","21.8%","±8.4","1,992","±567","188","±182","9.4%","±8.7","1,240","±334","324","±173","26.1%","±12.9","1,503","±448","347","±204","23.1%","±12.4","15,904","±1,653","3,142","±707","19.8%","±4.2","2,041","±765","150","±140","7.3%","±7.4","2,205","±449","467","±227","21.2%","±8.6","2,022","±485","423","±254","20.9%","±11.5","15,801","±1,127","2,302","±611","14.6%","±3.7","1,631","±433","272","±173","16.7%","±10.4","7,978,763","±37,753","1,569,542","±21,215","19.7%","±0.2"
"    Mean income deficit for unrelated individuals (dollars)","7,483","±1,456","(X)","(X)","(X)","(X)","8,261","±751","(X)","(X)","(X)","(X)","7,577","±1,682","(X)","(X)","(X)","(X)","6,779","±980","(X)","(X)","(X)","(X)","7,610","±1,078","(X)","(X)","(X)","(X)","7,237","±453","(X)","(X)","(X)","(X)","8,342","±843","(X)","(X)","(X)","(X)","8,224","±804","(X)","(X)","(X)","(X)","6,783","±1,037","(X)","(X)","(X)","(X)","7,430","±349","(X)","(X)","(X)","(X)","6,199","±1,111","(X)","(X)","(X)","(X)","7,363","±22","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","9,323","±2,044","520","±588","5.6%","±6.2","28,182","±3,041","1,454","±665","5.2%","±2.3","10,635","±2,096","625","±732","5.9%","±6.8","4,202","±827","0","±165","0.0%","±2.6","3,955","±929","204","±222","5.2%","±5.6","83,202","±4,732","4,267","±1,268","5.1%","±1.5","6,357","±1,441","1,031","±566","16.2%","±8.2","3,035","±698","98","±97","3.2%","±3.2","7,056","±889","256","±203","3.6%","±2.7","63,219","±3,175","2,517","±691","4.0%","±1.1","4,472","±815","235","±180","5.3%","±4.0","28,435,494","±110,218","986,970","±18,256","3.5%","±0.1"
"    Worked less than full-time, year-round in the past 12 months","2,723","±846","639","±436","23.5%","±14.1","17,354","±2,537","11,093","±2,050","63.9%","±6.7","3,855","±959","881","±387","22.9%","±9.9","1,911","±471","555","±230","29.0%","±11.0","2,035","±584","833","±392","40.9%","±13.7","32,090","±2,954","12,672","±2,057","39.5%","±4.5","8,213","±1,586","6,329","±1,612","77.1%","±9.4","2,409","±644","876","±376","36.4%","±12.3","2,502","±653","975","±357","39.0%","±11.3","25,587","±2,168","10,279","±1,274","40.2%","±3.6","2,022","±569","528","±284","26.1%","±12.4","12,969,793","±65,338","4,594,315","±42,343","35.4%","±0.3"
"    Did not work","7,018","±1,418","2,737","±1,069","39.0%","±11.1","18,833","±3,012","9,578","±2,605","50.9%","±7.4","8,050","±1,546","4,024","±1,142","50.0%","±8.0","4,481","±635","2,198","±466","49.1%","±7.3","4,946","±966","2,667","±703","53.9%","±9.5","51,179","±3,634","25,615","±2,421","50.0%","±3.3","5,654","±1,275","2,963","±947","52.4%","±11.2","5,751","±1,111","2,834","±788","49.3%","±7.3","4,712","±736","1,609","±486","34.1%","±8.2","42,073","±2,345","16,736","±1,758","39.8%","±2.9","4,722","±747","1,874","±504","39.7%","±7.8","21,962,250","±91,281","9,566,211","±63,777","43.6%","±0.2"
