"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Below poverty level!!Estimate","Benton County, Arkansas!!Below poverty level!!Margin of Error","Benton County, Arkansas!!Percent below poverty level!!Estimate","Benton County, Arkansas!!Percent below poverty level!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Below poverty level!!Estimate","Craighead County, Arkansas!!Below poverty level!!Margin of Error","Craighead County, Arkansas!!Percent below poverty level!!Estimate","Craighead County, Arkansas!!Percent below poverty level!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Below poverty level!!Estimate","Faulkner County, Arkansas!!Below poverty level!!Margin of Error","Faulkner County, Arkansas!!Percent below poverty level!!Estimate","Faulkner County, Arkansas!!Percent below poverty level!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Below poverty level!!Estimate","Garland County, Arkansas!!Below poverty level!!Margin of Error","Garland County, Arkansas!!Percent below poverty level!!Estimate","Garland County, Arkansas!!Percent below poverty level!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Below poverty level!!Estimate","Jefferson County, Arkansas!!Below poverty level!!Margin of Error","Jefferson County, Arkansas!!Percent below poverty level!!Estimate","Jefferson County, Arkansas!!Percent below poverty level!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Below poverty level!!Estimate","Lonoke County, Arkansas!!Below poverty level!!Margin of Error","Lonoke County, Arkansas!!Percent below poverty level!!Estimate","Lonoke County, Arkansas!!Percent below poverty level!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Below poverty level!!Estimate","Pulaski County, Arkansas!!Below poverty level!!Margin of Error","Pulaski County, Arkansas!!Percent below poverty level!!Estimate","Pulaski County, Arkansas!!Percent below poverty level!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Below poverty level!!Estimate","Saline County, Arkansas!!Below poverty level!!Margin of Error","Saline County, Arkansas!!Percent below poverty level!!Estimate","Saline County, Arkansas!!Percent below poverty level!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Below poverty level!!Estimate","Sebastian County, Arkansas!!Below poverty level!!Margin of Error","Sebastian County, Arkansas!!Percent below poverty level!!Estimate","Sebastian County, Arkansas!!Percent below poverty level!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Below poverty level!!Estimate","Washington County, Arkansas!!Below poverty level!!Margin of Error","Washington County, Arkansas!!Percent below poverty level!!Estimate","Washington County, Arkansas!!Percent below poverty level!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Below poverty level!!Estimate","White County, Arkansas!!Below poverty level!!Margin of Error","White County, Arkansas!!Percent below poverty level!!Estimate","White County, Arkansas!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"                Female","1,594","±632","218","±192","13.7%","±11.9","1,843","±1,103","526","±581","28.5%","±21.5","541","±335","275","±266","50.8%","±31.4","291","±228","106","±138","36.4%","±42.3","435","±341","184","±271","42.3%","±44.1","544","±467","363","±463","66.7%","±45.4","2,868","±930","858","±543","29.9%","±16.6","1,178","±603","27","±44","2.3%","±4.0","2,076","±950","701","±498","33.8%","±22.6","2,653","±1,436","1,213","±1,195","45.7%","±30.0","599","±331","449","±276","75.0%","±21.0","3,425,796","±32,910","1,071,390","±20,116","31.3%","±0.5"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","211,641","±1,564","16,416","±2,608","7.8%","±1.2","83,274","±1,441","11,247","±2,085","13.5%","±2.5","95,467","±1,455","14,867","±3,024","15.6%","±3.2","81,969","±947","13,023","±2,514","15.9%","±3.1","48,161","±1,521","10,290","±2,354","21.4%","±4.9","56,563","±768","5,419","±1,922","9.6%","±3.4","305,603","±1,933","39,283","±3,702","12.9%","±1.2","96,890","±970","7,942","±2,106","8.2%","±2.2","99,889","±1,158","14,676","±2,563","14.7%","±2.6","179,493","±1,831","30,172","±5,463","16.8%","±3.0","59,181","±841","8,258","±1,904","14.0%","±3.2","256,651,001","±52,263","28,665,305","±140,560","11.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","107,407","±4,113","1,947","±673","1.8%","±0.6","36,705","±2,628","1,201","±554","3.3%","±1.5","48,103","±2,818","3,168","±1,286","6.6%","±2.6","29,931","±2,419","1,978","±1,149","6.6%","±3.6","19,931","±2,108","2,282","±1,212","11.4%","±5.6","25,227","±1,619","307","±230","1.2%","±0.9","141,987","±5,150","3,696","±1,370","2.6%","±1.0","47,312","±2,832","425","±322","0.9%","±0.7","42,962","±2,783","1,446","±691","3.4%","±1.6","82,570","±3,604","3,572","±1,345","4.3%","±1.6","24,636","±2,910","701","±407","2.8%","±1.7","115,316,851","±128,608","2,879,476","±32,746","2.5%","±0.1"
"            Worked part-time or part-year in the past 12 months","34,456","±3,162","3,104","±1,050","9.0%","±2.8","19,178","±2,712","3,857","±1,318","20.1%","±6.8","16,053","±2,322","3,442","±1,052","21.4%","±5.8","17,705","±2,196","3,096","±976","17.5%","±5.1","8,847","±1,631","1,512","±758","17.1%","±7.7","11,664","±1,602","665","±334","5.7%","±3.0","56,963","±3,774","10,218","±2,094","17.9%","±3.1","14,910","±1,880","2,649","±1,344","17.8%","±8.0","19,605","±2,828","4,399","±1,452","22.4%","±6.2","43,235","±3,169","12,318","±2,503","28.5%","±5.6","10,204","±1,728","1,856","±684","18.2%","±6.2","55,905,879","±142,919","8,345,468","±63,452","14.9%","±0.1"
"            Did not work","69,778","±3,359","11,365","±2,203","16.3%","±3.0","27,391","±2,536","6,189","±1,642","22.6%","±4.9","31,311","±2,676","8,257","±2,285","26.4%","±6.5","34,333","±2,144","7,949","±2,102","23.2%","±5.3","19,383","±2,086","6,496","±1,879","33.5%","±8.7","19,672","±2,164","4,447","±1,893","22.6%","±8.4","106,653","±4,458","25,369","±3,180","23.8%","±2.7","34,668","±2,420","4,868","±1,509","14.0%","±3.9","37,322","±2,385","8,831","±1,641","23.7%","±4.1","53,688","±4,027","14,282","±3,463","26.6%","±5.4","24,341","±2,587","5,701","±1,587","23.4%","±6.0","85,428,271","±150,402","17,440,361","±112,546","20.4%","±0.1"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","10,263","±3,108","(X)","(X)","(X)","(X)","10,110","±3,157","(X)","(X)","(X)","(X)","8,243","±2,467","(X)","(X)","(X)","(X)","7,126","±2,915","(X)","(X)","(X)","(X)","6,277","±2,998","(X)","(X)","(X)","(X)","2,891","±1,990","(X)","(X)","(X)","(X)","27,643","±5,886","(X)","(X)","(X)","(X)","5,758","±2,525","(X)","(X)","(X)","(X)","7,681","±2,694","(X)","(X)","(X)","(X)","16,820","±4,608","(X)","(X)","(X)","(X)","4,443","±1,541","(X)","(X)","(X)","(X)","17,602,164","±126,927","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","36,664","±4,768","(X)","(X)","(X)","(X)","22,982","±3,350","(X)","(X)","(X)","(X)","26,415","±4,700","(X)","(X)","(X)","(X)","22,079","±3,609","(X)","(X)","(X)","(X)","18,263","±3,515","(X)","(X)","(X)","(X)","10,628","±2,895","(X)","(X)","(X)","(X)","75,425","±7,367","(X)","(X)","(X)","(X)","15,493","±3,658","(X)","(X)","(X)","(X)","26,451","±4,247","(X)","(X)","(X)","(X)","45,849","±7,563","(X)","(X)","(X)","(X)","16,665","±3,253","(X)","(X)","(X)","(X)","52,189,901","±299,896","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","48,348","±5,910","(X)","(X)","(X)","(X)","28,312","±3,562","(X)","(X)","(X)","(X)","30,722","±4,742","(X)","(X)","(X)","(X)","28,399","±4,605","(X)","(X)","(X)","(X)","20,584","±3,592","(X)","(X)","(X)","(X)","13,916","±3,102","(X)","(X)","(X)","(X)","102,232","±9,733","(X)","(X)","(X)","(X)","20,911","±3,942","(X)","(X)","(X)","(X)","35,937","±4,208","(X)","(X)","(X)","(X)","66,509","±7,888","(X)","(X)","(X)","(X)","23,585","±3,948","(X)","(X)","(X)","(X)","65,139,120","±335,989","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","69,413","±5,948","(X)","(X)","(X)","(X)","36,596","±4,453","(X)","(X)","(X)","(X)","37,550","±5,003","(X)","(X)","(X)","(X)","37,315","±4,795","(X)","(X)","(X)","(X)","27,023","±3,779","(X)","(X)","(X)","(X)","18,809","±3,646","(X)","(X)","(X)","(X)","130,771","±10,341","(X)","(X)","(X)","(X)","31,630","±5,558","(X)","(X)","(X)","(X)","46,809","±4,964","(X)","(X)","(X)","(X)","86,481","±9,104","(X)","(X)","(X)","(X)","32,019","±3,718","(X)","(X)","(X)","(X)","84,162,461","±410,280","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","76,127","±5,804","(X)","(X)","(X)","(X)","38,126","±4,425","(X)","(X)","(X)","(X)","39,651","±5,001","(X)","(X)","(X)","(X)","40,738","±4,963","(X)","(X)","(X)","(X)","28,761","±3,700","(X)","(X)","(X)","(X)","20,265","±3,644","(X)","(X)","(X)","(X)","140,732","±10,120","(X)","(X)","(X)","(X)","34,184","±5,442","(X)","(X)","(X)","(X)","55,160","±5,797","(X)","(X)","(X)","(X)","92,418","±8,877","(X)","(X)","(X)","(X)","33,686","±3,640","(X)","(X)","(X)","(X)","92,655,786","±420,869","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","119,139","±7,020","(X)","(X)","(X)","(X)","59,243","±5,510","(X)","(X)","(X)","(X)","62,521","±5,666","(X)","(X)","(X)","(X)","59,032","±4,220","(X)","(X)","(X)","(X)","40,158","±2,832","(X)","(X)","(X)","(X)","35,984","±3,736","(X)","(X)","(X)","(X)","198,504","±7,785","(X)","(X)","(X)","(X)","54,737","±4,584","(X)","(X)","(X)","(X)","77,071","±6,093","(X)","(X)","(X)","(X)","130,375","±8,527","(X)","(X)","(X)","(X)","48,370","±3,607","(X)","(X)","(X)","(X)","143,196,072","±488,803","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","160,905","±6,637","(X)","(X)","(X)","(X)","72,312","±5,005","(X)","(X)","(X)","(X)","80,889","±5,070","(X)","(X)","(X)","(X)","72,352","±3,564","(X)","(X)","(X)","(X)","48,281","±2,728","(X)","(X)","(X)","(X)","45,758","±3,663","(X)","(X)","(X)","(X)","246,343","±8,158","(X)","(X)","(X)","(X)","73,583","±4,786","(X)","(X)","(X)","(X)","94,237","±4,801","(X)","(X)","(X)","(X)","163,510","±6,886","(X)","(X)","(X)","(X)","56,754","±3,261","(X)","(X)","(X)","(X)","187,401,509","±435,812","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","187,743","±6,559","(X)","(X)","(X)","(X)","84,265","±3,978","(X)","(X)","(X)","(X)","97,988","±3,442","(X)","(X)","(X)","(X)","79,520","±3,411","(X)","(X)","(X)","(X)","51,376","±2,361","(X)","(X)","(X)","(X)","53,056","±2,922","(X)","(X)","(X)","(X)","288,323","±6,804","(X)","(X)","(X)","(X)","84,866","±4,358","(X)","(X)","(X)","(X)","104,109","±4,387","(X)","(X)","(X)","(X)","178,425","±5,961","(X)","(X)","(X)","(X)","62,013","±3,011","(X)","(X)","(X)","(X)","221,484,622","±368,116","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","41,502","±4,285","6,210","±1,411","15.0%","±3.0","19,263","±2,947","6,351","±1,710","33.0%","±6.7","25,189","±3,263","8,527","±1,786","33.9%","±6.1","21,101","±2,879","6,542","±1,681","31.0%","±6.3","13,346","±1,570","4,600","±1,241","34.5%","±8.2","10,213","±1,894","2,985","±1,133","29.2%","±9.2","87,961","±5,313","19,491","±2,885","22.2%","±2.9","18,640","±3,061","3,049","±1,019","16.4%","±5.6","26,533","±3,556","8,397","±1,889","31.6%","±5.1","51,740","±4,510","19,582","±3,389","37.8%","±5.0","15,282","±2,178","3,528","±976","23.1%","±5.9","63,367,537","±165,049","15,147,496","±85,504","23.9%","±0.1"
"    Male","20,858","±2,931","2,244","±867","10.8%","±3.5","10,897","±2,052","3,355","±1,181","30.8%","±8.8","12,128","±2,155","4,094","±1,090","33.8%","±7.8","10,055","±1,986","2,880","±1,096","28.6%","±8.3","7,428","±1,148","2,274","±913","30.6%","±11.2","4,917","±1,003","1,287","±624","26.2%","±12.3","40,225","±3,611","8,744","±1,739","21.7%","±3.9","9,242","±2,107","1,120","±541","12.1%","±6.1","11,994","±2,143","2,912","±1,028","24.3%","±7.2","27,750","±2,997","9,638","±2,469","34.7%","±7.2","7,951","±1,852","1,418","±597","17.8%","±7.3","31,102,291","±114,229","6,650,045","±58,989","21.4%","±0.2"
"    Female","20,644","±2,187","3,966","±952","19.2%","±4.4","8,366","±1,781","2,996","±1,054","35.8%","±9.7","13,061","±1,927","4,433","±1,181","33.9%","±7.7","11,046","±1,551","3,662","±1,150","33.2%","±9.3","5,918","±1,069","2,326","±868","39.3%","±12.2","5,296","±1,336","1,698","±921","32.1%","±13.6","47,736","±3,685","10,747","±2,036","22.5%","±3.8","9,398","±1,790","1,929","±866","20.5%","±8.5","14,539","±2,101","5,485","±1,356","37.7%","±6.9","23,990","±2,689","9,944","±2,113","41.5%","±6.5","7,331","±1,350","2,110","±868","28.8%","±10.2","32,265,246","±88,999","8,497,451","±47,268","26.3%","±0.1"
"    15 years","35","±52","35","±52","100.0%","±100.0","75","±126","75","±126","100.0%","±79.5","0","±206","0","±206","-","**","0","±206","0","±206","-","**","64","±110","64","±110","100.0%","±86.0","0","±206","0","±206","-","**","48","±87","48","±87","100.0%","±99.3","0","±206","0","±206","-","**","146","±245","146","±245","100.0%","±57.0","0","±206","0","±206","-","**","5","±10","5","±10","100.0%","±100.0","83,618","±5,420","82,208","±5,378","98.3%","±0.8"
"    16 to 17 years","0","±206","0","±206","-","**","13","±23","13","±23","100.0%","±100.0","71","±123","71","±123","100.0%","±81.7","207","±261","207","±261","100.0%","±47.8","0","±206","0","±206","-","**","86","±143","86","±143","100.0%","±74.2","56","±98","0","±206","0.0%","±92.0","0","±206","0","±206","-","**","0","±206","0","±206","-","**","33","±58","33","±58","100.0%","±100.0","54","±98","54","±98","100.0%","±93.6","204,953","±8,533","194,244","±8,321","94.8%","±0.9"
"    18 to 24 years","4,939","±1,303","1,356","±561","27.5%","±11.5","2,697","±1,056","1,756","±674","65.1%","±16.2","9,111","±2,089","4,537","±1,354","49.8%","±9.8","750","±424","472","±347","62.9%","±25.5","1,049","±545","162","±191","15.4%","±18.1","364","±289","71","±110","19.5%","±33.2","8,260","±1,973","2,434","±967","29.5%","±11.9","851","±525","200","±224","23.5%","±25.1","2,399","±1,252","716","±589","29.8%","±17.4","15,687","±2,014","10,107","±2,447","64.4%","±10.7","1,395","±666","1,042","±618","74.7%","±22.7","6,838,105","±61,734","3,197,531","±47,239","46.8%","±0.4"
"    25 to 34 years","10,788","±1,804","941","±627","8.7%","±5.6","4,373","±1,520","1,564","±958","35.8%","±14.1","4,666","±1,113","1,280","±776","27.4%","±15.7","2,008","±880","599","±516","29.8%","±20.4","2,504","±757","842","±577","33.6%","±21.2","1,372","±765","162","±196","11.8%","±16.3","18,140","±2,694","2,677","±1,374","14.8%","±7.1","2,839","±980","158","±167","5.6%","±5.6","4,811","±1,417","742","±412","15.4%","±7.0","10,912","±1,949","2,937","±1,072","26.9%","±8.4","2,378","±980","450","±401","18.9%","±16.7","13,454,841","±75,922","2,309,930","±31,903","17.2%","±0.2"
"    35 to 44 years","5,328","±1,270","375","±278","7.0%","±5.5","1,785","±669","496","±423","27.8%","±19.4","1,928","±906","210","±196","10.9%","±10.8","2,949","±1,330","1,322","±953","44.8%","±25.0","1,489","±692","545","±410","36.6%","±22.7","2,579","±964","753","±785","29.2%","±26.7","12,233","±1,892","2,863","±1,088","23.4%","±8.9","3,021","±1,275","298","±424","9.9%","±13.9","3,137","±1,118","1,091","±535","34.8%","±14.0","6,174","±1,944","1,490","±965","24.1%","±14.4","1,505","±610","209","±170","13.9%","±11.3","7,718,960","±50,822","1,499,258","±19,931","19.4%","±0.2"
"    45 to 54 years","3,901","±1,240","315","±292","8.1%","±7.5","4,018","±1,311","791","±681","19.7%","±16.2","2,291","±774","441","±275","19.2%","±13.5","2,454","±914","1,148","±604","46.8%","±17.4","1,483","±679","440","±325","29.7%","±17.6","1,246","±565","542","±406","43.5%","±22.1","11,309","±1,583","3,697","±1,143","32.7%","±9.0","2,589","±974","590","±503","22.8%","±17.5","3,011","±1,126","1,835","±897","60.9%","±21.1","4,817","±1,395","1,674","±899","34.8%","±14.8","1,547","±841","322","±347","20.8%","±20.6","7,978,652","±49,774","1,812,966","±22,813","22.7%","±0.2"
"    55 to 64 years","6,199","±1,362","1,434","±626","23.1%","±8.3","2,148","±767","663","±359","30.9%","±15.4","2,593","±868","697","±470","26.9%","±15.8","4,134","±1,078","1,358","±564","32.8%","±12.6","2,495","±699","1,003","±527","40.2%","±21.4","1,773","±605","645","±501","36.4%","±23.1","17,544","±2,147","4,274","±1,457","24.4%","±7.3","3,392","±1,063","988","±539","29.1%","±16.4","4,709","±1,222","1,811","±738","38.5%","±11.2","5,605","±1,359","1,810","±833","32.3%","±13.1","4,398","±1,243","667","±426","15.2%","±9.9","10,455,530","±54,536","2,724,824","±29,640","26.1%","±0.3"
"    65 to 74 years","5,687","±1,172","1,113","±652","19.6%","±10.6","1,237","±548","321","±212","25.9%","±16.5","2,547","±882","956","±654","37.5%","±18.2","4,400","±1,055","515","±310","11.7%","±7.6","1,986","±698","738","±513","37.2%","±19.4","1,460","±520","522","±333","35.8%","±17.3","10,626","±1,569","1,780","±696","16.8%","±6.0","2,687","±933","407","±292","15.1%","±10.0","3,694","±948","1,012","±567","27.4%","±13.3","3,855","±1,086","739","±565","19.2%","±13.7","1,613","±604","467","±291","29.0%","±15.5","8,654,115","±44,737","1,756,993","±22,093","20.3%","±0.2"
"    75 years and over","4,625","±949","641","±400","13.9%","±8.2","2,917","±904","672","±487","23.0%","±13.7","1,982","±488","335","±301","16.9%","±15.1","4,199","±960","921","±554","21.9%","±12.2","2,276","±531","806","±513","35.4%","±19.9","1,333","±487","204","±193","15.3%","±13.1","9,745","±1,547","1,718","±591","17.6%","±5.8","3,261","±805","408","±411","12.5%","±12.4","4,626","±926","1,044","±538","22.6%","±11.5","4,657","±899","792","±427","17.0%","±8.1","2,387","±641","312","±213","13.1%","±8.8","7,978,763","±37,753","1,569,542","±21,215","19.7%","±0.2"
"    Mean income deficit for unrelated individuals (dollars)","5,751","±987","(X)","(X)","(X)","(X)","7,959","±1,248","(X)","(X)","(X)","(X)","7,536","±1,459","(X)","(X)","(X)","(X)","5,611","±1,182","(X)","(X)","(X)","(X)","6,168","±1,234","(X)","(X)","(X)","(X)","6,298","±1,907","(X)","(X)","(X)","(X)","7,030","±736","(X)","(X)","(X)","(X)","6,867","±1,790","(X)","(X)","(X)","(X)","6,850","±867","(X)","(X)","(X)","(X)","7,550","±721","(X)","(X)","(X)","(X)","7,362","±1,670","(X)","(X)","(X)","(X)","7,363","±22","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","23,115","±3,544","389","±238","1.7%","±1.0","7,608","±1,698","625","±359","8.2%","±5.1","12,557","±2,788","1,739","±1,311","13.8%","±9.2","6,990","±1,997","862","±814","12.3%","±10.7","4,684","±1,333","471","±459","10.1%","±9.3","4,492","±1,376","87","±111","1.9%","±2.6","43,332","±4,130","1,921","±1,029","4.4%","±2.3","9,059","±2,339","184","±230","2.0%","±2.6","9,277","±1,929","696","±540","7.5%","±5.7","20,128","±2,827","1,953","±1,031","9.7%","±4.7","6,496","±1,696","112","±102","1.7%","±1.6","28,435,494","±110,218","986,970","±18,256","3.5%","±0.1"
"    Worked less than full-time, year-round in the past 12 months","5,547","±976","1,811","±602","32.6%","±8.4","3,151","±926","1,362","±613","43.2%","±13.5","4,906","±1,412","2,401","±880","48.9%","±11.8","4,026","±1,161","1,928","±742","47.9%","±14.1","2,299","±1,008","771","±538","33.5%","±20.2","1,283","±574","368","±259","28.7%","±18.8","15,563","±2,565","5,568","±1,368","35.8%","±6.4","1,713","±915","347","±351","20.3%","±18.2","5,201","±1,860","1,668","±762","32.1%","±10.8","15,850","±2,349","9,429","±2,003","59.5%","±8.8","2,634","±1,051","981","±522","37.2%","±17.9","12,969,793","±65,338","4,594,315","±42,343","35.4%","±0.3"
"    Did not work","12,840","±2,006","4,010","±1,143","31.2%","±6.9","8,504","±1,970","4,364","±1,533","51.3%","±10.7","7,726","±1,724","4,387","±1,396","56.8%","±9.7","10,085","±1,834","3,752","±1,188","37.2%","±8.4","6,363","±1,217","3,358","±990","52.8%","±11.1","4,438","±1,325","2,530","±1,145","57.0%","±13.4","29,066","±3,179","12,002","±2,193","41.3%","±5.4","7,868","±1,757","2,518","±931","32.0%","±10.1","12,055","±1,814","6,033","±1,430","50.0%","±8.6","15,762","±2,944","8,200","±2,558","52.0%","±8.5","6,152","±1,293","2,435","±901","39.6%","±10.9","21,962,250","±91,281","9,566,211","±63,777","43.6%","±0.2"
