"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Insured!!Estimate","Benton County, Arkansas!!Percent Insured!!Estimate","Benton County, Arkansas!!Uninsured!!Estimate","Benton County, Arkansas!!Percent Uninsured!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Insured!!Estimate","Craighead County, Arkansas!!Percent Insured!!Estimate","Craighead County, Arkansas!!Uninsured!!Estimate","Craighead County, Arkansas!!Percent Uninsured!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Insured!!Estimate","Faulkner County, Arkansas!!Percent Insured!!Estimate","Faulkner County, Arkansas!!Uninsured!!Estimate","Faulkner County, Arkansas!!Percent Uninsured!!Estimate","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Insured!!Estimate","Garland County, Arkansas!!Percent Insured!!Estimate","Garland County, Arkansas!!Uninsured!!Estimate","Garland County, Arkansas!!Percent Uninsured!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Insured!!Estimate","Jefferson County, Arkansas!!Percent Insured!!Estimate","Jefferson County, Arkansas!!Uninsured!!Estimate","Jefferson County, Arkansas!!Percent Uninsured!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Insured!!Estimate","Lonoke County, Arkansas!!Percent Insured!!Estimate","Lonoke County, Arkansas!!Uninsured!!Estimate","Lonoke County, Arkansas!!Percent Uninsured!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Insured!!Estimate","Pulaski County, Arkansas!!Percent Insured!!Estimate","Pulaski County, Arkansas!!Uninsured!!Estimate","Pulaski County, Arkansas!!Percent Uninsured!!Estimate","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Insured!!Estimate","Saline County, Arkansas!!Percent Insured!!Estimate","Saline County, Arkansas!!Uninsured!!Estimate","Saline County, Arkansas!!Percent Uninsured!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Insured!!Estimate","Sebastian County, Arkansas!!Percent Insured!!Estimate","Sebastian County, Arkansas!!Uninsured!!Estimate","Sebastian County, Arkansas!!Percent Uninsured!!Estimate","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Insured!!Estimate","Washington County, Arkansas!!Percent Insured!!Estimate","Washington County, Arkansas!!Uninsured!!Estimate","Washington County, Arkansas!!Percent Uninsured!!Estimate","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Insured!!Estimate","White County, Arkansas!!Percent Insured!!Estimate","White County, Arkansas!!Uninsured!!Estimate","White County, Arkansas!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"            Bachelor's degree or higher","62,259","59,825","96.1%","2,434","3.9%","17,324","17,034","98.3%","290","1.7%","21,519","20,689","96.1%","830","3.9%","20,267","19,974","98.6%","293","1.4%","8,193","8,067","98.5%","126","1.5%","8,948","8,591","96.0%","357","4.0%","91,283","88,655","97.1%","2,628","2.9%","22,172","21,361","96.3%","811","3.7%","20,875","20,296","97.2%","579","2.8%","45,191","44,039","97.5%","1,152","2.5%","7,981","7,852","98.4%","129","1.6%","72,336,207","69,468,188","96.0%","2,868,019","4.0%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","163,783","141,509","86.4%","22,274","13.6%","67,574","59,651","88.3%","7,923","11.7%","77,632","66,777","86.0%","10,855","14.0%","54,227","45,488","83.9%","8,739","16.1%","35,781","32,782","91.6%","2,999","8.4%","42,646","37,402","87.7%","5,244","12.3%","228,217","199,800","87.5%","28,417","12.5%","68,355","60,218","88.1%","8,137","11.9%","73,184","61,113","83.5%","12,071","16.5%","145,921","121,379","83.2%","24,542","16.8%","45,383","39,633","87.3%","5,750","12.7%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"            In labor force","129,943","114,772","88.3%","15,171","11.7%","50,596","45,180","89.3%","5,416","10.7%","59,202","50,971","86.1%","8,231","13.9%","39,427","32,978","83.6%","6,449","16.4%","25,618","23,884","93.2%","1,734","6.8%","32,653","28,071","86.0%","4,582","14.0%","173,306","151,187","87.2%","22,119","12.8%","54,609","47,585","87.1%","7,024","12.9%","56,212","46,427","82.6%","9,785","17.4%","111,795","92,974","83.2%","18,821","16.8%","30,698","26,136","85.1%","4,562","14.9%","151,909,747","133,276,510","87.7%","18,633,237","12.3%"
"                Employed","127,422","112,899","88.6%","14,523","11.4%","47,981","42,685","89.0%","5,296","11.0%","58,095","50,219","86.4%","7,876","13.6%","38,061","32,185","84.6%","5,876","15.4%","24,124","22,820","94.6%","1,304","5.4%","31,709","27,397","86.4%","4,312","13.6%","167,608","147,128","87.8%","20,480","12.2%","52,495","45,940","87.5%","6,555","12.5%","52,788","43,941","83.2%","8,847","16.8%","105,894","89,997","85.0%","15,897","15.0%","29,445","25,008","84.9%","4,437","15.1%","145,378,445","128,593,858","88.5%","16,784,587","11.5%"
"                Unemployed","2,521","1,873","74.3%","648","25.7%","2,615","2,495","95.4%","120","4.6%","1,107","752","67.9%","355","32.1%","1,366","793","58.1%","573","41.9%","1,494","1,064","71.2%","430","28.8%","944","674","71.4%","270","28.6%","5,698","4,059","71.2%","1,639","28.8%","2,114","1,645","77.8%","469","22.2%","3,424","2,486","72.6%","938","27.4%","5,901","2,977","50.4%","2,924","49.6%","1,253","1,128","90.0%","125","10.0%","6,531,302","4,682,652","71.7%","1,848,650","28.3%"
"            Not in labor force","33,840","26,737","79.0%","7,103","21.0%","16,978","14,471","85.2%","2,507","14.8%","18,430","15,806","85.8%","2,624","14.2%","14,800","12,510","84.5%","2,290","15.5%","10,163","8,898","87.6%","1,265","12.4%","9,993","9,331","93.4%","662","6.6%","54,911","48,613","88.5%","6,298","11.5%","13,746","12,633","91.9%","1,113","8.1%","16,972","14,686","86.5%","2,286","13.5%","34,126","28,405","83.2%","5,721","16.8%","14,685","13,497","91.9%","1,188","8.1%","41,078,082","34,859,419","84.9%","6,218,663","15.1%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","163,783","141,509","86.4%","22,274","13.6%","67,574","59,651","88.3%","7,923","11.7%","77,632","66,777","86.0%","10,855","14.0%","54,227","45,488","83.9%","8,739","16.1%","35,781","32,782","91.6%","2,999","8.4%","42,646","37,402","87.7%","5,244","12.3%","228,217","199,800","87.5%","28,417","12.5%","68,355","60,218","88.1%","8,137","11.9%","73,184","61,113","83.5%","12,071","16.5%","145,921","121,379","83.2%","24,542","16.8%","45,383","39,633","87.3%","5,750","12.7%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"            Worked full-time, year round in the past 12 months","103,744","92,979","89.6%","10,765","10.4%","35,921","32,390","90.2%","3,531","9.8%","46,545","40,591","87.2%","5,954","12.8%","27,791","23,652","85.1%","4,139","14.9%","18,468","17,503","94.8%","965","5.2%","23,532","20,844","88.6%","2,688","11.4%","131,902","118,807","90.1%","13,095","9.9%","43,450","37,951","87.3%","5,499","12.7%","40,781","34,715","85.1%","6,066","14.9%","79,324","68,964","86.9%","10,360","13.1%","23,318","20,316","87.1%","3,002","12.9%","109,214,198","98,095,694","89.8%","11,118,504","10.2%"
"            Worked less than full-time, year round in the past 12 months","28,544","23,425","82.1%","5,119","17.9%","18,293","15,396","84.2%","2,897","15.8%","15,015","12,428","82.8%","2,587","17.2%","13,545","10,896","80.4%","2,649","19.6%","7,884","6,923","87.8%","961","12.2%","9,657","7,758","80.3%","1,899","19.7%","45,697","36,715","80.3%","8,982","19.7%","11,765","10,365","88.1%","1,400","11.9%","16,626","12,685","76.3%","3,941","23.7%","36,820","29,215","79.3%","7,605","20.7%","9,897","8,283","83.7%","1,614","16.3%","46,115,530","38,369,726","83.2%","7,745,804","16.8%"
"            Did not work","31,495","25,105","79.7%","6,390","20.3%","13,360","11,865","88.8%","1,495","11.2%","16,072","13,758","85.6%","2,314","14.4%","12,891","10,940","84.9%","1,951","15.1%","9,429","8,356","88.6%","1,073","11.4%","9,457","8,800","93.1%","657","6.9%","50,618","44,278","87.5%","6,340","12.5%","13,140","11,902","90.6%","1,238","9.4%","15,777","13,713","86.9%","2,064","13.1%","29,777","23,200","77.9%","6,577","22.1%","12,168","11,034","90.7%","1,134","9.3%","37,658,101","31,670,509","84.1%","5,987,592","15.9%"
"    HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total household population","276,062","248,549","90.0%","27,513","10.0%","106,271","96,861","91.1%","9,410","8.9%","120,294","108,781","90.4%","11,513","9.6%","97,417","86,645","88.9%","10,772","11.1%","60,572","56,719","93.6%","3,853","6.4%","72,108","66,050","91.6%","6,058","8.4%","381,869","348,095","91.2%","33,774","8.8%","121,017","111,009","91.7%","10,008","8.3%","125,841","111,487","88.6%","14,354","11.4%","231,236","200,865","86.9%","30,371","13.1%","75,082","68,590","91.4%","6,492","8.6%","319,261,418","289,929,027","90.8%","29,332,391","9.2%"
"            Under $25,000","27,876","23,932","85.9%","3,944","14.1%","22,164","19,819","89.4%","2,345","10.6%","20,397","16,314","80.0%","4,083","20.0%","18,585","14,791","79.6%","3,794","20.4%","16,483","14,221","86.3%","2,262","13.7%","9,689","9,332","96.3%","357","3.7%","61,746","54,423","88.1%","7,323","11.9%","13,014","11,994","92.2%","1,020","7.8%","20,399","17,932","87.9%","2,467","12.1%","36,155","31,595","87.4%","4,560","12.6%","15,967","13,729","86.0%","2,238","14.0%","40,323,295","34,899,277","86.5%","5,424,018","13.5%"
"            $25,000 to $49,999","46,429","37,429","80.6%","9,000","19.4%","26,052","22,204","85.2%","3,848","14.8%","21,908","19,235","87.8%","2,673","12.2%","27,727","23,315","84.1%","4,412","15.9%","14,853","14,022","94.4%","831","5.6%","12,747","10,511","82.5%","2,236","17.5%","88,406","76,283","86.3%","12,123","13.7%","22,062","18,522","84.0%","3,540","16.0%","33,293","26,185","78.7%","7,108","21.3%","60,435","49,286","81.6%","11,149","18.4%","17,008","15,718","92.4%","1,290","7.6%","56,551,992","48,692,982","86.1%","7,859,010","13.9%"
"            $50,000 to $74,999","54,287","47,766","88.0%","6,521","12.0%","16,527","15,345","92.8%","1,182","7.2%","24,518","21,837","89.1%","2,681","10.9%","20,350","19,137","94.0%","1,213","6.0%","10,685","10,319","96.6%","366","3.4%","13,210","12,001","90.8%","1,209","9.2%","76,166","66,956","87.9%","9,210","12.1%","26,418","24,198","91.6%","2,220","8.4%","26,577","23,654","89.0%","2,923","11.0%","42,697","32,535","76.2%","10,162","23.8%","17,528","15,586","88.9%","1,942","11.1%","54,772,904","48,508,928","88.6%","6,263,976","11.4%"
"            $75,000 to $99,999","43,293","38,939","89.9%","4,354","10.1%","11,666","11,020","94.5%","646","5.5%","20,115","19,441","96.6%","674","3.4%","12,750","11,836","92.8%","914","7.2%","10,137","10,079","99.4%","58","0.6%","12,533","10,753","85.8%","1,780","14.2%","41,146","39,668","96.4%","1,478","3.6%","19,491","17,184","88.2%","2,307","11.8%","16,540","15,416","93.2%","1,124","6.8%","26,766","25,615","95.7%","1,151","4.3%","7,944","7,456","93.9%","488","6.1%","44,885,818","41,020,936","91.4%","3,864,882","8.6%"
"            $100,000 and over","104,177","100,483","96.5%","3,694","3.5%","29,862","28,473","95.3%","1,389","4.7%","33,356","31,954","95.8%","1,402","4.2%","18,005","17,566","97.6%","439","2.4%","8,414","8,078","96.0%","336","4.0%","23,929","23,453","98.0%","476","2.0%","114,405","110,765","96.8%","3,640","3.2%","40,032","39,111","97.7%","921","2.3%","29,032","28,300","97.5%","732","2.5%","65,183","61,834","94.9%","3,349","5.1%","16,635","16,101","96.8%","534","3.2%","122,727,409","116,806,904","95.2%","5,920,505","4.8%"
"    RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population for whom poverty status is determined","275,129","247,580","90.0%","27,549","10.0%","106,252","96,858","91.2%","9,394","8.8%","120,393","108,880","90.4%","11,513","9.6%","97,858","87,071","89.0%","10,787","11.0%","60,402","56,549","93.6%","3,853","6.4%","72,006","66,049","91.7%","5,957","8.3%","381,997","347,966","91.1%","34,031","8.9%","120,969","110,961","91.7%","10,008","8.3%","125,763","111,409","88.6%","14,354","11.4%","230,244","199,871","86.8%","30,373","13.2%","74,944","68,412","91.3%","6,532","8.7%","319,224,591","289,833,878","90.8%","29,390,713","9.2%"
"            Below 138 percent of the poverty threshold","43,154","35,469","82.2%","7,685","17.8%","26,008","22,880","88.0%","3,128","12.0%","28,845","23,373","81.0%","5,472","19.0%","24,555","19,400","79.0%","5,155","21.0%","18,677","16,386","87.7%","2,291","12.3%","11,869","11,512","97.0%","357","3.0%","85,047","72,058","84.7%","12,989","15.3%","18,884","16,671","88.3%","2,213","11.7%","30,224","25,029","82.8%","5,195","17.2%","61,519","47,629","77.4%","13,890","22.6%","20,150","18,098","89.8%","2,052","10.2%","58,863,556","49,529,372","84.1%","9,334,184","15.9%"
"            138 to 399 percent of the poverty threshold","117,665","99,853","84.9%","17,812","15.1%","46,142","41,612","90.2%","4,530","9.8%","51,582","46,714","90.6%","4,868","9.4%","47,797","42,932","89.8%","4,865","10.2%","29,585","28,344","95.8%","1,241","4.2%","33,540","28,554","85.1%","4,986","14.9%","159,374","141,675","88.9%","17,699","11.1%","54,628","48,081","88.0%","6,547","12.0%","63,892","55,661","87.1%","8,231","12.9%","101,991","87,810","86.1%","14,181","13.9%","36,604","32,947","90.0%","3,657","10.0%","128,036,509","113,085,314","88.3%","14,951,195","11.7%"
"            At or above 400 percent of the poverty threshold","114,310","112,258","98.2%","2,052","1.8%","34,102","32,366","94.9%","1,736","5.1%","39,966","38,793","97.1%","1,173","2.9%","25,506","24,739","97.0%","767","3.0%","12,140","11,819","97.4%","321","2.6%","26,597","25,983","97.7%","614","2.3%","137,576","134,233","97.6%","3,343","2.4%","47,457","46,209","97.4%","1,248","2.6%","31,647","30,719","97.1%","928","2.9%","66,734","64,432","96.6%","2,302","3.4%","18,190","17,367","95.5%","823","4.5%","132,324,526","127,219,192","96.1%","5,105,334","3.9%"
"            Below 100 percent of the poverty threshold","25,073","20,221","80.6%","4,852","19.4%","18,846","16,774","89.0%","2,072","11.0%","19,701","16,906","85.8%","2,795","14.2%","17,020","13,399","78.7%","3,621","21.3%","14,912","12,661","84.9%","2,251","15.1%","8,056","7,914","98.2%","142","1.8%","55,024","46,822","85.1%","8,202","14.9%","13,149","12,220","92.9%","929","7.1%","20,253","17,281","85.3%","2,972","14.7%","38,318","30,709","80.1%","7,609","19.9%","11,498","10,212","88.8%","1,286","11.2%","39,464,064","33,166,119","84.0%","6,297,945","16.0%"
