"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Insured!!Estimate","Baldwin County, Alabama!!Percent Insured!!Estimate","Baldwin County, Alabama!!Uninsured!!Estimate","Baldwin County, Alabama!!Percent Uninsured!!Estimate","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Insured!!Estimate","Calhoun County, Alabama!!Percent Insured!!Estimate","Calhoun County, Alabama!!Uninsured!!Estimate","Calhoun County, Alabama!!Percent Uninsured!!Estimate","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Insured!!Estimate","Cullman County, Alabama!!Percent Insured!!Estimate","Cullman County, Alabama!!Uninsured!!Estimate","Cullman County, Alabama!!Percent Uninsured!!Estimate","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Insured!!Estimate","DeKalb County, Alabama!!Percent Insured!!Estimate","DeKalb County, Alabama!!Uninsured!!Estimate","DeKalb County, Alabama!!Percent Uninsured!!Estimate","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Insured!!Estimate","Elmore County, Alabama!!Percent Insured!!Estimate","Elmore County, Alabama!!Uninsured!!Estimate","Elmore County, Alabama!!Percent Uninsured!!Estimate","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Insured!!Estimate","Etowah County, Alabama!!Percent Insured!!Estimate","Etowah County, Alabama!!Uninsured!!Estimate","Etowah County, Alabama!!Percent Uninsured!!Estimate","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Insured!!Estimate","Houston County, Alabama!!Percent Insured!!Estimate","Houston County, Alabama!!Uninsured!!Estimate","Houston County, Alabama!!Percent Uninsured!!Estimate","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Insured!!Estimate","Jefferson County, Alabama!!Percent Insured!!Estimate","Jefferson County, Alabama!!Uninsured!!Estimate","Jefferson County, Alabama!!Percent Uninsured!!Estimate","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Insured!!Estimate","Lauderdale County, Alabama!!Percent Insured!!Estimate","Lauderdale County, Alabama!!Uninsured!!Estimate","Lauderdale County, Alabama!!Percent Uninsured!!Estimate","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Insured!!Estimate","Lee County, Alabama!!Percent Insured!!Estimate","Lee County, Alabama!!Uninsured!!Estimate","Lee County, Alabama!!Percent Uninsured!!Estimate","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Insured!!Estimate","Limestone County, Alabama!!Percent Insured!!Estimate","Limestone County, Alabama!!Uninsured!!Estimate","Limestone County, Alabama!!Percent Uninsured!!Estimate","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Insured!!Estimate","Madison County, Alabama!!Percent Insured!!Estimate","Madison County, Alabama!!Uninsured!!Estimate","Madison County, Alabama!!Percent Uninsured!!Estimate","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Insured!!Estimate","Marshall County, Alabama!!Percent Insured!!Estimate","Marshall County, Alabama!!Uninsured!!Estimate","Marshall County, Alabama!!Percent Uninsured!!Estimate","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Insured!!Estimate","Mobile County, Alabama!!Percent Insured!!Estimate","Mobile County, Alabama!!Uninsured!!Estimate","Mobile County, Alabama!!Percent Uninsured!!Estimate","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Insured!!Estimate","Montgomery County, Alabama!!Percent Insured!!Estimate","Montgomery County, Alabama!!Uninsured!!Estimate","Montgomery County, Alabama!!Percent Uninsured!!Estimate","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Insured!!Estimate","Morgan County, Alabama!!Percent Insured!!Estimate","Morgan County, Alabama!!Uninsured!!Estimate","Morgan County, Alabama!!Percent Uninsured!!Estimate","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Insured!!Estimate","St. Clair County, Alabama!!Percent Insured!!Estimate","St. Clair County, Alabama!!Uninsured!!Estimate","St. Clair County, Alabama!!Percent Uninsured!!Estimate","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Insured!!Estimate","Shelby County, Alabama!!Percent Insured!!Estimate","Shelby County, Alabama!!Uninsured!!Estimate","Shelby County, Alabama!!Percent Uninsured!!Estimate","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Insured!!Estimate","Talladega County, Alabama!!Percent Insured!!Estimate","Talladega County, Alabama!!Uninsured!!Estimate","Talladega County, Alabama!!Percent Uninsured!!Estimate","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Insured!!Estimate","Tuscaloosa County, Alabama!!Percent Insured!!Estimate","Tuscaloosa County, Alabama!!Uninsured!!Estimate","Tuscaloosa County, Alabama!!Percent Uninsured!!Estimate","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Insured!!Estimate","Walker County, Alabama!!Percent Insured!!Estimate","Walker County, Alabama!!Uninsured!!Estimate","Walker County, Alabama!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","2,247,099","80.9%","530,578","19.1%"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","946","748","79.1%","198","20.9%","11,419","10,229","89.6%","1,190","10.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,246","9,772","95.4%","474","4.6%","N","N","N","N","N","7,779","6,455","83.0%","1,324","17.0%","7,273","6,654","91.5%","619","8.5%","N","N","N","N","N","N","N","N","N","N","4,070","3,532","86.8%","538","13.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,534,191","17,315,729","93.4%","1,218,462","6.6%"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","537,523","87.7%","75,334","12.3%"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,207","1,864","58.1%","1,343","41.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,458","2,063","59.7%","1,395","40.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","12,711,066","78.7%","3,432,568","21.3%"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,874","1,678","89.5%","196","10.5%","9,296","8,259","88.8%","1,037","11.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,926","9,344","94.1%","582","5.9%","N","N","N","N","N","8,376","7,498","89.5%","878","10.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,926","5,287","89.2%","639","10.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,138,138","10,245,897","92.0%","892,241","8.0%"
"        Hispanic or Latino (of any race)","10,517","7,601","72.3%","2,916","27.7%","4,542","3,437","75.7%","1,105","24.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,230","2,917","69.0%","1,313","31.0%","3,595","2,271","63.2%","1,324","36.8%","26,820","20,697","77.2%","6,123","22.8%","N","N","N","N","N","6,092","4,990","81.9%","1,102","18.1%","6,115","4,566","74.7%","1,549","25.3%","19,178","14,379","75.0%","4,799","25.0%","14,272","10,735","75.2%","3,537","24.8%","12,443","9,850","79.2%","2,593","20.8%","8,010","5,761","71.9%","2,249","28.1%","10,465","7,517","71.8%","2,948","28.2%","N","N","N","N","N","12,635","9,491","75.1%","3,144","24.9%","1,779","1,250","70.3%","529","29.7%","8,308","6,487","78.1%","1,821","21.9%","N","N","N","N","N","59,686,770","48,551,702","81.3%","11,135,068","18.7%"
"        White alone, not Hispanic or Latino","183,610","170,492","92.9%","13,118","7.1%","79,067","71,738","90.7%","7,329","9.3%","75,880","68,301","90.0%","7,579","10.0%","56,513","49,778","88.1%","6,735","11.9%","56,699","53,790","94.9%","2,909","5.1%","78,490","70,241","89.5%","8,249","10.5%","67,749","60,613","89.5%","7,136","10.5%","322,337","300,048","93.1%","22,289","6.9%","77,612","69,630","89.7%","7,982","10.3%","110,898","105,285","94.9%","5,613","5.1%","72,676","63,816","87.8%","8,860","12.2%","235,707","223,745","94.9%","11,962","5.1%","76,228","68,887","90.4%","7,341","9.6%","230,338","207,195","90.0%","23,143","10.0%","70,843","67,390","95.1%","3,453","4.9%","88,353","80,057","90.6%","8,296","9.4%","75,874","71,791","94.6%","4,083","5.4%","166,902","159,234","95.4%","7,668","4.6%","47,843","43,770","91.5%","4,073","8.5%","126,240","119,081","94.3%","7,159","5.7%","55,858","46,529","83.3%","9,329","16.7%","194,023,129","181,892,205","93.7%","12,130,924","6.3%"
"    LIVING ARRANGEMENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In family households","186,012","171,333","92.1%","14,679","7.9%","90,527","81,017","89.5%","9,510","10.5%","72,090","65,234","90.5%","6,856","9.5%","59,979","51,589","86.0%","8,390","14.0%","65,349","61,382","93.9%","3,967","6.1%","83,320","72,554","87.1%","10,766","12.9%","88,642","77,897","87.9%","10,745","12.1%","523,917","477,410","91.1%","46,507","8.9%","72,879","64,272","88.2%","8,607","11.8%","123,246","114,300","92.7%","8,946","7.3%","83,392","73,219","87.8%","10,173","12.2%","300,195","280,823","93.5%","19,372","6.5%","83,401","73,916","88.6%","9,485","11.4%","337,810","300,389","88.9%","37,421","11.1%","174,717","158,578","90.8%","16,139","9.2%","100,213","89,563","89.4%","10,650","10.6%","79,148","74,229","93.8%","4,919","6.2%","184,687","172,922","93.6%","11,765","6.4%","63,982","57,498","89.9%","6,484","10.1%","161,694","149,087","92.2%","12,607","7.8%","53,550","42,882","80.1%","10,668","19.9%","263,940,213","240,098,070","91.0%","23,842,143","9.0%"
"            In married couple families","139,417","131,829","94.6%","7,588","5.4%","63,372","58,070","91.6%","5,302","8.4%","51,883","48,416","93.3%","3,467","6.7%","49,094","42,512","86.6%","6,582","13.4%","50,656","48,675","96.1%","1,981","3.9%","56,844","51,183","90.0%","5,661","10.0%","55,870","51,632","92.4%","4,238","7.6%","339,420","316,182","93.2%","23,238","6.8%","55,816","49,947","89.5%","5,869","10.5%","104,478","99,195","94.9%","5,283","5.1%","67,458","60,193","89.2%","7,265","10.8%","223,807","212,734","95.1%","11,073","4.9%","61,729","56,505","91.5%","5,224","8.5%","220,333","199,334","90.5%","20,999","9.5%","101,045","95,201","94.2%","5,844","5.8%","69,204","64,203","92.8%","5,001","7.2%","67,164","63,467","94.5%","3,697","5.5%","153,439","144,994","94.5%","8,445","5.5%","38,268","35,870","93.7%","2,398","6.3%","114,446","110,421","96.5%","4,025","3.5%","38,178","33,273","87.2%","4,905","12.8%","190,121,888","176,180,183","92.7%","13,941,705","7.3%"
"            In other families","46,595","39,504","84.8%","7,091","15.2%","27,155","22,947","84.5%","4,208","15.5%","20,207","16,818","83.2%","3,389","16.8%","10,885","9,077","83.4%","1,808","16.6%","14,693","12,707","86.5%","1,986","13.5%","26,476","21,371","80.7%","5,105","19.3%","32,772","26,265","80.1%","6,507","19.9%","184,497","161,228","87.4%","23,269","12.6%","17,063","14,325","84.0%","2,738","16.0%","18,768","15,105","80.5%","3,663","19.5%","15,934","13,026","81.7%","2,908","18.3%","76,388","68,089","89.1%","8,299","10.9%","21,672","17,411","80.3%","4,261","19.7%","117,477","101,055","86.0%","16,422","14.0%","73,672","63,377","86.0%","10,295","14.0%","31,009","25,360","81.8%","5,649","18.2%","11,984","10,762","89.8%","1,222","10.2%","31,248","27,928","89.4%","3,320","10.6%","25,714","21,628","84.1%","4,086","15.9%","47,248","38,666","81.8%","8,582","18.2%","15,372","9,609","62.5%","5,763","37.5%","73,818,325","63,917,887","86.6%","9,900,438","13.4%"
"                Male reference person, no spouse present","13,830","11,578","83.7%","2,252","16.3%","5,374","4,567","85.0%","807","15.0%","5,981","4,854","81.2%","1,127","18.8%","4,345","3,393","78.1%","952","21.9%","1,882","1,406","74.7%","476","25.3%","5,051","3,576","70.8%","1,475","29.2%","7,659","6,007","78.4%","1,652","21.6%","33,553","28,259","84.2%","5,294","15.8%","4,592","3,972","86.5%","620","13.5%","3,613","3,114","86.2%","499","13.8%","2,436","2,090","85.8%","346","14.2%","17,075","13,810","80.9%","3,265","19.1%","7,017","5,785","82.4%","1,232","17.6%","24,970","20,295","81.3%","4,675","18.7%","12,192","10,483","86.0%","1,709","14.0%","6,693","5,341","79.8%","1,352","20.2%","2,500","2,173","86.9%","327","13.1%","8,284","6,824","82.4%","1,460","17.6%","6,879","5,539","80.5%","1,340","19.5%","12,450","9,540","76.6%","2,910","23.4%","4,398","3,135","71.3%","1,263","28.7%","21,227,309","17,829,442","84.0%","3,397,867","16.0%"
"                Female reference person, no spouse present","32,765","27,926","85.2%","4,839","14.8%","21,781","18,380","84.4%","3,401","15.6%","14,226","11,964","84.1%","2,262","15.9%","6,540","5,684","86.9%","856","13.1%","12,811","11,301","88.2%","1,510","11.8%","21,425","17,795","83.1%","3,630","16.9%","25,113","20,258","80.7%","4,855","19.3%","150,944","132,969","88.1%","17,975","11.9%","12,471","10,353","83.0%","2,118","17.0%","15,155","11,991","79.1%","3,164","20.9%","13,498","10,936","81.0%","2,562","19.0%","59,313","54,279","91.5%","5,034","8.5%","14,655","11,626","79.3%","3,029","20.7%","92,507","80,760","87.3%","11,747","12.7%","61,480","52,894","86.0%","8,586","14.0%","24,316","20,019","82.3%","4,297","17.7%","9,484","8,589","90.6%","895","9.4%","22,964","21,104","91.9%","1,860","8.1%","18,835","16,089","85.4%","2,746","14.6%","34,798","29,126","83.7%","5,672","16.3%","10,974","6,474","59.0%","4,500","41.0%","52,591,016","46,088,445","87.6%","6,502,571","12.4%"
"        In non-family households and other living arrangements","34,899","31,650","90.7%","3,249","9.3%","20,548","17,779","86.5%","2,769","13.5%","10,751","8,863","82.4%","1,888","17.6%","10,413","8,880","85.3%","1,533","14.7%","10,060","9,528","94.7%","532","5.3%","18,150","15,531","85.6%","2,619","14.4%","15,962","13,263","83.1%","2,699","16.9%","129,048","113,905","88.3%","15,143","11.7%","18,966","16,828","88.7%","2,138","11.3%","40,706","38,029","93.4%","2,677","6.6%","12,141","11,151","91.8%","990","8.2%","66,693","58,160","87.2%","8,533","12.8%","12,552","10,841","86.4%","1,711","13.6%","71,302","62,388","87.5%","8,914","12.5%","45,518","40,763","89.6%","4,755","10.4%","17,579","16,209","92.2%","1,370","7.8%","8,213","7,871","95.8%","342","4.2%","31,231","28,605","91.6%","2,626","8.4%","12,740","11,442","89.8%","1,298","10.2%","46,178","43,929","95.1%","2,249","4.9%","9,346","8,523","91.2%","823","8.8%","59,180,465","53,383,936","90.2%","5,796,529","9.8%"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native born","209,909","195,263","93.0%","14,646","7.0%","109,355","98,092","89.7%","11,263","10.3%","80,645","72,419","89.8%","8,226","10.2%","65,374","58,115","88.9%","7,259","11.1%","73,389","69,466","94.7%","3,923","5.3%","98,471","85,750","87.1%","12,721","12.9%","101,017","89,172","88.3%","11,845","11.7%","628,032","573,254","91.3%","54,778","8.7%","90,850","80,689","88.8%","10,161","11.2%","154,028","143,238","93.0%","10,790","7.0%","92,782","82,161","88.6%","10,621","11.4%","346,381","323,729","93.5%","22,652","6.5%","87,926","80,871","92.0%","7,055","8.0%","398,674","355,891","89.3%","42,783","10.7%","210,569","192,291","91.3%","18,278","8.7%","111,356","101,117","90.8%","10,239","9.2%","N","N","N","N","N","203,163","191,957","94.5%","11,206","5.5%","75,968","68,578","90.3%","7,390","9.7%","200,886","188,027","93.6%","12,859","6.4%","N","N","N","N","N","278,548,300","257,788,435","92.5%","20,759,865","7.5%"
"        Foreign born","11,002","7,720","70.2%","3,282","29.8%","1,720","704","40.9%","1,016","59.1%","2,196","1,678","76.4%","518","23.6%","5,018","2,354","46.9%","2,664","53.1%","2,020","1,444","71.5%","576","28.5%","2,999","2,335","77.9%","664","22.1%","3,587","1,988","55.4%","1,599","44.6%","24,933","18,061","72.4%","6,872","27.6%","995","411","41.3%","584","58.7%","9,924","9,091","91.6%","833","8.4%","2,751","2,209","80.3%","542","19.7%","20,507","15,254","74.4%","5,253","25.6%","8,027","3,886","48.4%","4,141","51.6%","10,438","6,886","66.0%","3,552","34.0%","9,666","7,050","72.9%","2,616","27.1%","6,436","4,655","72.3%","1,781","27.7%","N","N","N","N","N","12,755","9,570","75.0%","3,185","25.0%","754","362","48.0%","392","52.0%","6,986","4,989","71.4%","1,997","28.6%","N","N","N","N","N","44,572,378","35,693,571","80.1%","8,878,807","19.9%"
"            Naturalized","4,495","4,070","90.5%","425","9.5%","461","461","100.0%","0","0.0%","800","788","98.5%","12","1.5%","234","234","100.0%","0","0.0%","446","446","100.0%","0","0.0%","2,081","1,823","87.6%","258","12.4%","1,945","1,596","82.1%","349","17.9%","10,272","9,293","90.5%","979","9.5%","381","381","100.0%","0","0.0%","3,953","3,765","95.2%","188","4.8%","2,178","2,106","96.7%","72","3.3%","11,222","10,167","90.6%","1,055","9.4%","2,557","2,071","81.0%","486","19.0%","5,781","4,945","85.5%","836","14.5%","3,505","2,931","83.6%","574","16.4%","2,370","1,763","74.4%","607","25.6%","N","N","N","N","N","6,068","5,187","85.5%","881","14.5%","58","58","100.0%","0","0.0%","2,265","2,265","100.0%","0","0.0%","N","N","N","N","N","23,002,416","21,041,210","91.5%","1,961,206","8.5%"
"            Not a citizen","6,507","3,650","56.1%","2,857","43.9%","1,259","243","19.3%","1,016","80.7%","1,396","890","63.8%","506","36.2%","4,784","2,120","44.3%","2,664","55.7%","1,574","998","63.4%","576","36.6%","918","512","55.8%","406","44.2%","1,642","392","23.9%","1,250","76.1%","14,661","8,768","59.8%","5,893","40.2%","614","30","4.9%","584","95.1%","5,971","5,326","89.2%","645","10.8%","573","103","18.0%","470","82.0%","9,285","5,087","54.8%","4,198","45.2%","5,470","1,815","33.2%","3,655","66.8%","4,657","1,941","41.7%","2,716","58.3%","6,161","4,119","66.9%","2,042","33.1%","4,066","2,892","71.1%","1,174","28.9%","N","N","N","N","N","6,687","4,383","65.5%","2,304","34.5%","696","304","43.7%","392","56.3%","4,721","2,724","57.7%","1,997","42.3%","N","N","N","N","N","21,569,962","14,652,361","67.9%","6,917,601","32.1%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a disability","31,901","31,078","97.4%","823","2.6%","22,269","20,719","93.0%","1,550","7.0%","14,480","13,978","96.5%","502","3.5%","7,583","6,623","87.3%","960","12.7%","9,707","9,022","92.9%","685","7.1%","15,944","14,568","91.4%","1,376","8.6%","16,704","14,736","88.2%","1,968","11.8%","97,239","87,379","89.9%","9,860","10.1%","13,737","13,033","94.9%","704","5.1%","18,878","17,480","92.6%","1,398","7.4%","13,871","12,996","93.7%","875","6.3%","48,624","44,894","92.3%","3,730","7.7%","13,244","12,189","92.0%","1,055","8.0%","55,137","52,138","94.6%","2,999","5.4%","28,502","27,195","95.4%","1,307","4.6%","17,606","15,846","90.0%","1,760","10.0%","13,658","12,855","94.1%","803","5.9%","24,431","22,584","92.4%","1,847","7.6%","20,102","18,592","92.5%","1,510","7.5%","27,176","25,311","93.1%","1,865","6.9%","17,381","14,449","83.1%","2,932","16.9%","41,089,958","38,758,402","94.3%","2,331,556","5.7%"
"        No disability","189,010","171,905","91.0%","17,105","9.0%","88,806","78,077","87.9%","10,729","12.1%","68,361","60,119","87.9%","8,242","12.1%","62,809","53,846","85.7%","8,963","14.3%","65,702","61,888","94.2%","3,814","5.8%","85,526","73,517","86.0%","12,009","14.0%","87,900","76,424","86.9%","11,476","13.1%","555,726","503,936","90.7%","51,790","9.3%","78,108","68,067","87.1%","10,041","12.9%","145,074","134,849","93.0%","10,225","7.0%","81,662","71,374","87.4%","10,288","12.6%","318,264","294,089","92.4%","24,175","7.6%","82,709","72,568","87.7%","10,141","12.3%","353,975","310,639","87.8%","43,336","12.2%","191,733","172,146","89.8%","19,587","10.2%","100,186","89,926","89.8%","10,260","10.2%","73,703","69,245","94.0%","4,458","6.0%","191,487","178,943","93.4%","12,544","6.6%","56,620","50,348","88.9%","6,272","11.1%","180,696","167,705","92.8%","12,991","7.2%","45,515","36,956","81.2%","8,559","18.8%","282,030,720","254,723,604","90.3%","27,307,116","9.7%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","155,261","141,489","91.1%","13,772","8.9%","75,334","64,769","86.0%","10,565","14.0%","57,102","49,366","86.5%","7,736","13.5%","45,559","37,741","82.8%","7,818","17.2%","51,327","48,321","94.1%","3,006","5.9%","69,746","60,436","86.7%","9,310","13.3%","70,379","60,221","85.6%","10,158","14.4%","437,690","389,876","89.1%","47,814","10.9%","62,478","54,673","87.5%","7,805","12.5%","98,144","89,720","91.4%","8,424","8.6%","64,880","56,984","87.8%","7,896","12.2%","246,426","226,461","91.9%","19,965","8.1%","63,824","54,425","85.3%","9,399","14.7%","271,364","235,310","86.7%","36,054","13.3%","142,001","126,027","88.8%","15,974","11.2%","79,691","71,694","90.0%","7,997","10.0%","60,239","56,500","93.8%","3,739","6.2%","144,872","134,797","93.0%","10,075","7.0%","51,931","46,257","89.1%","5,674","10.9%","125,995","115,456","91.6%","10,539","8.4%","43,154","37,000","85.7%","6,154","14.3%","216,102,534","195,268,604","90.4%","20,833,930","9.6%"
"            Less than high school graduate","14,600","11,492","78.7%","3,108","21.3%","12,026","9,125","75.9%","2,901","24.1%","10,472","9,104","86.9%","1,368","13.1%","9,531","6,199","65.0%","3,332","35.0%","4,322","3,445","79.7%","877","20.3%","10,996","8,630","78.5%","2,366","21.5%","10,364","8,316","80.2%","2,048","19.8%","38,113","28,759","75.5%","9,354","24.5%","9,025","7,055","78.2%","1,970","21.8%","7,765","6,172","79.5%","1,593","20.5%","7,359","5,636","76.6%","1,723","23.4%","16,586","12,669","76.4%","3,917","23.6%","11,574","7,496","64.8%","4,078","35.2%","33,482","24,159","72.2%","9,323","27.8%","14,907","11,208","75.2%","3,699","24.8%","10,732","8,412","78.4%","2,320","21.6%","7,879","6,795","86.2%","1,084","13.8%","9,117","6,743","74.0%","2,374","26.0%","9,947","7,949","79.9%","1,998","20.1%","13,905","11,891","85.5%","2,014","14.5%","7,476","5,599","74.9%","1,877","25.1%","24,366,390","18,999,096","78.0%","5,367,294","22.0%"
"            High school graduate (includes equivalency)","39,988","34,826","87.1%","5,162","12.9%","26,149","21,375","81.7%","4,774","18.3%","17,418","14,395","82.6%","3,023","17.4%","17,183","14,917","86.8%","2,266","13.2%","17,794","16,422","92.3%","1,372","7.7%","22,336","19,289","86.4%","3,047","13.6%","21,625","17,413","80.5%","4,212","19.5%","116,523","98,060","84.2%","18,463","15.8%","21,702","18,102","83.4%","3,600","16.6%","21,541","18,833","87.4%","2,708","12.6%","21,483","18,755","87.3%","2,728","12.7%","48,091","42,600","88.6%","5,491","11.4%","20,659","17,958","86.9%","2,701","13.1%","97,417","81,961","84.1%","15,456","15.9%","35,897","30,934","86.2%","4,963","13.8%","27,912","24,004","86.0%","3,908","14.0%","21,779","20,188","92.7%","1,591","7.3%","28,924","26,728","92.4%","2,196","7.6%","17,540","15,943","90.9%","1,597","9.1%","38,880","33,923","87.3%","4,957","12.7%","15,185","12,769","84.1%","2,416","15.9%","57,696,941","50,447,775","87.4%","7,249,166","12.6%"
"            Some college or associate's degree","49,486","45,898","92.7%","3,588","7.3%","22,612","20,069","88.8%","2,543","11.2%","20,132","17,309","86.0%","2,823","14.0%","12,915","10,877","84.2%","2,038","15.8%","15,911","15,211","95.6%","700","4.4%","24,245","21,355","88.1%","2,890","11.9%","22,226","18,981","85.4%","3,245","14.6%","130,584","117,333","89.9%","13,251","10.1%","18,142","16,323","90.0%","1,819","10.0%","27,801","25,156","90.5%","2,645","9.5%","18,562","16,151","87.0%","2,411","13.0%","72,993","64,938","89.0%","8,055","11.0%","18,648","16,589","89.0%","2,059","11.0%","77,745","69,208","89.0%","8,537","11.0%","41,157","36,503","88.7%","4,654","11.3%","21,881","20,439","93.4%","1,442","6.6%","22,142","21,104","95.3%","1,038","4.7%","41,991","38,593","91.9%","3,398","8.1%","15,933","13,909","87.3%","2,024","12.7%","32,722","30,130","92.1%","2,592","7.9%","15,118","13,291","87.9%","1,827","12.1%","61,702,996","56,353,545","91.3%","5,349,451","8.7%"
"            Bachelor's degree or higher","51,187","49,273","96.3%","1,914","3.7%","14,547","14,200","97.6%","347","2.4%","9,080","8,558","94.3%","522","5.7%","5,930","5,748","96.9%","182","3.1%","13,300","13,243","99.6%","57","0.4%","12,169","11,162","91.7%","1,007","8.3%","16,164","15,511","96.0%","653","4.0%","152,470","145,724","95.6%","6,746","4.4%","13,609","13,193","96.9%","416","3.1%","41,037","39,559","96.4%","1,478","3.6%","17,476","16,442","94.1%","1,034","5.9%","108,756","106,254","97.7%","2,502","2.3%","12,943","12,382","95.7%","561","4.3%","62,720","59,982","95.6%","2,738","4.4%","50,040","47,382","94.7%","2,658","5.3%","19,166","18,839","98.3%","327","1.7%","8,439","8,413","99.7%","26","0.3%","64,840","62,733","96.8%","2,107","3.2%","8,511","8,456","99.4%","55","0.6%","40,488","39,512","97.6%","976","2.4%","5,375","5,341","99.4%","34","0.6%","72,336,207","69,468,188","96.0%","2,868,019","4.0%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
