"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!With a disability!!Estimate","Canadian County, Oklahoma!!With a disability!!Margin of Error","Canadian County, Oklahoma!!Percent with a disability!!Estimate","Canadian County, Oklahoma!!Percent with a disability!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!With a disability!!Estimate","Cleveland County, Oklahoma!!With a disability!!Margin of Error","Cleveland County, Oklahoma!!Percent with a disability!!Estimate","Cleveland County, Oklahoma!!Percent with a disability!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!With a disability!!Estimate","Comanche County, Oklahoma!!With a disability!!Margin of Error","Comanche County, Oklahoma!!Percent with a disability!!Estimate","Comanche County, Oklahoma!!Percent with a disability!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!With a disability!!Estimate","Creek County, Oklahoma!!With a disability!!Margin of Error","Creek County, Oklahoma!!Percent with a disability!!Estimate","Creek County, Oklahoma!!Percent with a disability!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!With a disability!!Estimate","Muskogee County, Oklahoma!!With a disability!!Margin of Error","Muskogee County, Oklahoma!!Percent with a disability!!Estimate","Muskogee County, Oklahoma!!Percent with a disability!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!With a disability!!Estimate","Oklahoma County, Oklahoma!!With a disability!!Margin of Error","Oklahoma County, Oklahoma!!Percent with a disability!!Estimate","Oklahoma County, Oklahoma!!Percent with a disability!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!With a disability!!Estimate","Payne County, Oklahoma!!With a disability!!Margin of Error","Payne County, Oklahoma!!Percent with a disability!!Estimate","Payne County, Oklahoma!!Percent with a disability!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!With a disability!!Estimate","Pottawatomie County, Oklahoma!!With a disability!!Margin of Error","Pottawatomie County, Oklahoma!!Percent with a disability!!Estimate","Pottawatomie County, Oklahoma!!Percent with a disability!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!With a disability!!Estimate","Rogers County, Oklahoma!!With a disability!!Margin of Error","Rogers County, Oklahoma!!Percent with a disability!!Estimate","Rogers County, Oklahoma!!Percent with a disability!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!With a disability!!Estimate","Tulsa County, Oklahoma!!With a disability!!Margin of Error","Tulsa County, Oklahoma!!Percent with a disability!!Estimate","Tulsa County, Oklahoma!!Percent with a disability!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!With a disability!!Estimate","Wagoner County, Oklahoma!!With a disability!!Margin of Error","Wagoner County, Oklahoma!!Percent with a disability!!Estimate","Wagoner County, Oklahoma!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"            Population 18 to 64 years","88,084","±979","3,841","±1,469","4.4%","±1.7","179,179","±1,500","3,044","±1,015","1.7%","±0.6","65,644","±1,952","3,954","±1,243","6.0%","±1.9","41,286","±467","777","±348","1.9%","±0.8","37,545","±649","979","±362","2.6%","±1.0","473,015","±1,770","12,112","±1,891","2.6%","±0.4","53,522","±977","1,092","±546","2.0%","±1.0","42,079","±1,005","1,360","±486","3.2%","±1.1","55,328","±576","1,259","±379","2.3%","±0.7","388,582","±1,169","9,646","±1,080","2.5%","±0.3","48,005","±274","1,148","±462","2.4%","±1.0","197,503,214","±33,702","3,755,672","±36,041","1.9%","±0.1"
"                Population 18 to 34 years","32,488","±1,239","918","±594","2.8%","±1.8","80,855","±1,620","742","±572","0.9%","±0.7","26,648","±1,751","1,492","±611","5.6%","±2.3","13,877","±418","98","±93","0.7%","±0.7","13,563","±617","97","±113","0.7%","±0.8","189,545","±1,627","3,822","±1,146","2.0%","±0.6","32,116","±993","505","±386","1.6%","±1.2","15,166","±654","335","±235","2.2%","±1.5","19,517","±390","232","±147","1.2%","±0.8","151,434","±713","2,120","±617","1.4%","±0.4","16,760","±368","316","±183","1.9%","±1.1","74,020,428","±40,229","905,570","±17,977","1.2%","±0.1"
"                Population 35 to 64 years","55,596","±1,224","2,923","±1,322","5.3%","±2.4","98,324","±1,621","2,302","±735","2.3%","±0.7","38,996","±1,638","2,462","±1,113","6.3%","±2.8","27,409","±376","679","±356","2.5%","±1.3","23,982","±606","882","±337","3.7%","±1.4","283,470","±915","8,290","±1,565","2.9%","±0.6","21,406","±795","587","±391","2.7%","±1.8","26,913","±829","1,025","±404","3.8%","±1.5","35,811","±529","1,027","±319","2.9%","±0.9","237,148","±626","7,526","±911","3.2%","±0.4","31,245","±408","832","±376","2.7%","±1.2","123,482,786","±47,507","2,850,102","±31,917","2.3%","±0.1"
"            Population 65 years and over","19,427","±519","1,569","±548","8.1%","±2.8","38,865","±759","2,611","±658","6.7%","±1.7","13,767","±759","931","±524","6.8%","±3.8","12,713","±364","652","±235","5.1%","±1.9","10,910","±232","856","±344","7.8%","±3.2","109,582","±581","8,991","±1,598","8.2%","±1.5","11,120","±748","1,198","±511","10.8%","±4.6","11,580","±272","834","±355","7.2%","±3.1","14,647","±556","530","±227","3.6%","±1.5","93,981","±400","5,865","±829","6.2%","±0.9","13,482","±255","850","±350","6.3%","±2.6","52,782,417","±26,301","3,164,285","±37,162","6.0%","±0.1"
"                Population 65 to 74 years","12,201","±494","649","±366","5.3%","±2.9","23,130","±820","853","±438","3.7%","±2.0","8,341","±738","425","±359","5.1%","±4.3","7,594","±336","274","±159","3.6%","±2.1","6,726","±288","379","±186","5.6%","±2.7","66,671","±711","4,315","±1,037","6.5%","±1.5","5,874","±280","375","±235","6.4%","±4.0","6,659","±359","227","±169","3.4%","±2.6","8,587","±382","323","±174","3.8%","±2.0","56,712","±237","2,472","±513","4.4%","±0.9","8,035","±323","501","±270","6.2%","±3.4","31,216,223","±24,889","1,271,608","±20,269","4.1%","±0.1"
"                Population 75 years and over","7,226","±415","920","±525","12.7%","±7.1","15,735","±522","1,758","±597","11.2%","±3.8","5,426","±331","506","±323","9.3%","±6.0","5,119","±311","378","±198","7.4%","±3.9","4,184","±294","477","±302","11.4%","±7.2","42,911","±803","4,676","±1,163","10.9%","±2.7","5,246","±713","823","±423","15.7%","±7.8","4,921","±328","607","±325","12.3%","±6.4","6,060","±345","207","±132","3.4%","±2.2","37,269","±482","3,393","±715","9.1%","±1.9","5,447","±225","349","±216","6.4%","±3.9","21,566,194","±17,007","1,892,677","±27,432","8.8%","±0.1"
"        With a cognitive difficulty","(X)","(X)","5,489","±1,650","4.0%","±1.2","(X)","(X)","13,578","±1,836","5.2%","±0.7","(X)","(X)","8,566","±1,871","8.7%","±1.9","(X)","(X)","3,832","±660","5.7%","±1.0","(X)","(X)","5,000","±897","8.2%","±1.5","(X)","(X)","39,701","±3,499","5.5%","±0.5","(X)","(X)","3,987","±945","5.2%","±1.2","(X)","(X)","4,235","±820","6.4%","±1.2","(X)","(X)","5,515","±942","6.4%","±1.1","(X)","(X)","27,711","±1,956","4.6%","±0.3","(X)","(X)","5,060","±782","6.6%","±1.0","(X)","(X)","15,797,245","±87,227","5.2%","±0.1"
"            Population under 18 years","29,336","±513","732","±413","2.5%","±1.4","45,291","±260","2,260","±769","5.0%","±1.7","19,418","±694","1,416","±709","7.3%","±3.7","12,827","±167","343","±219","2.7%","±1.7","12,316","±374","1,033","±401","8.4%","±3.3","144,603","±128","5,580","±1,249","3.9%","±0.9","11,599","±493","425","±332","3.7%","±2.9","12,613","±306","732","±293","5.8%","±2.3","15,714","±168","630","±258","4.0%","±1.6","117,646","±412","3,776","±661","3.2%","±0.6","14,858","±186","628","±271","4.2%","±1.8","53,433,593","±32,613","2,354,191","±30,937","4.4%","±0.1"
"            Population 18 to 64 years","88,084","±979","3,592","±1,402","4.1%","±1.6","179,179","±1,500","7,784","±1,455","4.3%","±0.8","65,644","±1,952","5,860","±1,596","8.9%","±2.4","41,286","±467","2,407","±573","5.8%","±1.4","37,545","±649","2,906","±681","7.7%","±1.8","473,015","±1,770","25,094","±3,167","5.3%","±0.7","53,522","±977","2,396","±725","4.5%","±1.3","42,079","±1,005","2,673","±702","6.4%","±1.7","55,328","±576","3,584","±771","6.5%","±1.4","388,582","±1,169","17,044","±1,738","4.4%","±0.4","48,005","±274","2,580","±621","5.4%","±1.3","197,503,214","±33,702","9,085,439","±60,856","4.6%","±0.1"
"                Population 18 to 34 years","32,488","±1,239","1,235","±872","3.8%","±2.7","80,855","±1,620","2,775","±989","3.4%","±1.2","26,648","±1,751","2,256","±872","8.5%","±3.3","13,877","±418","732","±341","5.3%","±2.4","13,563","±617","1,149","±412","8.5%","±3.0","189,545","±1,627","8,499","±1,958","4.5%","±1.0","32,116","±993","1,073","±470","3.3%","±1.4","15,166","±654","1,157","±502","7.6%","±3.3","19,517","±390","1,707","±514","8.7%","±2.6","151,434","±713","5,622","±941","3.7%","±0.6","16,760","±368","1,035","±403","6.2%","±2.4","74,020,428","±40,229","3,207,512","±36,493","4.3%","±0.1"
"                Population 35 to 64 years","55,596","±1,224","2,357","±1,054","4.2%","±1.9","98,324","±1,621","5,009","±1,180","5.1%","±1.2","38,996","±1,638","3,604","±1,122","9.2%","±2.8","27,409","±376","1,675","±460","6.1%","±1.7","23,982","±606","1,757","±490","7.3%","±2.0","283,470","±915","16,595","±2,488","5.9%","±0.9","21,406","±795","1,323","±566","6.2%","±2.7","26,913","±829","1,516","±490","5.6%","±1.8","35,811","±529","1,877","±487","5.2%","±1.4","237,148","±626","11,422","±1,292","4.8%","±0.5","31,245","±408","1,545","±470","4.9%","±1.5","123,482,786","±47,507","5,877,927","±46,429","4.8%","±0.1"
"            Population 65 years and over","19,427","±519","1,165","±642","6.0%","±3.3","38,865","±759","3,534","±724","9.1%","±1.8","13,767","±759","1,290","±518","9.4%","±3.6","12,713","±364","1,082","±306","8.5%","±2.4","10,910","±232","1,061","±374","9.7%","±3.4","109,582","±581","9,027","±1,530","8.2%","±1.4","11,120","±748","1,166","±376","10.5%","±3.5","11,580","±272","830","±246","7.2%","±2.1","14,647","±556","1,301","±367","8.9%","±2.4","93,981","±400","6,891","±968","7.3%","±1.0","13,482","±255","1,852","±499","13.7%","±3.8","52,782,417","±26,301","4,357,615","±43,148","8.3%","±0.1"
"                Population 65 to 74 years","12,201","±494","756","±537","6.2%","±4.4","23,130","±820","1,333","±432","5.8%","±1.9","8,341","±738","398","±320","4.8%","±3.7","7,594","±336","417","±198","5.5%","±2.7","6,726","±288","340","±194","5.1%","±2.9","66,671","±711","3,156","±982","4.7%","±1.5","5,874","±280","442","±254","7.5%","±4.3","6,659","±359","355","±154","5.3%","±2.3","8,587","±382","656","±258","7.6%","±3.0","56,712","±237","2,424","±643","4.3%","±1.1","8,035","±323","594","±308","7.4%","±3.8","31,216,223","±24,889","1,606,770","±20,535","5.1%","±0.1"
"                Population 75 years and over","7,226","±415","409","±275","5.7%","±3.8","15,735","±522","2,201","±592","14.0%","±3.7","5,426","±331","892","±413","16.4%","±7.5","5,119","±311","665","±260","13.0%","±5.0","4,184","±294","721","±313","17.2%","±7.0","42,911","±803","5,871","±1,143","13.7%","±2.6","5,246","±713","724","±311","13.8%","±6.2","4,921","±328","475","±211","9.7%","±4.3","6,060","±345","645","±272","10.6%","±4.4","37,269","±482","4,467","±715","12.0%","±1.9","5,447","±225","1,258","±431","23.1%","±7.8","21,566,194","±17,007","2,750,845","±32,323","12.8%","±0.1"
"        With an ambulatory difficulty","(X)","(X)","10,194","±1,661","7.4%","±1.2","(X)","(X)","17,844","±1,563","6.8%","±0.6","(X)","(X)","9,572","±1,500","9.7%","±1.5","(X)","(X)","5,797","±786","8.7%","±1.2","(X)","(X)","7,294","±879","12.0%","±1.5","(X)","(X)","54,379","±3,204","7.5%","±0.4","(X)","(X)","5,681","±1,311","7.5%","±1.7","(X)","(X)","6,228","±933","9.4%","±1.4","(X)","(X)","7,077","±860","8.3%","±1.0","(X)","(X)","38,883","±2,076","6.5%","±0.3","(X)","(X)","5,812","±875","7.6%","±1.1","(X)","(X)","20,843,415","±86,983","6.9%","±0.1"
"            Population under 18 years","29,336","±513","37","±63","0.1%","±0.2","45,291","±260","408","±354","0.9%","±0.8","19,418","±694","585","±520","3.0%","±2.7","12,827","±167","107","±134","0.8%","±1.0","12,316","±374","289","±268","2.3%","±2.2","144,603","±128","660","±393","0.5%","±0.3","11,599","±493","119","±133","1.0%","±1.1","12,613","±306","71","±76","0.6%","±0.6","15,714","±168","41","±48","0.3%","±0.3","117,646","±412","759","±315","0.6%","±0.3","14,858","±186","81","±97","0.5%","±0.7","53,433,593","±32,613","329,766","±11,203","0.6%","±0.1"
"            Population 18 to 64 years","88,084","±979","4,645","±1,314","5.3%","±1.5","179,179","±1,500","7,720","±1,129","4.3%","±0.6","65,644","±1,952","5,297","±1,209","8.1%","±1.9","41,286","±467","2,870","±670","7.0%","±1.6","37,545","±649","3,794","±683","10.1%","±1.8","473,015","±1,770","26,558","±2,502","5.6%","±0.5","53,522","±977","2,186","±854","4.1%","±1.6","42,079","±1,005","3,371","±627","8.0%","±1.5","55,328","±576","3,535","±665","6.4%","±1.2","388,582","±1,169","17,099","±1,527","4.4%","±0.4","48,005","±274","2,508","±613","5.2%","±1.3","197,503,214","±33,702","9,246,129","±58,094","4.7%","±0.1"
"                Population 18 to 34 years","32,488","±1,239","84","±113","0.3%","±0.3","80,855","±1,620","289","±262","0.4%","±0.3","26,648","±1,751","492","±431","1.8%","±1.6","13,877","±418","273","±218","2.0%","±1.6","13,563","±617","291","±277","2.1%","±2.0","189,545","±1,627","2,111","±817","1.1%","±0.4","32,116","±993","367","±436","1.1%","±1.4","15,166","±654","181","±153","1.2%","±1.0","19,517","±390","453","±264","2.3%","±1.3","151,434","±713","1,397","±433","0.9%","±0.3","16,760","±368","358","±298","2.1%","±1.8","74,020,428","±40,229","945,681","±22,220","1.3%","±0.1"
"                Population 35 to 64 years","55,596","±1,224","4,561","±1,319","8.2%","±2.4","98,324","±1,621","7,431","±1,137","7.6%","±1.1","38,996","±1,638","4,805","±1,011","12.3%","±2.7","27,409","±376","2,597","±589","9.5%","±2.1","23,982","±606","3,503","±670","14.6%","±2.8","283,470","±915","24,447","±2,457","8.6%","±0.9","21,406","±795","1,819","±686","8.5%","±3.2","26,913","±829","3,190","±593","11.9%","±2.2","35,811","±529","3,082","±645","8.6%","±1.8","237,148","±626","15,702","±1,495","6.6%","±0.6","31,245","±408","2,150","±513","6.9%","±1.6","123,482,786","±47,507","8,300,448","±48,888","6.7%","±0.1"
"            Population 65 years and over","19,427","±519","5,512","±1,043","28.4%","±5.3","38,865","±759","9,716","±1,248","25.0%","±3.3","13,767","±759","3,690","±709","26.8%","±5.4","12,713","±364","2,820","±529","22.2%","±4.1","10,910","±232","3,211","±530","29.4%","±4.8","109,582","±581","27,161","±2,255","24.8%","±2.0","11,120","±748","3,376","±879","30.4%","±7.0","11,580","±272","2,786","±545","24.1%","±4.7","14,647","±556","3,501","±568","23.9%","±3.9","93,981","±400","21,025","±1,615","22.4%","±1.7","13,482","±255","3,223","±668","23.9%","±5.0","52,782,417","±26,301","11,267,520","±60,416","21.3%","±0.1"
"                Population 65 to 74 years","12,201","±494","2,209","±737","18.1%","±5.7","23,130","±820","4,161","±812","18.0%","±3.7","8,341","±738","1,343","±558","16.1%","±6.9","7,594","±336","1,055","±323","13.9%","±4.3","6,726","±288","1,646","±330","24.5%","±4.9","66,671","±711","11,964","±1,582","17.9%","±2.4","5,874","±280","1,636","±451","27.9%","±7.5","6,659","±359","1,447","±371","21.7%","±5.4","8,587","±382","1,387","±395","16.2%","±4.6","56,712","±237","8,695","±1,090","15.3%","±1.9","8,035","±323","1,563","±426","19.5%","±5.3","31,216,223","±24,889","4,610,453","±40,868","14.8%","±0.1"
"                Population 75 years and over","7,226","±415","3,303","±759","45.7%","±10.1","15,735","±522","5,555","±808","35.3%","±4.9","5,426","±331","2,347","±528","43.3%","±9.2","5,119","±311","1,765","±422","34.5%","±7.7","4,184","±294","1,565","±405","37.4%","±8.9","42,911","±803","15,197","±1,510","35.4%","±3.4","5,246","±713","1,740","±709","33.2%","±11.2","4,921","±328","1,339","±395","27.2%","±8.3","6,060","±345","2,114","±454","34.9%","±7.5","37,269","±482","12,330","±1,184","33.1%","±3.0","5,447","±225","1,660","±498","30.5%","±9.2","21,566,194","±17,007","6,657,067","±39,845","30.9%","±0.2"
"        With a self-care difficulty","(X)","(X)","1,626","±552","1.2%","±0.4","(X)","(X)","5,409","±1,144","2.1%","±0.4","(X)","(X)","4,090","±1,033","4.1%","±1.1","(X)","(X)","1,617","±550","2.4%","±0.8","(X)","(X)","2,152","±623","3.5%","±1.0","(X)","(X)","19,272","±2,234","2.7%","±0.3","(X)","(X)","2,294","±788","3.0%","±1.0","(X)","(X)","1,983","±597","3.0%","±0.9","(X)","(X)","1,758","±495","2.1%","±0.6","(X)","(X)","14,018","±1,379","2.3%","±0.2","(X)","(X)","2,093","±574","2.7%","±0.8","(X)","(X)","8,004,156","±51,486","2.6%","±0.1"
"            Population under 18 years","29,336","±513","75","±126","0.3%","±0.4","45,291","±260","473","±400","1.0%","±0.9","19,418","±694","376","±419","1.9%","±2.2","12,827","±167","141","±144","1.1%","±1.1","12,316","±374","85","±103","0.7%","±0.8","144,603","±128","568","±310","0.4%","±0.2","11,599","±493","219","±198","1.9%","±1.7","12,613","±306","201","±186","1.6%","±1.5","15,714","±168","30","±46","0.2%","±0.3","117,646","±412","1,032","±352","0.9%","±0.3","14,858","±186","84","±122","0.6%","±0.8","53,433,593","±32,613","557,499","±15,739","1.0%","±0.1"
"            Population 18 to 64 years","88,084","±979","625","±388","0.7%","±0.4","179,179","±1,500","2,197","±688","1.2%","±0.4","65,644","±1,952","2,668","±854","4.1%","±1.3","41,286","±467","794","±384","1.9%","±0.9","37,545","±649","954","±366","2.5%","±1.0","473,015","±1,770","8,934","±1,486","1.9%","±0.3","53,522","±977","966","±574","1.8%","±1.1","42,079","±1,005","1,063","±388","2.5%","±0.9","55,328","±576","745","±292","1.3%","±0.5","388,582","±1,169","5,832","±965","1.5%","±0.2","48,005","±274","1,020","±446","2.1%","±0.9","197,503,214","±33,702","3,463,855","±30,537","1.8%","±0.1"
"                Population 18 to 34 years","32,488","±1,239","0","±165","0.0%","±0.3","80,855","±1,620","67","±107","0.1%","±0.1","26,648","±1,751","502","±424","1.9%","±1.6","13,877","±418","221","±252","1.6%","±1.8","13,563","±617","76","±101","0.6%","±0.7","189,545","±1,627","1,424","±741","0.8%","±0.4","32,116","±993","256","±301","0.8%","±0.9","15,166","±654","65","±82","0.4%","±0.5","19,517","±390","260","±248","1.3%","±1.3","151,434","±713","707","±334","0.5%","±0.2","16,760","±368","210","±253","1.3%","±1.5","74,020,428","±40,229","635,785","±13,720","0.9%","±0.1"
"                Population 35 to 64 years","55,596","±1,224","625","±388","1.1%","±0.7","98,324","±1,621","2,130","±683","2.2%","±0.7","38,996","±1,638","2,166","±713","5.6%","±1.9","27,409","±376","573","±286","2.1%","±1.0","23,982","±606","878","±331","3.7%","±1.4","283,470","±915","7,510","±1,477","2.6%","±0.5","21,406","±795","710","±479","3.3%","±2.3","26,913","±829","998","±386","3.7%","±1.4","35,811","±529","485","±197","1.4%","±0.6","237,148","±626","5,125","±952","2.2%","±0.4","31,245","±408","810","±320","2.6%","±1.0","123,482,786","±47,507","2,828,070","±26,280","2.3%","±0.1"
"            Population 65 years and over","19,427","±519","926","±471","4.8%","±2.4","38,865","±759","2,739","±890","7.0%","±2.3","13,767","±759","1,046","±443","7.6%","±3.2","12,713","±364","682","±373","5.4%","±2.9","10,910","±232","1,113","±417","10.2%","±3.8","109,582","±581","9,770","±1,690","8.9%","±1.5","11,120","±748","1,109","±460","10.0%","±4.1","11,580","±272","719","±314","6.2%","±2.7","14,647","±556","983","±332","6.7%","±2.2","93,981","±400","7,154","±1,047","7.6%","±1.1","13,482","±255","989","±350","7.3%","±2.6","52,782,417","±26,301","3,982,802","±36,527","7.5%","±0.1"
"                Population 65 to 74 years","12,201","±494","259","±270","2.1%","±2.2","23,130","±820","558","±305","2.4%","±1.3","8,341","±738","246","±209","2.9%","±2.5","7,594","±336","212","±159","2.8%","±2.1","6,726","±288","586","±254","8.7%","±3.7","66,671","±711","4,044","±1,271","6.1%","±1.9","5,874","±280","423","±243","7.2%","±4.1","6,659","±359","256","±161","3.8%","±2.4","8,587","±382","337","±185","3.9%","±2.1","56,712","±237","2,458","±595","4.3%","±1.0","8,035","±323","257","±183","3.2%","±2.3","31,216,223","±24,889","1,306,331","±18,273","4.2%","±0.1"
"                Population 75 years and over","7,226","±415","667","±392","9.2%","±5.2","15,735","±522","2,181","±846","13.9%","±5.3","5,426","±331","800","±373","14.7%","±6.6","5,119","±311","470","±322","9.2%","±6.2","4,184","±294","527","±296","12.6%","±6.8","42,911","±803","5,726","±1,124","13.3%","±2.6","5,246","±713","686","±386","13.1%","±6.9","4,921","±328","463","±257","9.4%","±5.2","6,060","±345","646","±286","10.7%","±4.6","37,269","±482","4,696","±886","12.6%","±2.4","5,447","±225","732","±319","13.4%","±5.9","21,566,194","±17,007","2,676,471","±30,950","12.4%","±0.1"
"        With an independent living difficulty","(X)","(X)","6,682","±1,727","6.2%","±1.6","(X)","(X)","11,427","±1,568","5.2%","±0.7","(X)","(X)","7,696","±1,342","9.7%","±1.7","(X)","(X)","3,867","±804","7.2%","±1.5","(X)","(X)","4,627","±953","9.5%","±1.9","(X)","(X)","37,714","±3,138","6.5%","±0.5","(X)","(X)","3,866","±1,060","6.0%","±1.6","(X)","(X)","3,344","±743","6.2%","±1.4","(X)","(X)","4,837","±732","6.9%","±1.0","(X)","(X)","23,936","±1,648","5.0%","±0.3","(X)","(X)","4,200","±797","6.8%","±1.3","(X)","(X)","14,690,563","±73,159","5.9%","±0.1"
"            Population 18 to 64 years","88,084","±979","3,240","±1,276","3.7%","±1.5","179,179","±1,500","6,393","±1,128","3.6%","±0.6","65,644","±1,952","5,955","±1,286","9.1%","±2.0","41,286","±467","2,043","±612","4.9%","±1.5","37,545","±649","2,672","±722","7.1%","±1.9","473,015","±1,770","20,354","±2,577","4.3%","±0.5","53,522","±977","1,544","±654","2.9%","±1.2","42,079","±1,005","1,987","±546","4.7%","±1.3","55,328","±576","2,594","±585","4.7%","±1.1","388,582","±1,169","12,513","±1,359","3.2%","±0.4","48,005","±274","1,958","±590","4.1%","±1.2","197,503,214","±33,702","7,399,130","±48,305","3.7%","±0.1"
"                Population 18 to 34 years","32,488","±1,239","1,072","±836","3.3%","±2.6","80,855","±1,620","2,113","±787","2.6%","±1.0","26,648","±1,751","1,373","±553","5.2%","±2.1","13,877","±418","410","±319","3.0%","±2.3","13,563","±617","888","±451","6.5%","±3.3","189,545","±1,627","6,110","±1,616","3.2%","±0.8","32,116","±993","482","±355","1.5%","±1.1","15,166","±654","468","±314","3.1%","±2.1","19,517","±390","910","±314","4.7%","±1.6","151,434","±713","2,612","±622","1.7%","±0.4","16,760","±368","560","±360","3.3%","±2.2","74,020,428","±40,229","2,027,970","±27,582","2.7%","±0.1"
"                Population 35 to 64 years","55,596","±1,224","2,168","±956","3.9%","±1.7","98,324","±1,621","4,280","±977","4.4%","±1.0","38,996","±1,638","4,582","±1,156","11.7%","±3.1","27,409","±376","1,633","±511","6.0%","±1.8","23,982","±606","1,784","±541","7.4%","±2.2","283,470","±915","14,244","±2,066","5.0%","±0.7","21,406","±795","1,062","±551","5.0%","±2.6","26,913","±829","1,519","±422","5.6%","±1.5","35,811","±529","1,684","±508","4.7%","±1.4","237,148","±626","9,901","±1,207","4.2%","±0.5","31,245","±408","1,398","±473","4.5%","±1.5","123,482,786","±47,507","5,371,160","±38,230","4.3%","±0.1"
"            Population 65 years and over","19,427","±519","3,442","±1,028","17.7%","±5.3","38,865","±759","5,034","±1,065","13.0%","±2.7","13,767","±759","1,741","±506","12.6%","±3.6","12,713","±364","1,824","±480","14.3%","±3.7","10,910","±232","1,955","±488","17.9%","±4.4","109,582","±581","17,360","±1,879","15.8%","±1.7","11,120","±748","2,322","±893","20.9%","±7.3","11,580","±272","1,357","±400","11.7%","±3.5","14,647","±556","2,243","±527","15.3%","±3.5","93,981","±400","11,423","±1,106","12.2%","±1.2","13,482","±255","2,242","±521","16.6%","±3.9","52,782,417","±26,301","7,291,433","±47,787","13.8%","±0.1"
"                Population 65 to 74 years","12,201","±494","1,093","±651","9.0%","±5.3","23,130","±820","1,185","±541","5.1%","±2.4","8,341","±738","468","±347","5.6%","±4.1","7,594","±336","617","±250","8.1%","±3.4","6,726","±288","880","±261","13.1%","±3.9","66,671","±711","6,025","±1,314","9.0%","±2.0","5,874","±280","689","±312","11.7%","±5.0","6,659","±359","439","±197","6.6%","±3.0","8,587","±382","632","±264","7.4%","±3.0","56,712","±237","3,588","±744","6.3%","±1.3","8,035","±323","878","±334","10.9%","±4.2","31,216,223","±24,889","2,302,102","±25,021","7.4%","±0.1"
"                Population 75 years and over","7,226","±415","2,349","±818","32.5%","±10.8","15,735","±522","3,849","±873","24.5%","±5.4","5,426","±331","1,273","±450","23.5%","±8.0","5,119","±311","1,207","±392","23.6%","±7.3","4,184","±294","1,075","±364","25.7%","±8.1","42,911","±803","11,335","±1,346","26.4%","±3.1","5,246","±713","1,633","±798","31.1%","±13.3","4,921","±328","918","±313","18.7%","±6.7","6,060","±345","1,611","±432","26.6%","±6.8","37,269","±482","7,835","±890","21.0%","±2.4","5,447","±225","1,364","±391","25.0%","±7.2","21,566,194","±17,007","4,989,331","±37,903","23.1%","±0.2"
