"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!With a disability!!Estimate","Boone County, Kentucky!!With a disability!!Margin of Error","Boone County, Kentucky!!Percent with a disability!!Estimate","Boone County, Kentucky!!Percent with a disability!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!With a disability!!Estimate","Bullitt County, Kentucky!!With a disability!!Margin of Error","Bullitt County, Kentucky!!Percent with a disability!!Estimate","Bullitt County, Kentucky!!Percent with a disability!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!With a disability!!Estimate","Campbell County, Kentucky!!With a disability!!Margin of Error","Campbell County, Kentucky!!Percent with a disability!!Estimate","Campbell County, Kentucky!!Percent with a disability!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!With a disability!!Estimate","Christian County, Kentucky!!With a disability!!Margin of Error","Christian County, Kentucky!!Percent with a disability!!Estimate","Christian County, Kentucky!!Percent with a disability!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!With a disability!!Estimate","Daviess County, Kentucky!!With a disability!!Margin of Error","Daviess County, Kentucky!!Percent with a disability!!Estimate","Daviess County, Kentucky!!Percent with a disability!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!With a disability!!Estimate","Fayette County, Kentucky!!With a disability!!Margin of Error","Fayette County, Kentucky!!Percent with a disability!!Estimate","Fayette County, Kentucky!!Percent with a disability!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!With a disability!!Estimate","Hardin County, Kentucky!!With a disability!!Margin of Error","Hardin County, Kentucky!!Percent with a disability!!Estimate","Hardin County, Kentucky!!Percent with a disability!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!With a disability!!Estimate","Jefferson County, Kentucky!!With a disability!!Margin of Error","Jefferson County, Kentucky!!Percent with a disability!!Estimate","Jefferson County, Kentucky!!Percent with a disability!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!With a disability!!Estimate","Kenton County, Kentucky!!With a disability!!Margin of Error","Kenton County, Kentucky!!Percent with a disability!!Estimate","Kenton County, Kentucky!!Percent with a disability!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!With a disability!!Estimate","McCracken County, Kentucky!!With a disability!!Margin of Error","McCracken County, Kentucky!!Percent with a disability!!Estimate","McCracken County, Kentucky!!Percent with a disability!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!With a disability!!Estimate","Madison County, Kentucky!!With a disability!!Margin of Error","Madison County, Kentucky!!Percent with a disability!!Estimate","Madison County, Kentucky!!Percent with a disability!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!With a disability!!Estimate","Oldham County, Kentucky!!With a disability!!Margin of Error","Oldham County, Kentucky!!Percent with a disability!!Estimate","Oldham County, Kentucky!!Percent with a disability!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!With a disability!!Estimate","Warren County, Kentucky!!With a disability!!Margin of Error","Warren County, Kentucky!!Percent with a disability!!Estimate","Warren County, Kentucky!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        With a vision difficulty","(X)","(X)","3,973","±1,272","3.0%","±1.0","(X)","(X)","2,089","±745","2.6%","±0.9","(X)","(X)","2,196","±814","2.4%","±0.9","(X)","(X)","2,861","±1,068","4.7%","±1.8","(X)","(X)","3,494","±814","3.5%","±0.8","(X)","(X)","6,572","±1,734","2.1%","±0.5","(X)","(X)","1,839","±783","1.7%","±0.7","(X)","(X)","16,299","±1,792","2.1%","±0.2","(X)","(X)","4,000","±1,217","2.4%","±0.7","(X)","(X)","1,571","±690","2.4%","±1.1","(X)","(X)","2,401","±711","2.6%","±0.8","(X)","(X)","926","±491","1.5%","±0.8","(X)","(X)","2,877","±921","2.2%","±0.7","(X)","(X)","7,467,040","±58,337","2.3%","±0.1"
"            Population under 18 years","34,503","±26","777","±633","2.3%","±1.8","17,521","±309","225","±253","1.3%","±1.4","19,365","±171","110","±168","0.6%","±0.9","19,027","±222","343","±466","1.8%","±2.5","24,610","±40","26","±46","0.1%","±0.2","67,277","±405","205","±211","0.3%","±0.3","26,732","±565","174","±175","0.7%","±0.7","167,894","±519","760","±411","0.5%","±0.2","39,354","±132","503","±424","1.3%","±1.1","14,737","±503","322","±326","2.2%","±2.2","19,219","±482","342","±288","1.8%","±1.5","16,483","±393","18","±21","0.1%","±0.1","30,322","±73","0","±201","0.0%","±0.5","72,835,047","±33,175","547,083","±17,074","0.8%","±0.1"
"                Population under 5 years","8,935","±708","0","±201","0.0%","±1.9","3,908","±160","0","±201","0.0%","±4.2","5,548","±488","110","±168","2.0%","±3.1","6,580","±587","0","±201","0.0%","±2.5","6,765","±336","0","±201","0.0%","±2.4","19,479","±387","205","±211","1.1%","±1.1","7,122","±5","100","±121","1.4%","±1.7","47,566","±164","73","±119","0.2%","±0.3","10,986","±765","139","±249","1.3%","±2.3","4,265","±357","0","±201","0.0%","±3.8","5,579","±534","0","±201","0.0%","±3.0","3,469","±390","0","±201","0.0%","±4.7","8,472","±381","0","±201","0.0%","±2.0","19,401,454","±22,231","75,769","±5,791","0.4%","±0.1"
"                Population 5 to 17 years","25,568","±710","777","±633","3.0%","±2.5","13,613","±343","225","±253","1.7%","±1.9","13,817","±475","0","±201","0.0%","±1.2","12,447","±633","343","±466","2.8%","±3.8","17,845","±337","26","±46","0.1%","±0.3","47,798","±108","0","±201","0.0%","±0.3","19,610","±565","74","±125","0.4%","±0.6","120,328","±528","687","±386","0.6%","±0.3","28,368","±790","364","±337","1.3%","±1.2","10,472","±494","322","±326","3.1%","±3.1","13,640","±576","342","±288","2.5%","±2.1","13,014","±222","18","±21","0.1%","±0.2","21,850","±388","0","±201","0.0%","±0.8","53,433,593","±32,613","471,314","±15,522","0.9%","±0.1"
"            Population 18 to 64 years","80,239","±679","1,990","±839","2.5%","±1.0","50,264","±808","845","±350","1.7%","±0.7","57,995","±820","1,429","±656","2.5%","±1.1","32,779","±1,414","1,272","±719","3.9%","±2.2","58,053","±1,135","1,944","±709","3.3%","±1.2","208,657","±1,084","3,994","±1,378","1.9%","±0.7","63,621","±1,724","1,202","±570","1.9%","±0.9","466,183","±881","9,324","±1,392","2.0%","±0.3","102,443","±575","1,973","±905","1.9%","±0.9","37,115","±865","811","±473","2.2%","±1.3","60,098","±807","1,472","±561","2.4%","±0.9","37,211","±943","538","±415","1.4%","±1.1","85,023","±965","2,005","±770","2.4%","±0.9","197,503,214","±33,702","3,755,672","±36,041","1.9%","±0.1"
"                Population 18 to 34 years","26,995","±1,148","760","±618","2.8%","±2.3","16,611","±514","60","±83","0.4%","±0.5","22,303","±648","321","±329","1.4%","±1.5","14,634","±1,455","408","±358","2.8%","±2.4","20,420","±733","540","±419","2.6%","±2.0","92,897","±611","887","±629","1.0%","±0.7","21,987","±1,342","406","±291","1.8%","±1.3","176,773","±575","1,504","±519","0.9%","±0.3","38,711","±828","753","±518","1.9%","±1.3","12,233","±841","340","±326","2.8%","±2.6","28,137","±940","409","±355","1.5%","±1.3","11,403","±666","0","±201","0.0%","±1.5","38,898","±1,131","485","±471","1.2%","±1.2","74,020,428","±40,229","905,570","±17,977","1.2%","±0.1"
"                Population 35 to 64 years","53,244","±1,255","1,230","±689","2.3%","±1.3","33,653","±893","785","±346","2.3%","±1.0","35,692","±659","1,108","±604","3.1%","±1.7","18,145","±981","864","±605","4.8%","±3.3","37,633","±1,051","1,404","±527","3.7%","±1.4","115,760","±1,013","3,107","±1,228","2.7%","±1.1","41,634","±1,280","796","±373","1.9%","±0.9","289,410","±646","7,820","±1,255","2.7%","±0.4","63,732","±789","1,220","±678","1.9%","±1.1","24,882","±1,009","471","±336","1.9%","±1.3","31,961","±1,089","1,063","±438","3.3%","±1.3","25,808","±1,050","538","±415","2.1%","±1.6","46,125","±1,272","1,520","±624","3.3%","±1.3","123,482,786","±47,507","2,850,102","±31,917","2.3%","±0.1"
"            Population 65 years and over","18,193","±489","1,206","±598","6.6%","±3.2","13,452","±809","1,019","±517","7.6%","±3.8","14,974","±494","657","±392","4.4%","±2.6","8,698","±531","1,246","±669","14.3%","±7.7","16,989","±505","1,524","±552","9.0%","±3.1","42,812","±630","2,373","±846","5.5%","±2.0","15,933","±879","463","±319","2.9%","±2.0","124,667","±408","6,215","±1,284","5.0%","±1.0","24,049","±634","1,524","±678","6.3%","±2.8","12,278","±563","438","±318","3.6%","±2.6","12,749","±319","587","±343","4.6%","±2.7","9,530","±595","370","±283","3.9%","±2.9","16,318","±823","872","±628","5.3%","±3.8","52,782,417","±26,301","3,164,285","±37,162","6.0%","±0.1"
"                Population 65 to 74 years","11,431","±423","764","±513","6.7%","±4.3","8,373","±716","287","±210","3.4%","±2.5","9,322","±411","378","±328","4.1%","±3.5","5,515","±533","978","±600","17.7%","±11.1","9,882","±389","647","±399","6.5%","±3.9","25,658","±568","1,224","±562","4.8%","±2.2","10,060","±711","400","±302","4.0%","±3.0","75,331","±595","2,639","±971","3.5%","±1.3","15,122","±456","843","±592","5.6%","±3.9","6,911","±413","297","±277","4.3%","±3.9","7,943","±324","36","±61","0.5%","±0.8","6,202","±524","10","±18","0.2%","±0.3","10,192","±817","556","±594","5.5%","±5.8","31,216,223","±24,889","1,271,608","±20,269","4.1%","±0.1"
"                Population 75 years and over","6,762","±204","442","±293","6.5%","±4.3","5,079","±294","732","±488","14.4%","±9.3","5,652","±373","279","±203","4.9%","±3.6","3,183","±349","268","±217","8.4%","±7.1","7,107","±310","877","±500","12.3%","±6.9","17,154","±591","1,149","±607","6.7%","±3.5","5,873","±467","63","±77","1.1%","±1.3","49,336","±615","3,576","±858","7.2%","±1.8","8,927","±400","681","±316","7.6%","±3.6","5,367","±336","141","±136","2.6%","±2.5","4,806","±186","551","±342","11.5%","±7.1","3,328","±353","360","±281","10.8%","±8.1","6,126","±353","316","±278","5.2%","±4.5","21,566,194","±17,007","1,892,677","±27,432","8.8%","±0.1"
"        With a cognitive difficulty","(X)","(X)","8,581","±2,396","6.9%","±1.9","(X)","(X)","5,194","±1,512","6.7%","±2.0","(X)","(X)","3,922","±965","4.5%","±1.1","(X)","(X)","4,053","±1,216","7.5%","±2.3","(X)","(X)","6,318","±1,414","6.8%","±1.5","(X)","(X)","16,738","±2,599","5.6%","±0.9","(X)","(X)","7,634","±1,503","7.7%","±1.5","(X)","(X)","47,727","±4,170","6.7%","±0.6","(X)","(X)","8,926","±1,470","5.8%","±0.9","(X)","(X)","3,782","±1,097","6.3%","±1.8","(X)","(X)","6,872","±1,456","7.9%","±1.7","(X)","(X)","3,422","±868","5.7%","±1.4","(X)","(X)","9,204","±1,916","7.5%","±1.6","(X)","(X)","15,797,245","±87,227","5.2%","±0.1"
"            Population under 18 years","25,568","±710","2,004","±985","7.8%","±3.8","13,613","±343","865","±659","6.4%","±4.8","13,817","±475","596","±542","4.3%","±3.9","12,447","±633","793","±466","6.4%","±3.9","17,845","±337","1,230","±480","6.9%","±2.7","47,798","±108","1,962","±831","4.1%","±1.7","19,610","±565","905","±428","4.6%","±2.2","120,328","±528","6,596","±1,489","5.5%","±1.2","28,368","±790","1,563","±756","5.5%","±2.7","10,472","±494","463","±434","4.4%","±4.1","13,640","±576","1,140","±499","8.4%","±3.7","13,014","±222","622","±291","4.8%","±2.2","21,850","±388","1,620","±608","7.4%","±2.8","53,433,593","±32,613","2,354,191","±30,937","4.4%","±0.1"
"            Population 18 to 64 years","80,239","±679","5,638","±1,883","7.0%","±2.3","50,264","±808","2,283","±854","4.5%","±1.7","57,995","±820","2,142","±665","3.7%","±1.2","32,779","±1,414","2,370","±884","7.2%","±2.7","58,053","±1,135","3,009","±879","5.2%","±1.5","208,657","±1,084","11,355","±2,154","5.4%","±1.0","63,621","±1,724","4,909","±1,336","7.7%","±2.1","466,183","±881","31,321","±3,293","6.7%","±0.7","102,443","±575","5,757","±1,141","5.6%","±1.1","37,115","±865","2,283","±887","6.2%","±2.4","60,098","±807","4,469","±1,000","7.4%","±1.7","37,211","±943","2,421","±797","6.5%","±2.1","85,023","±965","6,604","±1,679","7.8%","±2.0","197,503,214","±33,702","9,085,439","±60,856","4.6%","±0.1"
"                Population 18 to 34 years","26,995","±1,148","2,133","±948","7.9%","±3.5","16,611","±514","604","±332","3.6%","±2.0","22,303","±648","1,030","±465","4.6%","±2.1","14,634","±1,455","1,136","±756","7.8%","±5.0","20,420","±733","1,183","±591","5.8%","±2.9","92,897","±611","4,756","±1,141","5.1%","±1.2","21,987","±1,342","1,581","±658","7.2%","±3.0","176,773","±575","10,630","±2,021","6.0%","±1.1","38,711","±828","2,062","±738","5.3%","±1.9","12,233","±841","695","±529","5.7%","±4.2","28,137","±940","1,247","±465","4.4%","±1.6","11,403","±666","1,221","±559","10.7%","±4.9","38,898","±1,131","3,249","±1,306","8.4%","±3.4","74,020,428","±40,229","3,207,512","±36,493","4.3%","±0.1"
"                Population 35 to 64 years","53,244","±1,255","3,505","±1,801","6.6%","±3.4","33,653","±893","1,679","±654","5.0%","±1.9","35,692","±659","1,112","±450","3.1%","±1.3","18,145","±981","1,234","±503","6.8%","±2.8","37,633","±1,051","1,826","±659","4.9%","±1.8","115,760","±1,013","6,599","±1,641","5.7%","±1.4","41,634","±1,280","3,328","±1,096","8.0%","±2.6","289,410","±646","20,691","±2,292","7.1%","±0.8","63,732","±789","3,695","±1,015","5.8%","±1.6","24,882","±1,009","1,588","±663","6.4%","±2.7","31,961","±1,089","3,222","±912","10.1%","±2.8","25,808","±1,050","1,200","±550","4.6%","±2.2","46,125","±1,272","3,355","±989","7.3%","±2.1","123,482,786","±47,507","5,877,927","±46,429","4.8%","±0.1"
"            Population 65 years and over","18,193","±489","939","±620","5.2%","±3.3","13,452","±809","2,046","±934","15.2%","±6.3","14,974","±494","1,184","±488","7.9%","±3.3","8,698","±531","890","±476","10.2%","±5.4","16,989","±505","2,079","±760","12.2%","±4.4","42,812","±630","3,421","±1,088","8.0%","±2.5","15,933","±879","1,820","±722","11.4%","±4.5","124,667","±408","9,810","±1,545","7.9%","±1.2","24,049","±634","1,606","±539","6.7%","±2.2","12,278","±563","1,036","±447","8.4%","±3.7","12,749","±319","1,263","±598","9.9%","±4.7","9,530","±595","379","±240","4.0%","±2.5","16,318","±823","980","±701","6.0%","±4.3","52,782,417","±26,301","4,357,615","±43,148","8.3%","±0.1"
"                Population 65 to 74 years","11,431","±423","649","±555","5.7%","±4.7","8,373","±716","1,056","±761","12.6%","±8.1","9,322","±411","602","±345","6.5%","±3.7","5,515","±533","324","±244","5.9%","±4.3","9,882","±389","376","±244","3.8%","±2.5","25,658","±568","1,475","±583","5.7%","±2.3","10,060","±711","580","±490","5.8%","±4.8","75,331","±595","4,066","±1,072","5.4%","±1.4","15,122","±456","500","±299","3.3%","±2.0","6,911","±413","373","±225","5.4%","±3.2","7,943","±324","890","±479","11.2%","±6.0","6,202","±524","82","±79","1.3%","±1.3","10,192","±817","467","±560","4.6%","±5.5","31,216,223","±24,889","1,606,770","±20,535","5.1%","±0.1"
"                Population 75 years and over","6,762","±204","290","±172","4.3%","±2.5","5,079","±294","990","±421","19.5%","±8.2","5,652","±373","582","±325","10.3%","±5.8","3,183","±349","566","±397","17.8%","±11.9","7,107","±310","1,703","±768","24.0%","±10.6","17,154","±591","1,946","±786","11.3%","±4.5","5,873","±467","1,240","±468","21.1%","±7.8","49,336","±615","5,744","±1,122","11.6%","±2.3","8,927","±400","1,106","±401","12.4%","±4.3","5,367","±336","663","±407","12.4%","±7.6","4,806","±186","373","±339","7.8%","±7.0","3,328","±353","297","±219","8.9%","±6.8","6,126","±353","513","±354","8.4%","±5.7","21,566,194","±17,007","2,750,845","±32,323","12.8%","±0.1"
"        With an ambulatory difficulty","(X)","(X)","7,720","±1,972","6.2%","±1.6","(X)","(X)","8,129","±1,611","10.5%","±2.1","(X)","(X)","6,999","±1,321","8.1%","±1.5","(X)","(X)","5,514","±1,289","10.2%","±2.5","(X)","(X)","9,897","±1,737","10.7%","±1.9","(X)","(X)","18,687","±2,184","6.2%","±0.7","(X)","(X)","8,234","±1,424","8.3%","±1.4","(X)","(X)","59,402","±3,760","8.4%","±0.5","(X)","(X)","8,815","±1,218","5.7%","±0.8","(X)","(X)","4,929","±1,018","8.2%","±1.7","(X)","(X)","7,690","±1,653","8.9%","±1.9","(X)","(X)","3,162","±1,000","5.3%","±1.7","(X)","(X)","8,384","±1,628","6.8%","±1.3","(X)","(X)","20,843,415","±86,983","6.9%","±0.1"
"            Population under 18 years","25,568","±710","756","±556","3.0%","±2.2","13,613","±343","56","±97","0.4%","±0.7","13,817","±475","302","±476","2.2%","±3.5","12,447","±633","23","±41","0.2%","±0.3","17,845","±337","350","±488","2.0%","±2.7","47,798","±108","214","±213","0.4%","±0.4","19,610","±565","0","±201","0.0%","±0.8","120,328","±528","949","±711","0.8%","±0.6","28,368","±790","0","±201","0.0%","±0.6","10,472","±494","244","±356","2.3%","±3.4","13,640","±576","382","±519","2.8%","±3.8","13,014","±222","133","±142","1.0%","±1.1","21,850","±388","24","±28","0.1%","±0.1","53,433,593","±32,613","329,766","±11,203","0.6%","±0.1"
"            Population 18 to 64 years","80,239","±679","3,362","±1,546","4.2%","±1.9","50,264","±808","3,578","±1,118","7.1%","±2.2","57,995","±820","3,282","±863","5.7%","±1.5","32,779","±1,414","3,291","±1,130","10.0%","±3.6","58,053","±1,135","4,587","±1,174","7.9%","±2.0","208,657","±1,084","9,289","±1,822","4.5%","±0.9","63,621","±1,724","4,472","±1,037","7.0%","±1.6","466,183","±881","29,519","±2,515","6.3%","±0.5","102,443","±575","4,393","±1,029","4.3%","±1.0","37,115","±865","2,086","±684","5.6%","±1.9","60,098","±807","4,539","±1,121","7.6%","±1.9","37,211","±943","1,849","±940","5.0%","±2.5","85,023","±965","5,388","±1,350","6.3%","±1.6","197,503,214","±33,702","9,246,129","±58,094","4.7%","±0.1"
"                Population 18 to 34 years","26,995","±1,148","302","±356","1.1%","±1.3","16,611","±514","48","±86","0.3%","±0.5","22,303","±648","181","±162","0.8%","±0.7","14,634","±1,455","878","±599","6.0%","±4.1","20,420","±733","675","±554","3.3%","±2.8","92,897","±611","509","±345","0.5%","±0.4","21,987","±1,342","464","±525","2.1%","±2.4","176,773","±575","3,081","±992","1.7%","±0.6","38,711","±828","89","±117","0.2%","±0.3","12,233","±841","0","±201","0.0%","±1.4","28,137","±940","579","±447","2.1%","±1.6","11,403","±666","463","±451","4.1%","±3.9","38,898","±1,131","1,101","±707","2.8%","±1.8","74,020,428","±40,229","945,681","±22,220","1.3%","±0.1"
"                Population 35 to 64 years","53,244","±1,255","3,060","±1,569","5.7%","±3.0","33,653","±893","3,530","±1,112","10.5%","±3.3","35,692","±659","3,101","±843","8.7%","±2.4","18,145","±981","2,413","±926","13.3%","±5.2","37,633","±1,051","3,912","±1,076","10.4%","±2.9","115,760","±1,013","8,780","±1,871","7.6%","±1.6","41,634","±1,280","4,008","±959","9.6%","±2.3","289,410","±646","26,438","±2,310","9.1%","±0.8","63,732","±789","4,304","±1,023","6.8%","±1.6","24,882","±1,009","2,086","±684","8.4%","±2.7","31,961","±1,089","3,960","±976","12.4%","±3.0","25,808","±1,050","1,386","±747","5.4%","±2.9","46,125","±1,272","4,287","±1,150","9.3%","±2.5","123,482,786","±47,507","8,300,448","±48,888","6.7%","±0.1"
"            Population 65 years and over","18,193","±489","3,602","±857","19.8%","±4.5","13,452","±809","4,495","±1,167","33.4%","±7.4","14,974","±494","3,415","±760","22.8%","±5.1","8,698","±531","2,200","±610","25.3%","±7.1","16,989","±505","4,960","±1,179","29.2%","±6.8","42,812","±630","9,184","±1,400","21.5%","±3.2","15,933","±879","3,762","±819","23.6%","±5.0","124,667","±408","28,934","±2,450","23.2%","±2.0","24,049","±634","4,422","±850","18.4%","±3.5","12,278","±563","2,599","±702","21.2%","±5.8","12,749","±319","2,769","±954","21.7%","±7.4","9,530","±595","1,180","±490","12.4%","±5.1","16,318","±823","2,972","±922","18.2%","±5.6","52,782,417","±26,301","11,267,520","±60,416","21.3%","±0.1"
"                Population 65 to 74 years","11,431","±423","1,848","±732","16.2%","±6.1","8,373","±716","1,650","±991","19.7%","±10.6","9,322","±411","1,309","±488","14.0%","±5.3","5,515","±533","621","±369","11.3%","±6.7","9,882","±389","2,288","±719","23.2%","±7.1","25,658","±568","3,955","±846","15.4%","±3.3","10,060","±711","1,809","±591","18.0%","±5.4","75,331","±595","13,074","±1,719","17.4%","±2.3","15,122","±456","1,593","±532","10.5%","±3.5","6,911","±413","1,410","±568","20.4%","±8.1","7,943","±324","1,653","±701","20.8%","±8.7","6,202","±524","627","±420","10.1%","±6.5","10,192","±817","1,554","±681","15.2%","±6.7","31,216,223","±24,889","4,610,453","±40,868","14.8%","±0.1"
"                Population 75 years and over","6,762","±204","1,754","±571","25.9%","±8.5","5,079","±294","2,845","±575","56.0%","±10.2","5,652","±373","2,106","±535","37.3%","±8.8","3,183","±349","1,579","±556","49.6%","±16.0","7,107","±310","2,672","±908","37.6%","±12.5","17,154","±591","5,229","±968","30.5%","±5.4","5,873","±467","1,953","±613","33.3%","±10.3","49,336","±615","15,860","±1,612","32.1%","±3.3","8,927","±400","2,829","±630","31.7%","±7.2","5,367","±336","1,189","±488","22.2%","±9.2","4,806","±186","1,116","±569","23.2%","±11.8","3,328","±353","553","±297","16.6%","±9.0","6,126","±353","1,418","±578","23.1%","±9.1","21,566,194","±17,007","6,657,067","±39,845","30.9%","±0.2"
"        With a self-care difficulty","(X)","(X)","4,214","±1,706","3.4%","±1.4","(X)","(X)","3,091","±980","4.0%","±1.3","(X)","(X)","3,189","±1,244","3.7%","±1.4","(X)","(X)","1,431","±519","2.7%","±1.0","(X)","(X)","3,976","±1,204","4.3%","±1.3","(X)","(X)","6,490","±1,387","2.2%","±0.5","(X)","(X)","1,854","±656","1.9%","±0.7","(X)","(X)","22,498","±2,762","3.2%","±0.4","(X)","(X)","3,933","±1,032","2.5%","±0.7","(X)","(X)","1,511","±514","2.5%","±0.9","(X)","(X)","2,491","±857","2.9%","±1.0","(X)","(X)","1,754","±804","2.9%","±1.3","(X)","(X)","1,876","±796","1.5%","±0.6","(X)","(X)","8,004,156","±51,486","2.6%","±0.1"
"            Population under 18 years","25,568","±710","1,223","±771","4.8%","±3.0","13,613","±343","492","±694","3.6%","±5.1","13,817","±475","319","±478","2.3%","±3.5","12,447","±633","0","±201","0.0%","±1.3","17,845","±337","389","±298","2.2%","±1.7","47,798","±108","90","±148","0.2%","±0.3","19,610","±565","164","±206","0.8%","±1.0","120,328","±528","1,522","±798","1.3%","±0.7","28,368","±790","39","±67","0.1%","±0.2","10,472","±494","0","±201","0.0%","±1.6","13,640","±576","228","±289","1.7%","±2.1","13,014","±222","144","±142","1.1%","±1.1","21,850","±388","106","±124","0.5%","±0.6","53,433,593","±32,613","557,499","±15,739","1.0%","±0.1"
"            Population 18 to 64 years","80,239","±679","1,766","±1,443","2.2%","±1.8","50,264","±808","1,445","±534","2.9%","±1.1","57,995","±820","1,648","±789","2.8%","±1.4","32,779","±1,414","776","±419","2.4%","±1.3","58,053","±1,135","1,379","±690","2.4%","±1.2","208,657","±1,084","3,250","±1,095","1.6%","±0.5","63,621","±1,724","1,114","±481","1.8%","±0.7","466,183","±881","10,966","±2,041","2.4%","±0.4","102,443","±575","2,076","±759","2.0%","±0.7","37,115","±865","619","±371","1.7%","±1.0","60,098","±807","1,421","±598","2.4%","±1.0","37,211","±943","1,248","±725","3.4%","±1.9","85,023","±965","776","±430","0.9%","±0.5","197,503,214","±33,702","3,463,855","±30,537","1.8%","±0.1"
"                Population 18 to 34 years","26,995","±1,148","353","±397","1.3%","±1.5","16,611","±514","0","±201","0.0%","±1.0","22,303","±648","126","±144","0.6%","±0.6","14,634","±1,455","205","±258","1.4%","±1.7","20,420","±733","134","±134","0.7%","±0.7","92,897","±611","307","±243","0.3%","±0.3","21,987","±1,342","5","±9","0.0%","±0.1","176,773","±575","1,532","±856","0.9%","±0.5","38,711","±828","333","±287","0.9%","±0.7","12,233","±841","0","±201","0.0%","±1.4","28,137","±940","140","±170","0.5%","±0.6","11,403","±666","728","±543","6.4%","±4.7","38,898","±1,131","220","±246","0.6%","±0.6","74,020,428","±40,229","635,785","±13,720","0.9%","±0.1"
"                Population 35 to 64 years","53,244","±1,255","1,413","±1,417","2.7%","±2.7","33,653","±893","1,445","±534","4.3%","±1.6","35,692","±659","1,522","±783","4.3%","±2.2","18,145","±981","571","±405","3.1%","±2.3","37,633","±1,051","1,245","±675","3.3%","±1.8","115,760","±1,013","2,943","±1,060","2.5%","±0.9","41,634","±1,280","1,109","±480","2.7%","±1.1","289,410","±646","9,434","±1,802","3.3%","±0.6","63,732","±789","1,743","±667","2.7%","±1.0","24,882","±1,009","619","±371","2.5%","±1.5","31,961","±1,089","1,281","±593","4.0%","±1.8","25,808","±1,050","520","±401","2.0%","±1.6","46,125","±1,272","556","±386","1.2%","±0.8","123,482,786","±47,507","2,828,070","±26,280","2.3%","±0.1"
"            Population 65 years and over","18,193","±489","1,225","±587","6.7%","±3.2","13,452","±809","1,154","±399","8.6%","±3.1","14,974","±494","1,222","±394","8.2%","±2.7","8,698","±531","655","±349","7.5%","±4.0","16,989","±505","2,208","±962","13.0%","±5.6","42,812","±630","3,150","±894","7.4%","±2.1","15,933","±879","576","±316","3.6%","±2.0","124,667","±408","10,010","±1,547","8.0%","±1.2","24,049","±634","1,818","±563","7.6%","±2.3","12,278","±563","892","±437","7.3%","±3.5","12,749","±319","842","±491","6.6%","±3.9","9,530","±595","362","±356","3.8%","±3.7","16,318","±823","994","±652","6.1%","±4.0","52,782,417","±26,301","3,982,802","±36,527","7.5%","±0.1"
"                Population 65 to 74 years","11,431","±423","689","±518","6.0%","±4.5","8,373","±716","7","±13","0.1%","±0.2","9,322","±411","540","±343","5.8%","±3.7","5,515","±533","168","±165","3.0%","±3.0","9,882","±389","679","±546","6.9%","±5.6","25,658","±568","982","±536","3.8%","±2.1","10,060","±711","209","±235","2.1%","±2.3","75,331","±595","3,568","±1,044","4.7%","±1.4","15,122","±456","342","±222","2.3%","±1.5","6,911","±413","375","±275","5.4%","±3.8","7,943","±324","418","±331","5.3%","±4.2","6,202","±524","232","±334","3.7%","±5.3","10,192","±817","499","±538","4.9%","±5.3","31,216,223","±24,889","1,306,331","±18,273","4.2%","±0.1"
